activation: selu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: GlorotUniformInit, time: 238.65
error(train),acc(train),error(valid),acc(valid),params_penalty
3.08114222,0.12840000,3.09683238,0.12550000,0.00000000
0.52324921,0.84748000,0.47367697,0.86710000,0.00000000
0.41248627,0.87870000,0.37429303,0.89250000,0.00000000
0.36394565,0.89300000,0.33260071,0.90510000,0.00000000
0.33555190,0.90068000,0.30811764,0.91160000,0.00000000
0.31440070,0.90714000,0.29104800,0.91520000,0.00000000
0.29791398,0.91312000,0.27754060,0.91860000,0.00000000
0.28469843,0.91616000,0.26580358,0.92180000,0.00000000
0.27320785,0.91948000,0.25713734,0.92420000,0.00000000
0.26358491,0.92224000,0.24874944,0.92730000,0.00000000
0.25459563,0.92546000,0.24153646,0.92860000,0.00000000
0.24656100,0.92810000,0.23484183,0.93080000,0.00000000
0.23934125,0.93056000,0.22867513,0.93230000,0.00000000
0.23209428,0.93278000,0.22241540,0.93480000,0.00000000
0.22579704,0.93458000,0.21718131,0.93600000,0.00000000
0.21986100,0.93658000,0.21246061,0.93810000,0.00000000
0.21424337,0.93804000,0.20765400,0.94010000,0.00000000
0.20902236,0.93970000,0.20376752,0.94170000,0.00000000
0.20407999,0.94100000,0.19978556,0.94240000,0.00000000
0.19918511,0.94256000,0.19564629,0.94460000,0.00000000
0.19493213,0.94388000,0.19248267,0.94530000,0.00000000
0.19049614,0.94528000,0.18882256,0.94680000,0.00000000
0.18651000,0.94610000,0.18543278,0.94860000,0.00000000
0.18256106,0.94728000,0.18208612,0.94960000,0.00000000
0.17885733,0.94870000,0.17909603,0.95010000,0.00000000
0.17536118,0.94920000,0.17653341,0.95120000,0.00000000
0.17200662,0.95052000,0.17385836,0.95170000,0.00000000
0.16873816,0.95154000,0.17136270,0.95260000,0.00000000
0.16571043,0.95244000,0.16852973,0.95370000,0.00000000
0.16261217,0.95330000,0.16636094,0.95390000,0.00000000
0.15978356,0.95392000,0.16378040,0.95480000,0.00000000
0.15685681,0.95476000,0.16167391,0.95520000,0.00000000
0.15421498,0.95546000,0.15973945,0.95610000,0.00000000
0.15154212,0.95620000,0.15776719,0.95680000,0.00000000
0.14915711,0.95722000,0.15573619,0.95720000,0.00000000
0.14681838,0.95762000,0.15448322,0.95750000,0.00000000
0.14425392,0.95858000,0.15222680,0.95800000,0.00000000
0.14219611,0.95888000,0.15067342,0.95860000,0.00000000
0.13987791,0.95990000,0.14890823,0.95880000,0.00000000
0.13777627,0.96054000,0.14753856,0.95960000,0.00000000
0.13565911,0.96134000,0.14538300,0.95990000,0.00000000
0.13364992,0.96184000,0.14407768,0.96010000,0.00000000
0.13155671,0.96232000,0.14279754,0.96030000,0.00000000
0.12979238,0.96270000,0.14165632,0.96090000,0.00000000
0.12785394,0.96378000,0.14032045,0.96110000,0.00000000
0.12607281,0.96420000,0.13910214,0.96140000,0.00000000
0.12442874,0.96460000,0.13829596,0.96170000,0.00000000
0.12267935,0.96556000,0.13644058,0.96210000,0.00000000
0.12094236,0.96580000,0.13533094,0.96250000,0.00000000
0.11945341,0.96632000,0.13409548,0.96260000,0.00000000
0.11786201,0.96662000,0.13315859,0.96290000,0.00000000
0.11623908,0.96712000,0.13200878,0.96370000,0.00000000
0.11470835,0.96776000,0.13094574,0.96430000,0.00000000
0.11319702,0.96796000,0.13009855,0.96410000,0.00000000
0.11171607,0.96864000,0.12930857,0.96490000,0.00000000
0.11030012,0.96910000,0.12804738,0.96490000,0.00000000
0.10893934,0.96932000,0.12729406,0.96510000,0.00000000
0.10762651,0.96956000,0.12621128,0.96560000,0.00000000
0.10629282,0.97022000,0.12558011,0.96500000,0.00000000
0.10502170,0.97054000,0.12453849,0.96530000,0.00000000
0.10384789,0.97086000,0.12386234,0.96550000,0.00000000
0.10242765,0.97140000,0.12290050,0.96570000,0.00000000
0.10172004,0.97182000,0.12213036,0.96570000,0.00000000
0.10016233,0.97172000,0.12139730,0.96600000,0.00000000
0.09899672,0.97254000,0.12082140,0.96580000,0.00000000
0.09779232,0.97308000,0.12003288,0.96600000,0.00000000
0.09675266,0.97312000,0.11900499,0.96590000,0.00000000
0.09563204,0.97366000,0.11852026,0.96610000,0.00000000
0.09466123,0.97380000,0.11834723,0.96650000,0.00000000
0.09357752,0.97422000,0.11730532,0.96650000,0.00000000
0.09258973,0.97410000,0.11684902,0.96710000,0.00000000
0.09160730,0.97476000,0.11568567,0.96730000,0.00000000
0.09053151,0.97494000,0.11564224,0.96710000,0.00000000
0.08957179,0.97554000,0.11492866,0.96700000,0.00000000
0.08849574,0.97584000,0.11433602,0.96740000,0.00000000
0.08775063,0.97596000,0.11401661,0.96750000,0.00000000
0.08681530,0.97618000,0.11321442,0.96730000,0.00000000
0.08593577,0.97654000,0.11248002,0.96690000,0.00000000
0.08500382,0.97690000,0.11228299,0.96770000,0.00000000
0.08401700,0.97742000,0.11159303,0.96780000,0.00000000
0.08313212,0.97760000,0.11095635,0.96770000,0.00000000
0.08260056,0.97754000,0.11082383,0.96800000,0.00000000
0.08159953,0.97820000,0.11016018,0.96850000,0.00000000
0.08076147,0.97832000,0.10951753,0.96830000,0.00000000
0.07987331,0.97886000,0.10917924,0.96860000,0.00000000
0.07913951,0.97884000,0.10841635,0.96860000,0.00000000
0.07833735,0.97910000,0.10798758,0.96870000,0.00000000
0.07767607,0.97936000,0.10778022,0.96900000,0.00000000
0.07688345,0.97944000,0.10733587,0.96890000,0.00000000
0.07609543,0.97976000,0.10712291,0.96900000,0.00000000
0.07538481,0.97994000,0.10682320,0.96940000,0.00000000
0.07461453,0.97996000,0.10601277,0.96930000,0.00000000
0.07408771,0.98028000,0.10611626,0.96900000,0.00000000
0.07318711,0.98058000,0.10539808,0.96940000,0.00000000
0.07255841,0.98066000,0.10493333,0.96950000,0.00000000
0.07186701,0.98088000,0.10449008,0.96990000,0.00000000
0.07129203,0.98102000,0.10396748,0.96940000,0.00000000
0.07062625,0.98118000,0.10400962,0.96980000,0.00000000
0.06989270,0.98138000,0.10328593,0.97000000,0.00000000
0.06924495,0.98142000,0.10290002,0.96980000,0.00000000
0.06870791,0.98154000,0.10263021,0.97000000,0.00000000
