activation: elu, batch_size: 50, learning_rate: 0.01, number_epochs: 100, init: GlorotUniformInit, time: 526.33
error(train),acc(train),error(valid),acc(valid),params_penalty
2.76785909,0.11502000,2.76138344,0.11490000,0.00000000
0.27531249,0.91942000,0.25819924,0.92430000,0.00000000
0.21080765,0.93874000,0.20344734,0.94000000,0.00000000
0.17583311,0.94906000,0.17448213,0.94970000,0.00000000
0.14958974,0.95668000,0.15158006,0.95600000,0.00000000
0.13082038,0.96220000,0.13927973,0.96190000,0.00000000
0.11708273,0.96660000,0.12813095,0.96410000,0.00000000
0.10412576,0.97000000,0.12140050,0.96530000,0.00000000
0.09600648,0.97284000,0.11653532,0.96690000,0.00000000
0.08452719,0.97642000,0.10771340,0.96810000,0.00000000
0.07821343,0.97808000,0.10416966,0.96890000,0.00000000
0.07241024,0.97952000,0.10148288,0.96960000,0.00000000
0.06805711,0.98092000,0.10026929,0.97110000,0.00000000
0.06174841,0.98312000,0.09577427,0.97220000,0.00000000
0.05939254,0.98338000,0.09700421,0.97130000,0.00000000
0.05483934,0.98500000,0.09313427,0.97330000,0.00000000
0.05105481,0.98648000,0.09217599,0.97380000,0.00000000
0.04715673,0.98794000,0.09065289,0.97370000,0.00000000
0.04411254,0.98872000,0.08911887,0.97390000,0.00000000
0.04180125,0.98956000,0.08918129,0.97310000,0.00000000
0.03902753,0.99038000,0.08738947,0.97390000,0.00000000
0.03805914,0.99026000,0.08770752,0.97430000,0.00000000
0.03477933,0.99160000,0.08599664,0.97490000,0.00000000
0.03257348,0.99234000,0.08616507,0.97420000,0.00000000
0.03151582,0.99268000,0.08782127,0.97520000,0.00000000
0.02939020,0.99316000,0.08578083,0.97460000,0.00000000
0.02894208,0.99312000,0.08818742,0.97500000,0.00000000
0.02677154,0.99396000,0.08536963,0.97490000,0.00000000
0.02420785,0.99510000,0.08484521,0.97570000,0.00000000
0.02314617,0.99554000,0.08569060,0.97580000,0.00000000
0.02177812,0.99596000,0.08407147,0.97500000,0.00000000
0.02067830,0.99616000,0.08570974,0.97550000,0.00000000
0.02109871,0.99562000,0.08817029,0.97460000,0.00000000
0.01867019,0.99698000,0.08565222,0.97570000,0.00000000
0.01793879,0.99714000,0.08660656,0.97610000,0.00000000
0.01681071,0.99744000,0.08601205,0.97500000,0.00000000
0.01619749,0.99758000,0.08680446,0.97620000,0.00000000
0.01485360,0.99816000,0.08580501,0.97530000,0.00000000
0.01396046,0.99838000,0.08587183,0.97650000,0.00000000
0.01360075,0.99834000,0.08769133,0.97530000,0.00000000
0.01346652,0.99826000,0.08900251,0.97670000,0.00000000
0.01270541,0.99834000,0.08951526,0.97650000,0.00000000
0.01217114,0.99858000,0.08992281,0.97620000,0.00000000
0.01106186,0.99886000,0.08877550,0.97620000,0.00000000
0.01048502,0.99896000,0.08976155,0.97610000,0.00000000
0.00994706,0.99914000,0.08971931,0.97570000,0.00000000
0.00956086,0.99914000,0.08925140,0.97570000,0.00000000
0.00946626,0.99916000,0.08983429,0.97650000,0.00000000
0.00867101,0.99944000,0.09157288,0.97670000,0.00000000
0.00834077,0.99940000,0.09087663,0.97650000,0.00000000
0.00823354,0.99950000,0.09106974,0.97640000,0.00000000
0.00757875,0.99956000,0.09114907,0.97650000,0.00000000
0.00731351,0.99960000,0.09164439,0.97760000,0.00000000
0.00688074,0.99968000,0.09180206,0.97590000,0.00000000
0.00665646,0.99970000,0.09337550,0.97680000,0.00000000
0.00625148,0.99966000,0.09296943,0.97660000,0.00000000
0.00611795,0.99976000,0.09432359,0.97700000,0.00000000
0.00577710,0.99978000,0.09423679,0.97680000,0.00000000
0.00561839,0.99978000,0.09403803,0.97680000,0.00000000
0.00527025,0.99984000,0.09462145,0.97710000,0.00000000
0.00554184,0.99980000,0.09698841,0.97700000,0.00000000
0.00503887,0.99988000,0.09622018,0.97690000,0.00000000
0.00497299,0.99986000,0.09637226,0.97700000,0.00000000
0.00458522,0.99992000,0.09568271,0.97690000,0.00000000
0.00467324,0.99988000,0.09674906,0.97700000,0.00000000
0.00427685,0.99996000,0.09731179,0.97710000,0.00000000
0.00414752,0.99990000,0.09795118,0.97740000,0.00000000
0.00402488,0.99994000,0.09877746,0.97700000,0.00000000
0.00388732,0.99996000,0.09922704,0.97750000,0.00000000
0.00372506,0.99996000,0.09855595,0.97740000,0.00000000
0.00362122,1.00000000,0.09882751,0.97740000,0.00000000
0.00353812,0.99998000,0.09900310,0.97730000,0.00000000
0.00344444,0.99998000,0.09996820,0.97700000,0.00000000
0.00337749,0.99998000,0.09997950,0.97720000,0.00000000
0.00324298,1.00000000,0.09996800,0.97730000,0.00000000
0.00317833,1.00000000,0.10146551,0.97740000,0.00000000
0.00311636,1.00000000,0.10182379,0.97790000,0.00000000
0.00299174,0.99998000,0.10211088,0.97790000,0.00000000
0.00297775,1.00000000,0.10166654,0.97720000,0.00000000
0.00281086,1.00000000,0.10161545,0.97760000,0.00000000
0.00280167,1.00000000,0.10235813,0.97810000,0.00000000
0.00271127,1.00000000,0.10240392,0.97720000,0.00000000
0.00259453,1.00000000,0.10279443,0.97770000,0.00000000
0.00255471,1.00000000,0.10323858,0.97750000,0.00000000
0.00249852,1.00000000,0.10363985,0.97720000,0.00000000
0.00245413,1.00000000,0.10388932,0.97750000,0.00000000
0.00239153,1.00000000,0.10351853,0.97740000,0.00000000
0.00233511,1.00000000,0.10455762,0.97740000,0.00000000
0.00228300,1.00000000,0.10496480,0.97710000,0.00000000
0.00226378,1.00000000,0.10468227,0.97740000,0.00000000
0.00218602,1.00000000,0.10521031,0.97740000,0.00000000
0.00214518,1.00000000,0.10584931,0.97790000,0.00000000
0.00210370,1.00000000,0.10590197,0.97770000,0.00000000
0.00204878,1.00000000,0.10666910,0.97750000,0.00000000
0.00199080,1.00000000,0.10617712,0.97780000,0.00000000
0.00195581,1.00000000,0.10617929,0.97740000,0.00000000
0.00192686,1.00000000,0.10734819,0.97750000,0.00000000
0.00190173,1.00000000,0.10752150,0.97760000,0.00000000
0.00187567,1.00000000,0.10727322,0.97780000,0.00000000
0.00180123,1.00000000,0.10796738,0.97760000,0.00000000
0.00177181,1.00000000,0.10771481,0.97750000,0.00000000
