activation: lrelu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 466.09
error(train),acc(train),error(valid),acc(valid),params_penalty
2.77800708,0.08968000,2.77861401,0.09010000,0.00000000
0.15925496,0.95196000,0.15948916,0.95410000,0.00000000
0.09265660,0.97158000,0.11229954,0.96660000,0.00000000
0.06865129,0.98060000,0.10467405,0.97000000,0.00000000
0.05898203,0.98206000,0.10581464,0.96970000,0.00000000
0.04054245,0.98864000,0.08908888,0.97360000,0.00000000
0.03361269,0.99038000,0.09285665,0.97230000,0.00000000
0.02825411,0.99140000,0.09760074,0.97360000,0.00000000
0.02028477,0.99522000,0.09146612,0.97440000,0.00000000
0.01756629,0.99584000,0.08792756,0.97600000,0.00000000
0.01269129,0.99760000,0.09184423,0.97650000,0.00000000
0.01115278,0.99778000,0.09476160,0.97540000,0.00000000
0.00755220,0.99888000,0.09524311,0.97670000,0.00000000
0.00720063,0.99892000,0.09932995,0.97500000,0.00000000
0.00636598,0.99904000,0.09633449,0.97530000,0.00000000
0.00382849,0.99988000,0.09590036,0.97650000,0.00000000
0.00282183,0.99996000,0.09457139,0.97820000,0.00000000
0.00234283,0.99996000,0.09662342,0.97820000,0.00000000
0.00227816,0.99990000,0.10007218,0.97770000,0.00000000
0.00179764,0.99996000,0.09931962,0.97880000,0.00000000
0.00173780,0.99998000,0.10186313,0.97730000,0.00000000
0.00149350,1.00000000,0.10323974,0.97760000,0.00000000
0.00135568,1.00000000,0.10235178,0.97800000,0.00000000
0.00122188,1.00000000,0.10264793,0.97830000,0.00000000
0.00115055,0.99998000,0.10462195,0.97770000,0.00000000
0.00111183,1.00000000,0.10699509,0.97790000,0.00000000
0.00097054,1.00000000,0.10714893,0.97800000,0.00000000
0.00091049,1.00000000,0.10824072,0.97800000,0.00000000
0.00088600,1.00000000,0.10835743,0.97820000,0.00000000
0.00082199,1.00000000,0.10811551,0.97810000,0.00000000
0.00077752,1.00000000,0.10935802,0.97830000,0.00000000
0.00072804,1.00000000,0.10996837,0.97820000,0.00000000
0.00070254,1.00000000,0.11095105,0.97780000,0.00000000
0.00067678,1.00000000,0.11092765,0.97810000,0.00000000
0.00067419,1.00000000,0.11230206,0.97780000,0.00000000
0.00060564,1.00000000,0.11268127,0.97840000,0.00000000
0.00058855,1.00000000,0.11341809,0.97790000,0.00000000
0.00056578,1.00000000,0.11317146,0.97810000,0.00000000
0.00052893,1.00000000,0.11463173,0.97800000,0.00000000
0.00053031,1.00000000,0.11487372,0.97800000,0.00000000
0.00049520,1.00000000,0.11539622,0.97800000,0.00000000
0.00047804,1.00000000,0.11585069,0.97810000,0.00000000
0.00045949,1.00000000,0.11566181,0.97830000,0.00000000
0.00045161,1.00000000,0.11682482,0.97810000,0.00000000
0.00043325,1.00000000,0.11689630,0.97850000,0.00000000
0.00041720,1.00000000,0.11758155,0.97830000,0.00000000
0.00040335,1.00000000,0.11825491,0.97840000,0.00000000
0.00039033,1.00000000,0.11815979,0.97830000,0.00000000
0.00038158,1.00000000,0.11943449,0.97830000,0.00000000
0.00036778,1.00000000,0.11972422,0.97800000,0.00000000
0.00035820,1.00000000,0.11997277,0.97840000,0.00000000
0.00034883,1.00000000,0.12047444,0.97790000,0.00000000
0.00033976,1.00000000,0.12025913,0.97850000,0.00000000
0.00032958,1.00000000,0.12097884,0.97860000,0.00000000
0.00032467,1.00000000,0.12145342,0.97820000,0.00000000
0.00031526,1.00000000,0.12129426,0.97850000,0.00000000
0.00030790,1.00000000,0.12202903,0.97820000,0.00000000
0.00029999,1.00000000,0.12245445,0.97810000,0.00000000
0.00029283,1.00000000,0.12258862,0.97820000,0.00000000
0.00028527,1.00000000,0.12323726,0.97810000,0.00000000
