activation: relu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 376.52
error(train),acc(train),error(valid),acc(valid),params_penalty
2.74376128,0.08282000,2.74597114,0.08210000,0.00000000
0.14427703,0.95774000,0.14756282,0.95830000,0.00000000
0.09676722,0.97132000,0.11817937,0.96420000,0.00000000
0.07685325,0.97712000,0.10869488,0.96780000,0.00000000
0.05478454,0.98384000,0.09434872,0.97330000,0.00000000
0.04148722,0.98816000,0.08629232,0.97520000,0.00000000
0.03754355,0.98872000,0.09251304,0.97310000,0.00000000
0.03755443,0.98868000,0.10009786,0.97250000,0.00000000
0.02475317,0.99284000,0.08866216,0.97640000,0.00000000
0.01682649,0.99574000,0.08171012,0.97750000,0.00000000
0.01418577,0.99674000,0.08751294,0.97700000,0.00000000
0.01227200,0.99738000,0.08511921,0.97670000,0.00000000
0.00879271,0.99848000,0.08437519,0.97800000,0.00000000
0.00772617,0.99878000,0.08647075,0.97780000,0.00000000
0.00583082,0.99938000,0.08700692,0.97800000,0.00000000
0.00379939,0.99976000,0.08681433,0.97800000,0.00000000
0.00312403,0.99992000,0.08934504,0.97840000,0.00000000
0.00248969,0.99994000,0.08852497,0.97900000,0.00000000
0.00223181,0.99990000,0.09154284,0.97870000,0.00000000
0.00216144,0.99992000,0.09135488,0.97990000,0.00000000
0.00155639,1.00000000,0.09224077,0.97930000,0.00000000
0.00142451,1.00000000,0.09326594,0.97970000,0.00000000
0.00128361,0.99998000,0.09365264,0.97920000,0.00000000
0.00117817,1.00000000,0.09442645,0.97980000,0.00000000
0.00107338,1.00000000,0.09438322,0.97930000,0.00000000
0.00104795,1.00000000,0.09563958,0.97980000,0.00000000
0.00098860,1.00000000,0.09788762,0.97890000,0.00000000
0.00090286,1.00000000,0.09756817,0.97940000,0.00000000
0.00084279,1.00000000,0.09882046,0.97940000,0.00000000
0.00077493,1.00000000,0.09937421,0.97950000,0.00000000
0.00074948,1.00000000,0.09961255,0.97980000,0.00000000
0.00070396,1.00000000,0.10069389,0.97980000,0.00000000
0.00067831,1.00000000,0.10067335,0.97970000,0.00000000
0.00062640,1.00000000,0.10134483,0.97940000,0.00000000
0.00060806,1.00000000,0.10237700,0.97940000,0.00000000
0.00057903,1.00000000,0.10252399,0.97980000,0.00000000
0.00055258,1.00000000,0.10308090,0.97930000,0.00000000
0.00052994,1.00000000,0.10344596,0.98000000,0.00000000
0.00051070,1.00000000,0.10368477,0.97990000,0.00000000
0.00049746,1.00000000,0.10470517,0.97980000,0.00000000
0.00047178,1.00000000,0.10478982,0.97980000,0.00000000
0.00045996,1.00000000,0.10477752,0.98000000,0.00000000
0.00044295,1.00000000,0.10528054,0.97970000,0.00000000
0.00042966,1.00000000,0.10651206,0.97960000,0.00000000
0.00042208,1.00000000,0.10640430,0.97950000,0.00000000
0.00039892,1.00000000,0.10682109,0.97970000,0.00000000
0.00038657,1.00000000,0.10736828,0.97970000,0.00000000
0.00038241,1.00000000,0.10761977,0.97980000,0.00000000
0.00036399,1.00000000,0.10812827,0.97960000,0.00000000
0.00035524,1.00000000,0.10847505,0.97980000,0.00000000
0.00034800,1.00000000,0.10879788,0.98000000,0.00000000
0.00033716,1.00000000,0.10920570,0.97970000,0.00000000
0.00032569,1.00000000,0.10956011,0.97980000,0.00000000
0.00031974,1.00000000,0.10995655,0.97990000,0.00000000
0.00031112,1.00000000,0.11040393,0.97970000,0.00000000
0.00030196,1.00000000,0.11039867,0.97960000,0.00000000
0.00029665,1.00000000,0.11105909,0.97950000,0.00000000
0.00028801,1.00000000,0.11132201,0.97980000,0.00000000
0.00027991,1.00000000,0.11164276,0.97950000,0.00000000
0.00027413,1.00000000,0.11177633,0.97970000,0.00000000
0.00026642,1.00000000,0.11214370,0.97980000,0.00000000
0.00026288,1.00000000,0.11243447,0.97980000,0.00000000
0.00025513,1.00000000,0.11274101,0.97980000,0.00000000
0.00025389,1.00000000,0.11294880,0.97990000,0.00000000
0.00024539,1.00000000,0.11340763,0.97990000,0.00000000
0.00024062,1.00000000,0.11329056,0.97990000,0.00000000
0.00023557,1.00000000,0.11357044,0.97970000,0.00000000
0.00022983,1.00000000,0.11388017,0.97990000,0.00000000
0.00022754,1.00000000,0.11449648,0.97970000,0.00000000
0.00022105,1.00000000,0.11482981,0.97980000,0.00000000
0.00021734,1.00000000,0.11469310,0.97990000,0.00000000
0.00021531,1.00000000,0.11494897,0.97950000,0.00000000
0.00020884,1.00000000,0.11507488,0.97990000,0.00000000
0.00020535,1.00000000,0.11546125,0.97970000,0.00000000
0.00020211,1.00000000,0.11586937,0.97980000,0.00000000
0.00019873,1.00000000,0.11592852,0.97980000,0.00000000
0.00019651,1.00000000,0.11595404,0.97970000,0.00000000
0.00019176,1.00000000,0.11648418,0.97990000,0.00000000
