activation: sigmoid, batch_size: 50, learning_rate: 0.10, number_epochs: 100, init: GlorotUniformInit, time: 498.86
error(train),acc(train),error(valid),acc(valid),params_penalty
2.47390406,0.10194000,2.47057687,0.10290000,0.00000000
0.33869886,0.90630000,0.31709680,0.91230000,0.00000000
0.24072157,0.93248000,0.22630391,0.93560000,0.00000000
0.19589143,0.94474000,0.19116060,0.94720000,0.00000000
0.16186415,0.95368000,0.16319629,0.95480000,0.00000000
0.13648713,0.96220000,0.14365219,0.96070000,0.00000000
0.11838333,0.96762000,0.13195117,0.96530000,0.00000000
0.10372705,0.97194000,0.12052979,0.96870000,0.00000000
0.09561371,0.97364000,0.11968390,0.96690000,0.00000000
0.08129529,0.97838000,0.10837317,0.97000000,0.00000000
0.07261232,0.98154000,0.10319183,0.97150000,0.00000000
0.06509202,0.98394000,0.09984141,0.97190000,0.00000000
0.06231111,0.98470000,0.10100363,0.97070000,0.00000000
0.05641009,0.98622000,0.09636672,0.97250000,0.00000000
0.05267827,0.98714000,0.09604980,0.97240000,0.00000000
0.04402209,0.99016000,0.08938916,0.97490000,0.00000000
0.03947041,0.99186000,0.08905622,0.97520000,0.00000000
0.03572993,0.99294000,0.08641117,0.97550000,0.00000000
0.03293158,0.99382000,0.08569030,0.97600000,0.00000000
0.03211886,0.99380000,0.08693714,0.97570000,0.00000000
0.02724357,0.99552000,0.08600697,0.97590000,0.00000000
0.02627806,0.99584000,0.08459383,0.97580000,0.00000000
0.02327766,0.99666000,0.08475536,0.97630000,0.00000000
0.02117955,0.99720000,0.08440585,0.97570000,0.00000000
0.01993891,0.99734000,0.08423523,0.97620000,0.00000000
0.01779642,0.99772000,0.08262375,0.97680000,0.00000000
0.01706675,0.99796000,0.08520207,0.97720000,0.00000000
0.01584562,0.99834000,0.08409102,0.97650000,0.00000000
0.01491691,0.99856000,0.08341305,0.97620000,0.00000000
0.01294867,0.99890000,0.08329321,0.97730000,0.00000000
0.01211207,0.99910000,0.08480658,0.97710000,0.00000000
0.01163262,0.99912000,0.08267427,0.97740000,0.00000000
0.01075284,0.99926000,0.08464099,0.97690000,0.00000000
0.01005382,0.99946000,0.08554901,0.97660000,0.00000000
0.00931617,0.99942000,0.08474257,0.97650000,0.00000000
0.00881095,0.99954000,0.08548583,0.97740000,0.00000000
0.00840263,0.99960000,0.08601568,0.97620000,0.00000000
0.00765064,0.99970000,0.08584743,0.97680000,0.00000000
0.00730504,0.99972000,0.08556893,0.97660000,0.00000000
0.00691368,0.99974000,0.08595107,0.97620000,0.00000000
0.00663148,0.99978000,0.08588586,0.97750000,0.00000000
0.00620118,0.99980000,0.08767520,0.97690000,0.00000000
0.00593138,0.99980000,0.08726791,0.97660000,0.00000000
0.00573601,0.99980000,0.08673096,0.97660000,0.00000000
0.00545222,0.99986000,0.08887786,0.97650000,0.00000000
0.00518642,0.99986000,0.08740574,0.97730000,0.00000000
0.00490181,0.99988000,0.08805530,0.97720000,0.00000000
0.00470214,0.99988000,0.08806167,0.97710000,0.00000000
0.00448576,0.99996000,0.08892386,0.97710000,0.00000000
0.00448267,0.99994000,0.08936242,0.97690000,0.00000000
0.00418638,0.99996000,0.08836015,0.97710000,0.00000000
0.00400125,0.99994000,0.08978280,0.97730000,0.00000000
0.00390616,0.99996000,0.08959868,0.97760000,0.00000000
0.00382360,0.99998000,0.08955917,0.97670000,0.00000000
0.00355526,0.99998000,0.09007303,0.97730000,0.00000000
0.00344877,0.99996000,0.08972487,0.97730000,0.00000000
0.00339577,1.00000000,0.08985808,0.97740000,0.00000000
0.00325584,1.00000000,0.09047300,0.97710000,0.00000000
0.00315597,1.00000000,0.09153229,0.97670000,0.00000000
0.00306250,1.00000000,0.09072124,0.97770000,0.00000000
