activation: selu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: GlorotUniformInit, time: 423.27
error(train),acc(train),error(valid),acc(valid),params_penalty
3.34012109,0.08052000,3.36432675,0.07560000,0.00000000
0.49348244,0.85452000,0.45298803,0.86900000,0.00000000
0.37718729,0.88900000,0.35068553,0.89690000,0.00000000
0.32612373,0.90300000,0.30851444,0.90790000,0.00000000
0.29268700,0.91360000,0.27865566,0.91810000,0.00000000
0.26873927,0.92078000,0.25733577,0.92410000,0.00000000
0.24975517,0.92680000,0.24156816,0.92860000,0.00000000
0.23433938,0.93196000,0.22869288,0.93210000,0.00000000
0.22091193,0.93554000,0.21770204,0.93590000,0.00000000
0.20877346,0.93932000,0.20607935,0.94100000,0.00000000
0.19860783,0.94296000,0.19863849,0.94200000,0.00000000
0.18950737,0.94554000,0.19075280,0.94460000,0.00000000
0.18113624,0.94748000,0.18445180,0.94750000,0.00000000
0.17374541,0.94988000,0.17735039,0.94980000,0.00000000
0.16689923,0.95186000,0.17346018,0.95110000,0.00000000
0.16070176,0.95374000,0.16805424,0.95310000,0.00000000
0.15490117,0.95534000,0.16390667,0.95390000,0.00000000
0.14987383,0.95696000,0.16036510,0.95510000,0.00000000
0.14458068,0.95846000,0.15601227,0.95660000,0.00000000
0.13999256,0.95976000,0.15306275,0.95680000,0.00000000
0.13593963,0.96146000,0.14973599,0.95730000,0.00000000
0.13155477,0.96238000,0.14737022,0.95850000,0.00000000
0.12796861,0.96326000,0.14548989,0.95990000,0.00000000
0.12429906,0.96486000,0.14255714,0.95960000,0.00000000
0.12064091,0.96606000,0.13971323,0.96110000,0.00000000
0.11745021,0.96612000,0.13749519,0.96090000,0.00000000
0.11440473,0.96706000,0.13634020,0.96140000,0.00000000
0.11147579,0.96778000,0.13354043,0.96190000,0.00000000
0.10834185,0.96890000,0.13227023,0.96260000,0.00000000
0.10552867,0.96968000,0.13065085,0.96400000,0.00000000
0.10270860,0.97038000,0.12903291,0.96430000,0.00000000
0.10089429,0.97082000,0.12749162,0.96410000,0.00000000
0.09820814,0.97160000,0.12630399,0.96390000,0.00000000
0.09562803,0.97224000,0.12472680,0.96500000,0.00000000
0.09337332,0.97328000,0.12322044,0.96510000,0.00000000
0.09111074,0.97360000,0.12207292,0.96580000,0.00000000
0.08944447,0.97440000,0.12087696,0.96580000,0.00000000
0.08732277,0.97520000,0.11999232,0.96580000,0.00000000
0.08524903,0.97576000,0.11883508,0.96600000,0.00000000
0.08362655,0.97606000,0.11807814,0.96570000,0.00000000
0.08200103,0.97670000,0.11731851,0.96650000,0.00000000
0.07995922,0.97736000,0.11602658,0.96730000,0.00000000
0.07831726,0.97784000,0.11504970,0.96750000,0.00000000
0.07681780,0.97840000,0.11431841,0.96780000,0.00000000
0.07518603,0.97868000,0.11332196,0.96770000,0.00000000
0.07360783,0.97892000,0.11238951,0.96770000,0.00000000
0.07220884,0.97940000,0.11258595,0.96790000,0.00000000
0.07058716,0.98032000,0.11148616,0.96760000,0.00000000
0.06922363,0.98066000,0.11138877,0.96850000,0.00000000
0.06820572,0.98098000,0.11052141,0.96860000,0.00000000
0.06644731,0.98154000,0.10989547,0.96860000,0.00000000
0.06560870,0.98200000,0.10939247,0.96900000,0.00000000
0.06397357,0.98272000,0.10848171,0.96910000,0.00000000
0.06262658,0.98314000,0.10795043,0.96970000,0.00000000
0.06158044,0.98340000,0.10815993,0.96930000,0.00000000
0.06046362,0.98360000,0.10773680,0.96980000,0.00000000
0.05927453,0.98394000,0.10749192,0.96910000,0.00000000
0.05828609,0.98474000,0.10640475,0.97000000,0.00000000
0.05706619,0.98472000,0.10635071,0.97010000,0.00000000
0.05599008,0.98488000,0.10575574,0.96990000,0.00000000
0.05516960,0.98542000,0.10519700,0.97060000,0.00000000
0.05407931,0.98536000,0.10565640,0.97080000,0.00000000
0.05316004,0.98624000,0.10484729,0.97030000,0.00000000
0.05202198,0.98626000,0.10455678,0.97040000,0.00000000
0.05131563,0.98686000,0.10398575,0.96990000,0.00000000
0.05029124,0.98722000,0.10436294,0.97070000,0.00000000
0.04945682,0.98778000,0.10464345,0.97060000,0.00000000
0.04827844,0.98802000,0.10301424,0.97060000,0.00000000
0.04764605,0.98796000,0.10378116,0.97000000,0.00000000
0.04675284,0.98840000,0.10300070,0.97080000,0.00000000
0.04578442,0.98856000,0.10257760,0.97070000,0.00000000
0.04514762,0.98862000,0.10278768,0.97050000,0.00000000
0.04422399,0.98914000,0.10213412,0.97030000,0.00000000
0.04335452,0.98928000,0.10200359,0.97120000,0.00000000
0.04283737,0.98952000,0.10254532,0.97100000,0.00000000
0.04199469,0.98956000,0.10178414,0.97180000,0.00000000
0.04140426,0.98992000,0.10195528,0.97040000,0.00000000
0.04033269,0.99040000,0.10162697,0.97160000,0.00000000
0.03970600,0.99034000,0.10080739,0.97130000,0.00000000
0.03897124,0.99078000,0.10102555,0.97120000,0.00000000
0.03835320,0.99094000,0.10085582,0.97170000,0.00000000
0.03763295,0.99108000,0.10153249,0.97160000,0.00000000
0.03725582,0.99156000,0.10181271,0.97130000,0.00000000
0.03643689,0.99174000,0.10108507,0.97150000,0.00000000
0.03573563,0.99182000,0.10041379,0.97120000,0.00000000
0.03505214,0.99212000,0.10062092,0.97190000,0.00000000
0.03443667,0.99218000,0.10103947,0.97180000,0.00000000
0.03392194,0.99238000,0.10135066,0.97130000,0.00000000
0.03352709,0.99252000,0.10111178,0.97090000,0.00000000
0.03262891,0.99292000,0.10042427,0.97200000,0.00000000
0.03217086,0.99300000,0.10117464,0.97170000,0.00000000
0.03173774,0.99324000,0.10059436,0.97160000,0.00000000
0.03102923,0.99340000,0.10114748,0.97170000,0.00000000
0.03047225,0.99356000,0.10048422,0.97200000,0.00000000
0.03001845,0.99368000,0.10059736,0.97180000,0.00000000
0.02947609,0.99396000,0.10034766,0.97160000,0.00000000
0.02884245,0.99414000,0.10084505,0.97150000,0.00000000
0.02841001,0.99426000,0.10083307,0.97160000,0.00000000
0.02801856,0.99424000,0.10133803,0.97170000,0.00000000
0.02746713,0.99450000,0.10108952,0.97130000,0.00000000
0.02689974,0.99482000,0.10048254,0.97220000,0.00000000
