activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 605.48
error(train),acc(train),error(valid),acc(valid),params_penalty
2.30028535,0.11358000,2.30143223,0.11350000,0.00000000
0.18969542,0.94272000,0.19572016,0.94150000,0.00000000
0.11937954,0.96432000,0.13073406,0.96370000,0.00000000
0.10254710,0.96754000,0.12607777,0.96250000,0.00000000
0.09777558,0.96872000,0.13077229,0.96160000,0.00000000
0.05830867,0.98176000,0.10249024,0.97130000,0.00000000
0.04805780,0.98528000,0.10096129,0.97260000,0.00000000
0.03956005,0.98734000,0.09718210,0.97240000,0.00000000
0.04420891,0.98606000,0.10760961,0.97100000,0.00000000
0.03371881,0.98916000,0.10419087,0.97250000,0.00000000
0.02816257,0.99068000,0.10204508,0.97390000,0.00000000
0.03447324,0.98826000,0.12084641,0.97210000,0.00000000
0.01833776,0.99396000,0.11145615,0.97200000,0.00000000
0.01478135,0.99556000,0.10957018,0.97340000,0.00000000
0.02024757,0.99366000,0.11533542,0.97510000,0.00000000
0.02009398,0.99332000,0.11925302,0.97220000,0.00000000
0.01176663,0.99598000,0.11186686,0.97710000,0.00000000
0.01821849,0.99406000,0.12737381,0.97260000,0.00000000
0.01169845,0.99620000,0.11153397,0.97790000,0.00000000
0.00727810,0.99754000,0.12265423,0.97460000,0.00000000
0.01200545,0.99582000,0.12715003,0.97670000,0.00000000
0.01103367,0.99634000,0.13084932,0.97600000,0.00000000
0.00800372,0.99714000,0.11897111,0.97700000,0.00000000
0.00929723,0.99692000,0.14389135,0.97420000,0.00000000
0.01135988,0.99626000,0.14115769,0.97530000,0.00000000
0.00729325,0.99732000,0.13209396,0.97630000,0.00000000
0.02269883,0.99358000,0.16472907,0.97110000,0.00000000
0.00797180,0.99738000,0.14136615,0.97490000,0.00000000
0.00908297,0.99724000,0.14177131,0.97580000,0.00000000
0.00231158,0.99924000,0.13350469,0.97730000,0.00000000
0.00059034,0.99984000,0.13177747,0.97900000,0.00000000
0.00026064,0.99998000,0.13279753,0.97880000,0.00000000
0.00015455,1.00000000,0.13313648,0.97950000,0.00000000
0.00020550,0.99996000,0.13422754,0.97950000,0.00000000
