activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: UniformFanInInit, time: 205.70
error(train),acc(train),error(valid),acc(valid),params_penalty
2.63060383,0.09598000,2.63138041,0.09910000,0.00000000
0.16593087,0.95126000,0.17068860,0.94870000,0.00000000
0.09850540,0.97090000,0.11689419,0.96780000,0.00000000
0.07607826,0.97760000,0.10751798,0.96930000,0.00000000
0.05455114,0.98390000,0.09295348,0.97330000,0.00000000
0.04541943,0.98632000,0.09084119,0.97400000,0.00000000
0.03593507,0.98962000,0.09076369,0.97320000,0.00000000
0.02913455,0.99196000,0.08275233,0.97630000,0.00000000
0.02510714,0.99274000,0.09005387,0.97510000,0.00000000
0.01856137,0.99516000,0.08916041,0.97780000,0.00000000
0.01533487,0.99636000,0.08778937,0.97710000,0.00000000
0.01104966,0.99798000,0.08453444,0.97760000,0.00000000
0.01356876,0.99634000,0.09486348,0.97640000,0.00000000
0.00886952,0.99836000,0.09082809,0.97720000,0.00000000
0.01180302,0.99728000,0.09826481,0.97470000,0.00000000
0.00530782,0.99944000,0.08827838,0.97920000,0.00000000
0.00350390,0.99984000,0.08811833,0.97940000,0.00000000
0.00305057,0.99976000,0.08933561,0.97900000,0.00000000
0.00383119,0.99958000,0.09129550,0.97920000,0.00000000
0.00210331,0.99996000,0.09143338,0.97950000,0.00000000
0.00191128,0.99994000,0.09080003,0.98040000,0.00000000
0.00169092,0.99996000,0.09310858,0.97890000,0.00000000
0.00156832,0.99996000,0.09404658,0.97940000,0.00000000
0.00146763,0.99998000,0.09540669,0.97970000,0.00000000
0.00140256,0.99998000,0.09554222,0.97990000,0.00000000
0.00115455,1.00000000,0.09615787,0.97940000,0.00000000
0.00108465,1.00000000,0.09687907,0.97990000,0.00000000
0.00105251,0.99998000,0.09789040,0.97960000,0.00000000
0.00094453,1.00000000,0.09746079,0.97980000,0.00000000
0.00088002,0.99998000,0.09822894,0.97980000,0.00000000
0.00085866,1.00000000,0.09942338,0.97930000,0.00000000
0.00080029,1.00000000,0.09932185,0.97950000,0.00000000
0.00075639,1.00000000,0.10104422,0.97940000,0.00000000
0.00071193,1.00000000,0.10117987,0.97930000,0.00000000
0.00068045,1.00000000,0.10191611,0.98000000,0.00000000
0.00065511,1.00000000,0.10203778,0.97960000,0.00000000
0.00061786,1.00000000,0.10248039,0.98050000,0.00000000
0.00059129,1.00000000,0.10318136,0.97980000,0.00000000
0.00056725,1.00000000,0.10364782,0.98000000,0.00000000
0.00054481,1.00000000,0.10419095,0.97980000,0.00000000
0.00052945,1.00000000,0.10458847,0.98010000,0.00000000
0.00051349,1.00000000,0.10507448,0.97950000,0.00000000
0.00049417,1.00000000,0.10526484,0.98020000,0.00000000
0.00047210,1.00000000,0.10560201,0.97980000,0.00000000
0.00045588,1.00000000,0.10631170,0.98010000,0.00000000
0.00045701,1.00000000,0.10619533,0.98010000,0.00000000
0.00043783,1.00000000,0.10709659,0.97970000,0.00000000
0.00041661,1.00000000,0.10739566,0.98040000,0.00000000
0.00040497,1.00000000,0.10771945,0.98030000,0.00000000
0.00039744,1.00000000,0.10773544,0.98030000,0.00000000
0.00038004,1.00000000,0.10820183,0.98010000,0.00000000
0.00036857,1.00000000,0.10851057,0.97990000,0.00000000
0.00036361,1.00000000,0.10917944,0.98010000,0.00000000
0.00035627,1.00000000,0.10919734,0.98010000,0.00000000
0.00034096,1.00000000,0.10956946,0.98020000,0.00000000
0.00033286,1.00000000,0.10995003,0.98050000,0.00000000
0.00032446,1.00000000,0.11012202,0.98020000,0.00000000
0.00032320,1.00000000,0.11054701,0.97970000,0.00000000
0.00030794,1.00000000,0.11083489,0.98040000,0.00000000
0.00030186,1.00000000,0.11089976,0.98040000,0.00000000
0.00029568,1.00000000,0.11173461,0.98030000,0.00000000
0.00028877,1.00000000,0.11220244,0.98030000,0.00000000
0.00028151,1.00000000,0.11232075,0.98020000,0.00000000
0.00027398,1.00000000,0.11224031,0.98020000,0.00000000
0.00026850,1.00000000,0.11235368,0.98030000,0.00000000
0.00026293,1.00000000,0.11268372,0.98020000,0.00000000
0.00025729,1.00000000,0.11293706,0.98020000,0.00000000
0.00025237,1.00000000,0.11323528,0.98040000,0.00000000
0.00024814,1.00000000,0.11347142,0.98010000,0.00000000
0.00024262,1.00000000,0.11365997,0.98020000,0.00000000
