activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: UniformFanOutInit, time: 192.48
error(train),acc(train),error(valid),acc(valid),params_penalty
8.67987020,0.09666000,8.74020507,0.09830000,0.00000000
0.15095885,0.95190000,0.18613629,0.94740000,0.00000000
0.07826020,0.97634000,0.12473572,0.96360000,0.00000000
0.06409629,0.97938000,0.12719485,0.96330000,0.00000000
0.04264032,0.98644000,0.11107704,0.97000000,0.00000000
0.03082153,0.99104000,0.10789319,0.96960000,0.00000000
0.02200958,0.99374000,0.10838523,0.97210000,0.00000000
0.01693015,0.99608000,0.10487500,0.97230000,0.00000000
0.01387717,0.99686000,0.10979543,0.97220000,0.00000000
0.00950705,0.99828000,0.10817935,0.97330000,0.00000000
0.00718537,0.99894000,0.10704199,0.97400000,0.00000000
0.00492807,0.99968000,0.10942732,0.97360000,0.00000000
0.00592699,0.99906000,0.11334162,0.97280000,0.00000000
0.00323343,0.99994000,0.11081634,0.97450000,0.00000000
0.00384534,0.99946000,0.11578379,0.97350000,0.00000000
0.00242953,0.99990000,0.11497609,0.97560000,0.00000000
0.00185246,1.00000000,0.11368657,0.97530000,0.00000000
0.00164339,1.00000000,0.11451369,0.97490000,0.00000000
0.00153947,1.00000000,0.11560313,0.97520000,0.00000000
0.00138920,1.00000000,0.11701142,0.97500000,0.00000000
0.00124899,1.00000000,0.11772341,0.97470000,0.00000000
0.00119466,1.00000000,0.11876838,0.97490000,0.00000000
0.00110016,1.00000000,0.11914386,0.97530000,0.00000000
0.00102826,1.00000000,0.11971321,0.97510000,0.00000000
0.00097223,1.00000000,0.12076831,0.97510000,0.00000000
0.00090784,1.00000000,0.12124710,0.97530000,0.00000000
0.00084958,1.00000000,0.12165354,0.97500000,0.00000000
0.00080809,1.00000000,0.12211953,0.97550000,0.00000000
0.00078088,1.00000000,0.12352231,0.97550000,0.00000000
0.00072981,1.00000000,0.12327643,0.97550000,0.00000000
0.00070210,1.00000000,0.12431290,0.97510000,0.00000000
0.00067167,1.00000000,0.12457249,0.97540000,0.00000000
0.00064232,1.00000000,0.12535751,0.97540000,0.00000000
0.00061268,1.00000000,0.12560316,0.97560000,0.00000000
0.00058822,1.00000000,0.12582859,0.97540000,0.00000000
0.00057161,1.00000000,0.12654832,0.97570000,0.00000000
0.00054954,1.00000000,0.12675063,0.97540000,0.00000000
0.00052573,1.00000000,0.12738645,0.97560000,0.00000000
0.00051147,1.00000000,0.12753635,0.97550000,0.00000000
0.00049016,1.00000000,0.12812848,0.97540000,0.00000000
0.00047824,1.00000000,0.12831119,0.97530000,0.00000000
0.00046750,1.00000000,0.12982627,0.97530000,0.00000000
0.00045088,1.00000000,0.12943949,0.97570000,0.00000000
0.00043428,1.00000000,0.12957379,0.97550000,0.00000000
0.00042026,1.00000000,0.13035368,0.97550000,0.00000000
0.00041002,1.00000000,0.13033975,0.97580000,0.00000000
0.00039874,1.00000000,0.13085971,0.97570000,0.00000000
0.00038724,1.00000000,0.13167099,0.97600000,0.00000000
0.00037708,1.00000000,0.13166339,0.97580000,0.00000000
0.00036906,1.00000000,0.13160742,0.97570000,0.00000000
0.00035818,1.00000000,0.13264489,0.97580000,0.00000000
0.00035006,1.00000000,0.13297154,0.97580000,0.00000000
0.00034168,1.00000000,0.13268909,0.97530000,0.00000000
0.00033343,1.00000000,0.13280600,0.97570000,0.00000000
0.00032350,1.00000000,0.13345475,0.97570000,0.00000000
0.00031645,1.00000000,0.13388433,0.97580000,0.00000000
0.00031088,1.00000000,0.13394968,0.97570000,0.00000000
0.00030334,1.00000000,0.13437041,0.97570000,0.00000000
0.00029696,1.00000000,0.13452404,0.97580000,0.00000000
0.00029001,1.00000000,0.13468543,0.97560000,0.00000000
0.00028425,1.00000000,0.13534880,0.97580000,0.00000000
0.00028007,1.00000000,0.13570911,0.97560000,0.00000000
0.00027327,1.00000000,0.13592695,0.97580000,0.00000000
0.00026721,1.00000000,0.13595504,0.97560000,0.00000000
0.00026170,1.00000000,0.13623588,0.97570000,0.00000000
0.00025726,1.00000000,0.13650599,0.97560000,0.00000000
0.00025272,1.00000000,0.13677128,0.97590000,0.00000000
0.00024763,1.00000000,0.13704299,0.97580000,0.00000000
0.00024325,1.00000000,0.13727942,0.97580000,0.00000000
0.00023912,1.00000000,0.13746218,0.97560000,0.00000000
0.00023501,1.00000000,0.13762204,0.97560000,0.00000000
0.00022996,1.00000000,0.13787923,0.97570000,0.00000000
0.00022687,1.00000000,0.13809639,0.97560000,0.00000000
0.00022245,1.00000000,0.13866172,0.97560000,0.00000000
0.00021926,1.00000000,0.13839714,0.97580000,0.00000000
0.00021515,1.00000000,0.13888517,0.97580000,0.00000000
0.00021215,1.00000000,0.13927975,0.97560000,0.00000000
0.00020866,1.00000000,0.13954105,0.97560000,0.00000000
0.00020565,1.00000000,0.13962312,0.97550000,0.00000000
0.00020235,1.00000000,0.13977844,0.97570000,0.00000000
0.00019885,1.00000000,0.13953604,0.97560000,0.00000000
0.00019586,1.00000000,0.14010118,0.97560000,0.00000000
0.00019286,1.00000000,0.14005175,0.97560000,0.00000000
0.00018996,1.00000000,0.14055475,0.97560000,0.00000000
0.00018713,1.00000000,0.14035514,0.97580000,0.00000000
0.00018447,1.00000000,0.14082902,0.97560000,0.00000000
0.00018180,1.00000000,0.14111790,0.97570000,0.00000000
0.00017927,1.00000000,0.14126545,0.97570000,0.00000000
0.00017702,1.00000000,0.14144887,0.97540000,0.00000000
0.00017427,1.00000000,0.14151305,0.97570000,0.00000000
0.00017219,1.00000000,0.14164658,0.97560000,0.00000000
0.00016982,1.00000000,0.14176696,0.97570000,0.00000000
0.00016744,1.00000000,0.14221115,0.97560000,0.00000000
0.00016519,1.00000000,0.14257554,0.97550000,0.00000000
0.00016301,1.00000000,0.14258243,0.97570000,0.00000000
0.00016128,1.00000000,0.14253090,0.97550000,0.00000000
0.00015884,1.00000000,0.14296504,0.97570000,0.00000000
0.00015689,1.00000000,0.14308881,0.97560000,0.00000000
0.00015491,1.00000000,0.14306521,0.97550000,0.00000000
0.00015322,1.00000000,0.14340703,0.97570000,0.00000000
0.00015117,1.00000000,0.14351040,0.97560000,0.00000000
