learning_rate: 0.001, l2_coeff: 0.01, batch_size: 50, num_epochs: 100, error(test): 4.72779770987, acc(test): 0.789113924051
error(train),acc(train),error(valid),acc(valid)
10.05244363,0.02716000,10.01960998,0.02746835
6.65167285,0.31624000,6.64382339,0.31886076
5.94031812,0.48560000,5.93898477,0.48259494
5.63058779,0.55815000,5.63335798,0.55424051
5.46269930,0.59826000,5.46989857,0.59481013
5.35744661,0.62642000,5.36565808,0.62322785
5.28325069,0.64378000,5.29342032,0.64120253
5.22792050,0.65837000,5.23839298,0.65405063
5.18633399,0.66906000,5.19709553,0.66487342
5.14943959,0.68056000,5.16162891,0.67398734
5.11849498,0.68953000,5.13049016,0.68088608
5.09357508,0.69619000,5.10523239,0.68708861
5.07204574,0.70249000,5.08517726,0.69189873
5.05235222,0.70817000,5.06559583,0.70031646
5.03507504,0.71264000,5.04882366,0.70177215
5.01996224,0.71762000,5.03403633,0.70639241
5.00457094,0.72127000,5.01815063,0.71101266
4.99214853,0.72462000,5.00685721,0.71449367
4.98156140,0.72804000,4.99646251,0.71949367
4.96926039,0.73194000,4.98460832,0.72183544
4.95957421,0.73496000,4.97384131,0.72405063
4.95156227,0.73654000,4.96457541,0.72594937
4.94150656,0.73870000,4.95657835,0.72803797
4.93296722,0.74142000,4.94725160,0.73189873
4.92512214,0.74410000,4.93949904,0.73436709
4.91763109,0.74569000,4.93329461,0.73556962
4.91096729,0.74759000,4.92514796,0.73930380
4.90361198,0.74926000,4.91810646,0.74132911
4.89847260,0.74980000,4.91404998,0.74202532
4.89149658,0.75277000,4.90665815,0.74443038
4.88580188,0.75425000,4.89941372,0.74556962
4.88033105,0.75568000,4.89436270,0.74778481
4.87593063,0.75716000,4.88976337,0.74905063
4.86962943,0.75849000,4.88360847,0.75050633
4.86503533,0.76014000,4.87843272,0.75234177
4.86000931,0.76085000,4.87356275,0.75265823
4.85593108,0.76109000,4.86990797,0.75405063
4.85147184,0.76286000,4.86540745,0.75468354
4.84729242,0.76361000,4.86161494,0.75626582
4.84314467,0.76518000,4.85721030,0.75803797
4.83907186,0.76617000,4.85251816,0.75791139
4.83612939,0.76642000,4.84942085,0.75911392
4.83106065,0.76795000,4.84441369,0.76113924
4.82880027,0.76781000,4.84148992,0.76056962
4.82451614,0.76913000,4.83734831,0.76234177
4.82084574,0.76976000,4.83394199,0.76246835
4.81805160,0.77004000,4.83082609,0.76417722
4.81473715,0.77155000,4.82787737,0.76525316
4.81075331,0.77198000,4.82375463,0.76683544
4.80881192,0.77307000,4.82089269,0.76670886
4.80416538,0.77372000,4.81640522,0.76822785
4.80175666,0.77528000,4.81430289,0.76829114
4.79853971,0.77575000,4.81128717,0.76968354
4.79531516,0.77624000,4.80812047,0.77006329
4.79349492,0.77702000,4.80564641,0.77075949
4.79090241,0.77648000,4.80364141,0.77120253
4.78781074,0.77857000,4.80027340,0.77139241
4.78485849,0.77887000,4.79672900,0.77462025
4.78180958,0.77894000,4.79423434,0.77310127
4.78042274,0.78009000,4.79220540,0.77455696
4.77701411,0.78059000,4.78958781,0.77582278
4.77527596,0.78119000,4.78706306,0.77626582
4.77336608,0.78200000,4.78599999,0.77702532
4.77036289,0.78297000,4.78302334,0.77803797
4.76764054,0.78251000,4.78000958,0.77689873
4.76592859,0.78412000,4.77811267,0.77721519
4.76424056,0.78367000,4.77623500,0.77886076
4.76216659,0.78505000,4.77404448,0.77955696
4.76008883,0.78444000,4.77240187,0.78056962
4.75768614,0.78556000,4.76947971,0.77974684
4.75578902,0.78586000,4.76786080,0.77987342
4.75605651,0.78589000,4.76770900,0.78208861
4.75303880,0.78678000,4.76480583,0.78227848
4.75023152,0.78755000,4.76242302,0.78303797
4.74971908,0.78751000,4.76121251,0.78265823
4.74697876,0.78803000,4.75929323,0.78265823
4.74635796,0.78889000,4.75778995,0.78405063
4.74494848,0.78911000,4.75680104,0.78398734
4.74281930,0.78943000,4.75444585,0.78550633
4.74089532,0.79012000,4.75225411,0.78386076
4.73930685,0.78954000,4.75140566,0.78322785
4.73763576,0.78994000,4.74965139,0.78455696
4.73805451,0.79024000,4.74943490,0.78582278
4.73470308,0.79075000,4.74588481,0.78715190
4.73387008,0.79111000,4.74550884,0.78443038
4.73205053,0.79171000,4.74357529,0.78835443
4.73131030,0.79213000,4.74371007,0.78696203
4.73012651,0.79246000,4.74236814,0.78778481
4.72848664,0.79210000,4.74038709,0.78740506
4.72811919,0.79232000,4.74029078,0.78772152
4.72604744,0.79227000,4.73689020,0.78765823
4.72507484,0.79277000,4.73770383,0.78753165
4.72416748,0.79379000,4.73544033,0.78803797
4.72236782,0.79356000,4.73396233,0.78854430
4.72162547,0.79459000,4.73369285,0.78854430
4.72034552,0.79395000,4.73234913,0.79063291
4.71853553,0.79461000,4.73040228,0.79037975
4.71802593,0.79473000,4.73017556,0.78981013
4.71721786,0.79469000,4.72896412,0.79044304
4.71668123,0.79497000,4.72886544,0.78835443
4.71585853,0.79524000,4.72764753,0.78911392
