learning_rate: 0.001, batch_size: 50, num_epochs: 100, epsilon: 1e-08, alpha: 0.9, beta: 0.999, dropout_prob: 0.5, error(test): 4.83193387257, acc(test): 0.755189873418
error(train),acc(train),error(valid),acc(valid)
7.81740724,0.02716000,7.81331178,0.02746835
5.46224112,0.64046000,5.47081766,0.63835443
5.25036822,0.67654000,5.26207447,0.67367089
5.14621498,0.69176000,5.15909411,0.68651899
5.09618328,0.70326000,5.11121455,0.69740506
5.05121320,0.70544000,5.06481552,0.69835443
5.01864156,0.71319000,5.03127042,0.70620253
4.98406920,0.72247000,4.99920057,0.71740506
4.97139886,0.72188000,4.98813810,0.71569620
4.97072623,0.72854000,4.98414130,0.72525316
4.93451991,0.72781000,4.95189978,0.72405063
4.93647028,0.73245000,4.95148636,0.72873418
4.91343094,0.73643000,4.92842847,0.73082278
4.92128298,0.73071000,4.93922689,0.72240506
4.90667306,0.73061000,4.92450071,0.72468354
4.89858150,0.73468000,4.91408912,0.72791139
4.89208748,0.73997000,4.90707772,0.73487342
4.88499417,0.73937000,4.89962471,0.73518987
4.88188415,0.73880000,4.89480571,0.73373418
4.87780254,0.73914000,4.89326844,0.73575949
4.89284482,0.73789000,4.90726072,0.73151899
4.87314673,0.73528000,4.88947154,0.73075949
4.87387192,0.74332000,4.88902101,0.73841772
4.85968598,0.74287000,4.87463083,0.73620253
4.85788963,0.74739000,4.87285887,0.73898734
4.87171450,0.74314000,4.88511198,0.73721519
4.86323148,0.74546000,4.87514304,0.74303797
4.85006847,0.74194000,4.86530342,0.74050633
4.85234588,0.74700000,4.86788222,0.74145570
4.84815533,0.74564000,4.86272077,0.74227848
4.85575982,0.74652000,4.86906171,0.74341772
4.85795604,0.74280000,4.87481314,0.73854430
4.84423771,0.75233000,4.86144756,0.74487342
4.85419955,0.74194000,4.86682880,0.73886076
4.84080497,0.75254000,4.85644099,0.74848101
4.83720402,0.75188000,4.85347725,0.74765823
4.84270418,0.74851000,4.85975083,0.74284810
4.83451477,0.74590000,4.85033829,0.74183544
4.83625236,0.75170000,4.85376451,0.74607595
4.84396865,0.74693000,4.86233782,0.74265823
4.84414578,0.75037000,4.86242369,0.74367089
4.83182933,0.75248000,4.85226546,0.74791139
4.83319700,0.74970000,4.84854950,0.74512658
4.83974642,0.75040000,4.85442567,0.74531646
4.84721480,0.75143000,4.86409025,0.74493671
4.83199066,0.75487000,4.84712127,0.75006329
4.83558590,0.75536000,4.85067068,0.75316456
4.82390831,0.75739000,4.84031463,0.75164557
4.82312338,0.75102000,4.83946109,0.74702532
4.83107735,0.74540000,4.84561742,0.73955696
4.83078795,0.75403000,4.85005770,0.74892405
4.84712825,0.75171000,4.86157670,0.74911392
4.82650736,0.75736000,4.84148247,0.75379747
4.82484412,0.75186000,4.83913384,0.74974684
4.82985777,0.75564000,4.84808905,0.74993671
4.82770368,0.75338000,4.84537352,0.74677215
4.81808203,0.75489000,4.83569447,0.74987342
4.83392709,0.75115000,4.85115747,0.74550633
4.81420343,0.75680000,4.83029186,0.75006329
4.82268622,0.75247000,4.83674276,0.74727848
4.83027205,0.74813000,4.84785449,0.74234177
4.82150930,0.75455000,4.83730483,0.75158228
4.82146418,0.75755000,4.83468308,0.75265823
4.82261252,0.75184000,4.83692023,0.74481013
4.82491339,0.75388000,4.83888198,0.74930380
4.81563477,0.75598000,4.83193937,0.75139241
4.83159659,0.74997000,4.85138003,0.74379747
4.82114061,0.74909000,4.83706981,0.74481013
4.81877430,0.75394000,4.83337028,0.75075949
4.80514555,0.75673000,4.81917443,0.75120253
4.82216197,0.75228000,4.83669421,0.74911392
4.81470471,0.75936000,4.82805425,0.75525316
4.81647458,0.75192000,4.83173207,0.74734177
4.81913408,0.75491000,4.83400384,0.75202532
4.81516894,0.75735000,4.83151785,0.75234177
4.81478193,0.75030000,4.83028831,0.74708861
4.82383318,0.75282000,4.84031685,0.74892405
4.81783684,0.75459000,4.83237247,0.74962025
4.81015665,0.75145000,4.82637547,0.74759494
4.80933187,0.75501000,4.82378383,0.75075949
4.80368265,0.75140000,4.81780356,0.74835443
4.82348013,0.75569000,4.83921429,0.75329114
4.81863231,0.75580000,4.83639576,0.74974684
4.81318525,0.75951000,4.82830533,0.75791139
4.80506659,0.75620000,4.82091682,0.75189873
4.81550430,0.75293000,4.82960553,0.74924051
4.82029330,0.75677000,4.83542712,0.75063291
4.81316255,0.75315000,4.82906291,0.74601266
4.80841000,0.75777000,4.82284031,0.75430380
4.81541584,0.75716000,4.83087055,0.74993671
4.81051864,0.76032000,4.82651170,0.75715190
4.80877616,0.76045000,4.82230879,0.75518987
4.81657966,0.76033000,4.83054834,0.75417722
4.80450660,0.76048000,4.81951572,0.75474684
4.81296235,0.75741000,4.82843188,0.75310127
4.82178126,0.75840000,4.83819511,0.75278481
4.80903886,0.75536000,4.82834330,0.75151899
4.81755511,0.75628000,4.83620256,0.74860759
4.81246468,0.76114000,4.82811383,0.75715190
4.80680384,0.75505000,4.82437910,0.75037975
4.81649395,0.75900000,4.83182297,0.75518987
