learning_rate: 0.001, batch_size: 50, num_epochs: 100, epsilon: 1e-08, beta: 0.9, dropout_prob: 0.5, error(test): 7.19104354971, acc(test): 0.296012658228
error(train),acc(train),error(valid),acc(valid)
7.81740724,0.02716000,7.81331178,0.02746835
5.56331849,0.61230000,5.57129485,0.60962025
5.31846477,0.66251000,5.32971356,0.66000000
5.18884607,0.68525000,5.20259660,0.67955696
5.16675095,0.69456000,5.17915209,0.68854430
5.13407057,0.70620000,5.14332260,0.70259494
5.13018677,0.71140000,5.13879340,0.70582278
5.12666593,0.71687000,5.14310754,0.71291139
5.14039529,0.71784000,5.15492490,0.71329114
5.18613885,0.71587000,5.19682446,0.71240506
5.08876114,0.72638000,5.10137887,0.72234177
5.22252830,0.71827000,5.23235996,0.71329114
5.22737182,0.71599000,5.24428484,0.71056962
5.21583274,0.71556000,5.23110095,0.71170886
5.26295080,0.71551000,5.27872551,0.71126582
5.29769221,0.70984000,5.31840521,0.70208861
5.33758945,0.70795000,5.36174105,0.70164557
5.36568293,0.70560000,5.37905699,0.69943038
5.43784874,0.69936000,5.46075028,0.69411392
5.39903250,0.70009000,5.41860284,0.69632911
5.44342112,0.69616000,5.46581539,0.69012658
5.46913450,0.69292000,5.48221311,0.69056962
5.49560027,0.69459000,5.51677747,0.69246835
5.49386132,0.69550000,5.52039157,0.68772152
5.58829222,0.68008000,5.61712197,0.67196203
5.60429283,0.68094000,5.62838844,0.67829114
5.61166042,0.67731000,5.63420648,0.67227848
5.59375758,0.68028000,5.62603813,0.67151899
5.57155428,0.68011000,5.60157594,0.67537975
5.65925511,0.67521000,5.69390593,0.67044304
5.71591701,0.67078000,5.73970953,0.66702532
5.71735923,0.66292000,5.73861402,0.65481013
5.69728793,0.66172000,5.73050973,0.65702532
5.73178495,0.65739000,5.75720462,0.65335443
5.68183722,0.66204000,5.70857451,0.65537975
5.68787067,0.66276000,5.70212334,0.65569620
5.73235683,0.65584000,5.75776998,0.65221519
5.76341031,0.65117000,5.78554217,0.64822785
5.80759471,0.64564000,5.83373788,0.64000000
5.83074252,0.64435000,5.85707725,0.64000000
5.82875120,0.63970000,5.86582463,0.63202532
5.81746149,0.63534000,5.84762904,0.62740506
5.89416577,0.62976000,5.92031702,0.62272152
5.88198223,0.63172000,5.91067953,0.62405063
5.82557317,0.63376000,5.86070799,0.62658228
5.93605900,0.61992000,5.96330416,0.61354430
5.88843195,0.62123000,5.91709762,0.61658228
5.91798345,0.62173000,5.94131812,0.61677215
5.95293121,0.61305000,5.98161205,0.61126582
5.94686972,0.60625000,5.97817804,0.60215190
5.96909711,0.60871000,5.99349854,0.60670886
6.05437164,0.58484000,6.08988227,0.57867089
5.96860486,0.59976000,6.01041742,0.59512658
5.93829413,0.60947000,5.97237923,0.60620253
6.01580648,0.59534000,6.06593524,0.59145570
5.99768673,0.59557000,6.04553711,0.59151899
5.96596498,0.60370000,6.00853992,0.60234177
6.05338876,0.58833000,6.08751153,0.58246835
6.00547254,0.59799000,6.04964367,0.59613924
6.04996464,0.58977000,6.08687203,0.58493671
6.05984751,0.58589000,6.10175142,0.58170886
6.03649157,0.59092000,6.08733346,0.58974684
6.07773022,0.58500000,6.12267315,0.57753165
6.05149752,0.58881000,6.09378229,0.58506329
6.10474327,0.56782000,6.14393710,0.56316456
6.14248512,0.57316000,6.18016741,0.56955696
6.14350702,0.57864000,6.18152418,0.57158228
6.12243133,0.57799000,6.16425952,0.57525316
6.19050749,0.55501000,6.24593470,0.55082278
6.12236039,0.57415000,6.16766121,0.56816456
6.17036069,0.55718000,6.21495043,0.55006329
6.21718613,0.55313000,6.25818698,0.54721519
6.19436514,0.55860000,6.23447553,0.55512658
6.30352378,0.53038000,6.34802161,0.52537975
6.22878727,0.54618000,6.27285860,0.53746835
6.27545003,0.54313000,6.31889824,0.53436709
6.41753008,0.50232000,6.45745139,0.49860759
6.38791975,0.50815000,6.42153214,0.50632911
6.51888959,0.46940000,6.55164195,0.46430380
6.48524470,0.48015000,6.51562419,0.47202532
6.57544500,0.45866000,6.60976921,0.44886076
6.62609093,0.45364000,6.65906799,0.44772152
6.82461487,0.38293000,6.85943120,0.37170886
6.67125685,0.44636000,6.69473675,0.44018987
6.63065581,0.45753000,6.66112683,0.44639241
6.71869868,0.42456000,6.74963359,0.41481013
6.76605590,0.40602000,6.80117396,0.39392405
6.88541849,0.36645000,6.91744925,0.35784810
6.81393405,0.40186000,6.83520421,0.39500000
6.95080640,0.35867000,6.98325612,0.34810127
6.85196694,0.39421000,6.88576549,0.38373418
6.92289498,0.36204000,6.95802143,0.34936709
6.93114043,0.37690000,6.97655041,0.36537975
7.00305781,0.35822000,7.03762921,0.35145570
7.00643238,0.34607000,7.03749390,0.33449367
7.02296996,0.35879000,7.06408659,0.35107595
7.07365337,0.32707000,7.10381397,0.31879747
7.10343428,0.31676000,7.13983809,0.30797468
7.11007367,0.30065000,7.13638422,0.29411392
7.15484303,0.29729000,7.18423112,0.29265823
7.15806828,0.30089000,7.18974655,0.29601266
