learning_rate: 0.001, batch_size: 50, num_epochs: 100, epsilon: 1e-08, beta: 0.9, error(test): 5.01557202171, acc(test): 0.694430379747
error(train),acc(train),error(valid),acc(valid)
7.79561015,0.02311000,7.79522097,0.02322785
5.35855878,0.60061000,5.35697597,0.60291139
5.17766831,0.64378000,5.17782876,0.64481013
5.08069467,0.67037000,5.08683464,0.66924051
5.01846534,0.68949000,5.03067572,0.68620253
4.96676589,0.69966000,4.98320019,0.69348101
4.93936124,0.70492000,4.95895373,0.69734177
4.91343772,0.71215000,4.94304472,0.70341772
4.90320850,0.71428000,4.93937550,0.70594937
4.88254214,0.71938000,4.91748633,0.71164557
4.86979463,0.72013000,4.91277136,0.71063291
4.86103935,0.72572000,4.90852169,0.71506329
4.84975723,0.72949000,4.90016003,0.71683544
4.84864223,0.72826000,4.90253032,0.71696203
4.83059243,0.73250000,4.88987648,0.71943038
4.82444944,0.73617000,4.89247696,0.72164557
4.82641679,0.73450000,4.89106465,0.71816456
4.81324725,0.73762000,4.88151931,0.72373418
4.79924334,0.74098000,4.87383021,0.72398734
4.79366288,0.74449000,4.87212041,0.72594937
4.79406718,0.74370000,4.87957382,0.72373418
4.80303931,0.74005000,4.88703991,0.72037975
4.79727356,0.74385000,4.88551499,0.72291139
4.78471395,0.74461000,4.87990656,0.72449367
4.77687943,0.75018000,4.87297536,0.72860759
4.78347327,0.74606000,4.88541263,0.72341772
4.77596764,0.74869000,4.87991733,0.72411392
4.77804198,0.74877000,4.87968978,0.72765823
4.77628778,0.74837000,4.87649809,0.72607595
4.77894770,0.74823000,4.88011162,0.72677215
4.78241780,0.74503000,4.89208031,0.72189873
4.77236054,0.75084000,4.88223561,0.72506329
4.78449434,0.74818000,4.90622639,0.71968354
4.76209786,0.75265000,4.87667495,0.72772152
4.78413933,0.74646000,4.90704209,0.71974684
4.77782986,0.74476000,4.89067006,0.72056962
4.77244368,0.75139000,4.89269536,0.72253165
4.76475688,0.75034000,4.88731364,0.72316456
4.76723570,0.75282000,4.87967799,0.72360759
4.77860383,0.74724000,4.89974366,0.72329114
4.77585608,0.74756000,4.90205282,0.71892405
4.76933496,0.75061000,4.89443825,0.72278481
4.77556524,0.74880000,4.90031585,0.72455696
4.78362572,0.74797000,4.91314002,0.72177215
4.78977607,0.74302000,4.92424901,0.71284810
4.75946003,0.75259000,4.88830766,0.72841772
4.77979016,0.74760000,4.91223743,0.71930380
4.77846746,0.74202000,4.90394937,0.71474684
4.79469210,0.74209000,4.93205345,0.71481013
4.78211100,0.74663000,4.91653832,0.71658228
4.78236605,0.74596000,4.91171725,0.71670886
4.77776294,0.74730000,4.90575456,0.71886076
4.78330836,0.74496000,4.90846053,0.71588608
4.79567788,0.74198000,4.92745717,0.71367089
4.76632110,0.75197000,4.89135142,0.72335443
4.78354951,0.74269000,4.92131971,0.71291139
4.78103907,0.74568000,4.90504822,0.71518987
4.77155180,0.74949000,4.90958890,0.71620253
4.77558666,0.74676000,4.91061625,0.71822785
4.77299464,0.74802000,4.91091930,0.71569620
4.81537588,0.73513000,4.94026375,0.71018987
4.79144159,0.74639000,4.92738848,0.71664557
4.80608226,0.74372000,4.94248185,0.71537975
4.78428017,0.74394000,4.91294250,0.71556962
4.78443119,0.74850000,4.91718412,0.72044304
4.79256257,0.74214000,4.92709442,0.71348101
4.80144964,0.73952000,4.93926082,0.71392405
4.78785340,0.74626000,4.91509224,0.71569620
4.79779223,0.74393000,4.93768830,0.71493671
4.78995673,0.74433000,4.92351870,0.71905063
4.78091116,0.74376000,4.91401025,0.71892405
4.78599058,0.74832000,4.91975074,0.71759494
4.79625579,0.74705000,4.94484136,0.71715190
4.78850809,0.74527000,4.93295587,0.71537975
4.81320673,0.73611000,4.95688554,0.70867089
4.79437475,0.74384000,4.92947344,0.71632911
4.83588140,0.72638000,4.97199489,0.70056962
4.78737197,0.74410000,4.92351744,0.71626582
4.79259299,0.73998000,4.93041635,0.71196203
4.81279731,0.74033000,4.94881859,0.71468354
4.78347622,0.74693000,4.93158148,0.71658228
4.79920060,0.74225000,4.94202823,0.71367089
4.82775521,0.73255000,4.95700469,0.70670886
4.79989610,0.74176000,4.94670492,0.71430380
4.78965785,0.74454000,4.91983692,0.71715190
4.81732445,0.73381000,4.95552962,0.71006329
4.78087102,0.74854000,4.91496443,0.72132911
4.79897362,0.74209000,4.93766814,0.71341772
4.83768627,0.72616000,4.96449769,0.70107595
4.79403837,0.74409000,4.92796197,0.71715190
4.77994941,0.75111000,4.91481180,0.72392405
4.82241037,0.73812000,4.95745698,0.71411392
4.80232726,0.74368000,4.93632103,0.71810127
4.79906914,0.74088000,4.92802122,0.71531646
4.82630993,0.73566000,4.96012969,0.71183544
4.81626040,0.74025000,4.95611610,0.71316456
4.80540799,0.74378000,4.94406087,0.71632911
4.81913317,0.73477000,4.94575604,0.71000000
4.83249830,0.73679000,4.97232928,0.71126582
4.84948094,0.72669000,4.98564319,0.70006329
4.87684557,0.72099000,5.01505804,0.69443038
