learning_rate: 0.001, batch_size: 50, num_epochs: 100, epsilon: 1e-08, alpha: 0.9, beta: 0.999, l2_coeff: 0.01, error(test): 4.72807066558, acc(test): 0.777911392405
error(train),acc(train),error(valid),acc(valid)
10.05244363,0.02716000,10.01960998,0.02746835
4.83827630,0.74852000,4.84258549,0.74303797
4.80546032,0.76139000,4.81005135,0.75702532
4.76666036,0.77451000,4.77608608,0.77075949
4.75631330,0.77430000,4.76813516,0.77012658
4.74721602,0.77914000,4.75888185,0.77639241
4.76544397,0.77049000,4.77405957,0.76715190
4.72683914,0.78434000,4.73376302,0.78050633
4.74378850,0.77389000,4.75627954,0.76670886
4.73050853,0.78314000,4.73864905,0.78012658
4.70763610,0.78610000,4.71921245,0.78303797
4.73731077,0.78255000,4.74141438,0.77848101
4.73514610,0.77954000,4.74208116,0.77924051
4.72955648,0.78045000,4.73958239,0.77569620
4.71829527,0.78644000,4.72536817,0.78221519
4.72811109,0.78086000,4.73448572,0.77987342
4.72934588,0.78604000,4.73866913,0.78487342
4.73011350,0.78155000,4.73883026,0.77917722
4.74017361,0.77943000,4.75010451,0.77386076
4.72080094,0.78643000,4.72764256,0.78354430
4.73340671,0.78022000,4.74199115,0.77860759
4.72536984,0.78216000,4.73554591,0.77569620
4.72183047,0.78607000,4.73572730,0.77696203
4.72386688,0.78290000,4.73261830,0.78050633
4.72825608,0.78305000,4.73321229,0.78468354
4.72952181,0.78146000,4.73986399,0.77462025
4.71405228,0.78482000,4.72118643,0.78259494
4.72913355,0.78127000,4.74071342,0.77696203
4.72530219,0.78155000,4.73653629,0.77943038
4.70824015,0.78843000,4.71825151,0.78379747
4.72830875,0.78158000,4.73582267,0.77620253
4.71943525,0.78186000,4.72434932,0.78215190
4.73418674,0.77961000,4.74065954,0.77651899
4.73484308,0.78300000,4.74399202,0.77955696
4.71133211,0.78788000,4.72297802,0.78493671
4.71035754,0.79027000,4.71790371,0.78765823
4.71155230,0.78968000,4.72161267,0.78405063
4.73747827,0.77806000,4.74879293,0.77379747
4.71265590,0.78618000,4.71995598,0.78272152
4.71252796,0.78847000,4.72449980,0.78354430
4.71367780,0.78535000,4.72484738,0.77905063
4.72214848,0.78318000,4.73226363,0.78031646
4.74272448,0.77896000,4.74893004,0.77512658
4.71178124,0.79218000,4.72007091,0.78816456
4.73556338,0.77335000,4.74741024,0.76588608
4.71087182,0.78626000,4.71647904,0.78234177
4.73345938,0.77940000,4.74215893,0.77898734
4.72318146,0.78707000,4.72782302,0.78278481
4.73067916,0.78082000,4.73940761,0.78050633
4.70326476,0.78850000,4.71320907,0.78392405
4.70761745,0.78897000,4.71107347,0.78462025
4.71319372,0.78855000,4.72257641,0.78373418
4.71953632,0.78525000,4.72917876,0.77784810
4.70142911,0.79129000,4.70943370,0.79075949
4.72847231,0.78165000,4.73815074,0.77436709
4.71089873,0.78558000,4.72240346,0.78227848
4.73214320,0.78080000,4.74456652,0.77613924
4.72296524,0.78408000,4.73219851,0.78303797
4.71314865,0.78686000,4.72498849,0.78246835
4.72088843,0.78364000,4.73154115,0.77734177
4.73601108,0.78024000,4.74561696,0.77683544
4.71419303,0.78651000,4.71695959,0.78575949
4.69792335,0.79070000,4.70504197,0.78930380
4.70546868,0.78651000,4.71629234,0.78329114
4.70828113,0.78981000,4.71840983,0.78734177
4.71761718,0.78612000,4.72637200,0.78018987
4.69975367,0.78882000,4.70593370,0.78563291
4.70921717,0.78995000,4.71788680,0.78645570
4.72419081,0.78000000,4.73462548,0.77417722
4.71501055,0.78326000,4.72567241,0.78031646
4.71312341,0.78428000,4.72332542,0.77759494
4.71929213,0.78110000,4.72698939,0.77727848
4.70735539,0.78699000,4.71907168,0.78246835
4.71998486,0.78627000,4.72493571,0.78500000
4.71534464,0.78519000,4.72716644,0.78177215
4.74645678,0.77349000,4.75918364,0.76620253
4.71199304,0.78500000,4.72376348,0.77727848
4.72166209,0.78411000,4.72772298,0.78227848
4.72828986,0.78431000,4.74002764,0.78025316
4.71797289,0.78565000,4.72360755,0.78253165
4.73171957,0.77715000,4.73762540,0.77278481
4.73652086,0.78046000,4.74663634,0.77784810
4.71204277,0.78684000,4.72223320,0.78379747
4.71289482,0.78371000,4.72026896,0.77962025
4.72060013,0.78126000,4.73053575,0.77670886
4.70771452,0.78994000,4.71774373,0.78746835
4.71927229,0.78821000,4.72976327,0.78525316
4.71594618,0.78376000,4.72275810,0.77892405
4.71005949,0.78705000,4.71904578,0.78297468
4.72022482,0.78343000,4.73264820,0.77683544
4.70042797,0.79308000,4.71142938,0.78759494
4.73005383,0.78134000,4.74150867,0.77822785
4.71863029,0.78449000,4.72790248,0.78006329
4.71343659,0.78623000,4.72294326,0.78537975
4.71489242,0.78610000,4.72682489,0.78132911
4.69944807,0.79395000,4.70771299,0.78968354
4.73478773,0.78031000,4.74528337,0.77797468
4.69760326,0.79524000,4.70633890,0.79164557
4.70313386,0.78760000,4.71251699,0.78398734
4.70306968,0.78832000,4.71184029,0.78481013
4.71549502,0.78522000,4.72771534,0.77791139
