learning_rate: 0.001, batch_size: 50, num_epochs: 100, error(test): 2.59951623072, acc(test): 0.390759493671
error(train),acc(train),error(valid),acc(valid)
4.89609062,0.02402000,4.89450365,0.02354430
4.09435066,0.07232000,4.10381357,0.06860759
3.78398620,0.11668000,3.78842109,0.11398734
3.61988708,0.14021000,3.62850099,0.13772152
3.51102078,0.15767000,3.51918432,0.15702532
3.43207256,0.17199000,3.43994267,0.16898734
3.36733130,0.18326000,3.37253877,0.18278481
3.31239873,0.19151000,3.31829738,0.19069620
3.26997136,0.19899000,3.27381418,0.20050633
3.23209141,0.20596000,3.23072872,0.20575949
3.19594794,0.21281000,3.20288310,0.21069620
3.16578481,0.21877000,3.17456341,0.21639241
3.13712837,0.22635000,3.14860084,0.22170886
3.11534138,0.22945000,3.12265472,0.22601266
3.09340293,0.23450000,3.09938340,0.23322785
3.07114174,0.24126000,3.08163585,0.23829114
3.05448100,0.24545000,3.05976201,0.24386076
3.03740672,0.24877000,3.04513894,0.24537975
3.01867285,0.25264000,3.02690715,0.24987342
3.00231798,0.25743000,3.01151931,0.25379747
2.98815644,0.26111000,3.00499850,0.25664557
2.97623311,0.26401000,2.98132531,0.26354430
2.96134312,0.26811000,2.96497463,0.26740506
2.94968831,0.27142000,2.95943435,0.26835443
2.93758799,0.27523000,2.94452660,0.27303797
2.92258662,0.27901000,2.93447574,0.27651899
2.91223609,0.28391000,2.91906059,0.28132911
2.90234073,0.28587000,2.91777751,0.28373418
2.89062844,0.28850000,2.90236121,0.28613924
2.88171500,0.29313000,2.89085017,0.28974684
2.87339792,0.29584000,2.88458414,0.29189873
2.86224304,0.29710000,2.87318099,0.29588608
2.85412379,0.30025000,2.86094304,0.30101266
2.84402960,0.30421000,2.85628219,0.30044304
2.83865653,0.30551000,2.85235656,0.30063291
2.82954959,0.30879000,2.84200061,0.30575949
2.81983418,0.31291000,2.82934765,0.31177215
2.81414200,0.31394000,2.82930284,0.31107595
2.80766802,0.31608000,2.81767141,0.31177215
2.80250466,0.31894000,2.81059178,0.31632911
2.79471063,0.32049000,2.80160583,0.32303797
2.78637512,0.32271000,2.79443444,0.32056962
2.78171181,0.32366000,2.79033190,0.32120253
2.77430500,0.32783000,2.78890359,0.32664557
2.77022186,0.32811000,2.77827473,0.33050633
2.76322553,0.33044000,2.77858439,0.32588608
2.76011821,0.33216000,2.76385531,0.33329114
2.75439470,0.33513000,2.76137853,0.33189873
2.74864471,0.33633000,2.75924786,0.33259494
2.74474139,0.33868000,2.74691215,0.33803797
2.73886495,0.33890000,2.75044788,0.33620253
2.73548303,0.34037000,2.74356269,0.34075949
2.72962278,0.34286000,2.74037300,0.34063291
2.72363639,0.34484000,2.73151067,0.34284810
2.72298566,0.34420000,2.73153836,0.34329114
2.71438459,0.34762000,2.72546567,0.34746835
2.71313525,0.34910000,2.72325961,0.34481013
2.70693600,0.35037000,2.71625218,0.34962025
2.70411096,0.35353000,2.71251402,0.35094937
2.69677853,0.35469000,2.71168321,0.35398734
2.69583571,0.35506000,2.70170018,0.35297468
2.69238318,0.35679000,2.70413165,0.35303797
2.68887086,0.35712000,2.69275913,0.35721519
2.68468957,0.35921000,2.69754549,0.35474684
2.68046526,0.36108000,2.68816235,0.35955696
2.67767344,0.36318000,2.69233451,0.36107595
2.67212493,0.36446000,2.68043958,0.36272152
2.66871141,0.36409000,2.68386549,0.35778481
2.66730855,0.36523000,2.68023028,0.36525316
2.66404191,0.36683000,2.66825554,0.36284810
2.66184844,0.36653000,2.66774923,0.36626582
2.65710784,0.36888000,2.66742786,0.36512658
2.65419283,0.36952000,2.66651590,0.36822785
2.65043464,0.37133000,2.66606279,0.36601266
2.65120521,0.37090000,2.65954159,0.36727848
2.64430740,0.37336000,2.65762448,0.37170886
2.63974018,0.37389000,2.65679393,0.37037975
2.63865425,0.37552000,2.64841982,0.37518987
2.63545963,0.37488000,2.65279599,0.37151899
2.63536929,0.37809000,2.64976176,0.37025316
2.63277093,0.37722000,2.63664316,0.37632911
2.62951807,0.37718000,2.63624751,0.37512658
2.62544364,0.37993000,2.63894788,0.37740506
2.62190571,0.38078000,2.64114777,0.37322785
2.62251094,0.37948000,2.63182206,0.37658228
2.61827198,0.38227000,2.63679081,0.37379747
2.61817399,0.38092000,2.62571854,0.37905063
2.61306382,0.38332000,2.61989714,0.37911392
2.61098429,0.38585000,2.62200422,0.38556962
2.60991183,0.38397000,2.62368502,0.38037975
2.60402729,0.38643000,2.62342643,0.37924051
2.60439477,0.38633000,2.62262936,0.37854430
2.60494800,0.38702000,2.61670389,0.37898734
2.59938452,0.38805000,2.61495324,0.38417722
2.59467751,0.38874000,2.61818269,0.38335443
2.59399068,0.39010000,2.60691382,0.38683544
2.59503720,0.39028000,2.60566791,0.38481013
2.59177314,0.39057000,2.60177621,0.38417722
2.58968008,0.39244000,2.60424710,0.38949367
2.58773530,0.39224000,2.60007164,0.39018987
2.58783029,0.39114000,2.59746310,0.39050633
