learning_rate: 0.001, l2_coeff: 0.01, batch_size: 50, num_epochs: 100, error(test): 2.23054548639, acc(test): 0.504303797468
error(train),acc(train),error(valid),acc(valid)
4.92701530,0.02229000,4.95412642,0.02284810
3.87153625,0.11994000,3.89647413,0.12075949
3.60811409,0.16060000,3.63764721,0.15639241
3.46696773,0.18705000,3.49538895,0.18202532
3.37008191,0.20883000,3.39967959,0.20018987
3.29204322,0.23007000,3.31708506,0.22094937
3.23118554,0.24470000,3.25752042,0.23537975
3.17904867,0.25678000,3.20422425,0.25253165
3.13637322,0.26781000,3.16244622,0.25930380
3.09402419,0.27902000,3.12224077,0.27132911
3.05642145,0.28908000,3.08298517,0.28082278
3.02631000,0.29607000,3.05366152,0.28670886
2.99357258,0.30269000,3.01896546,0.29259494
2.96638708,0.30900000,2.99833845,0.29968354
2.94003823,0.31743000,2.96948314,0.30810127
2.91414732,0.32340000,2.94435042,0.31253165
2.89468216,0.32759000,2.92230166,0.32000000
2.86939231,0.33393000,2.89776141,0.32626582
2.85091896,0.33968000,2.87580189,0.33082278
2.82996965,0.34482000,2.85491131,0.33778481
2.81276232,0.35134000,2.83905340,0.34310127
2.79315767,0.35467000,2.82470229,0.34575949
2.77757675,0.36060000,2.80955373,0.34803797
2.76318092,0.36298000,2.79108259,0.35708861
2.74696570,0.36849000,2.77837413,0.36272152
2.73008126,0.37431000,2.76349587,0.36474684
2.71505557,0.37769000,2.74634611,0.36677215
2.70109091,0.38261000,2.73038735,0.37664557
2.68484168,0.38523000,2.72089877,0.37860759
2.67017817,0.38961000,2.70442418,0.37987342
2.65891734,0.39231000,2.69388627,0.38582278
2.64249379,0.39667000,2.67361120,0.38981013
2.63121759,0.39891000,2.67057022,0.39050633
2.61987428,0.40386000,2.65245575,0.39468354
2.60635994,0.40806000,2.64971072,0.39708861
2.59463662,0.41148000,2.63976222,0.40316456
2.58074293,0.41433000,2.62024054,0.40088608
2.57229253,0.41558000,2.60743218,0.41000000
2.56027440,0.42040000,2.59758955,0.41044304
2.55042093,0.42101000,2.58361957,0.40955696
2.54187079,0.42230000,2.57474901,0.41525316
2.52919928,0.42600000,2.56810493,0.41715190
2.51597592,0.43009000,2.56514497,0.41734177
2.50975513,0.43213000,2.54813214,0.42253165
2.49995428,0.43554000,2.54438177,0.42386076
2.48814656,0.43839000,2.53032772,0.43006329
2.47816189,0.44022000,2.51518740,0.43151899
2.46824130,0.44325000,2.51727644,0.43455696
2.46112166,0.44514000,2.50216122,0.43430380
2.44893035,0.44877000,2.49336920,0.43759494
2.44323735,0.44976000,2.49115772,0.43658228
2.43179930,0.45476000,2.47757915,0.43930380
2.42423346,0.45447000,2.47058953,0.44265823
2.41918841,0.45738000,2.45639810,0.44746835
2.41087914,0.45613000,2.45496251,0.44683544
2.39920123,0.46279000,2.44742523,0.45088608
2.39171527,0.46422000,2.43956652,0.45202532
2.38363626,0.46351000,2.43723028,0.44955696
2.37553664,0.46903000,2.42332591,0.45506329
2.36927998,0.46951000,2.41568644,0.45537975
2.36736927,0.46956000,2.41346322,0.45810127
2.35358931,0.47345000,2.40950788,0.45753165
2.34864825,0.47586000,2.40403981,0.46132911
2.34551009,0.47576000,2.39307393,0.45949367
2.33312365,0.47866000,2.38332728,0.46512658
2.32796484,0.48077000,2.37372718,0.46911392
2.32017381,0.48065000,2.36491322,0.47177215
2.31683980,0.48193000,2.35775536,0.47221519
2.30930789,0.48242000,2.36003878,0.47107595
2.30756468,0.48322000,2.34673415,0.47607595
2.29931141,0.48650000,2.35372068,0.47348101
2.29230118,0.48953000,2.34345120,0.47613924
2.28550229,0.49147000,2.33426555,0.47708861
2.27869264,0.49159000,2.34331171,0.47367089
2.27647827,0.49272000,2.32713436,0.47924051
2.26854231,0.49540000,2.32806324,0.47867089
2.26767045,0.49450000,2.32701288,0.48050633
2.26089037,0.49751000,2.30890704,0.48436709
2.25531948,0.49803000,2.32219278,0.48056962
2.24963668,0.50173000,2.30106084,0.48689873
2.24466751,0.50169000,2.29613454,0.48721519
2.24142094,0.50108000,2.30747752,0.48050633
2.23726451,0.50262000,2.29829159,0.48481013
2.23030216,0.50489000,2.28768781,0.48518987
2.22763605,0.50876000,2.29530687,0.49316456
2.22256642,0.50810000,2.28905654,0.48677215
2.21653832,0.51152000,2.27969509,0.49284810
2.21341953,0.51291000,2.26363167,0.50158228
2.20862536,0.51185000,2.26308923,0.49481013
2.21051049,0.51066000,2.27018191,0.49120253
2.20714682,0.51484000,2.26646570,0.49708861
2.19674772,0.51270000,2.26170391,0.49594937
2.19800002,0.51659000,2.26232511,0.50075949
2.19135308,0.51560000,2.24853921,0.50000000
2.18754153,0.51749000,2.24988239,0.50063291
2.18598777,0.51778000,2.23683598,0.50398734
2.17826089,0.52073000,2.24418090,0.50088608
2.17471938,0.52206000,2.24021218,0.50544304
2.17055196,0.51915000,2.23757565,0.50018987
2.17278583,0.52309000,2.23577505,0.50936709
2.16506902,0.52250000,2.22585083,0.50829114
