learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 20, loss: 0.502086654667, acc: 0.83731
val_loss,val_acc,loss,acc
0.90432338,0.74892405,0.82096879,0.75581000
0.70974218,0.77936709,0.63263356,0.80445000
0.66812117,0.79670886,0.58964694,0.81459999
0.69842849,0.79411392,0.57632103,0.81872999
0.76358687,0.77563291,0.56837161,0.81929000
0.74791826,0.77506329,0.57975082,0.81700999
0.73922236,0.78797468,0.56057640,0.82236999
0.75487110,0.79050633,0.55840357,0.82379999
0.70101034,0.80031645,0.55286494,0.82734999
0.72535922,0.79120253,0.55738196,0.82352999
0.72406421,0.79164556,0.56332529,0.82261999
0.79977672,0.78297468,0.54663751,0.82788999
0.71278395,0.80405063,0.56609094,0.82357999
0.82148657,0.77170886,0.56044687,0.82250999
0.83071288,0.75829114,0.55270281,0.82681999
0.77167186,0.79132911,0.54277504,0.82980999
0.82244335,0.79094937,0.55575158,0.82718000
0.75880540,0.79734177,0.54940233,0.82594999
0.80878662,0.78101265,0.54933111,0.82705999
0.76259143,0.78993671,0.55647400,0.82645999
