activation: elu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: GlorotUniformInit, time: 223.23
error(train),acc(train),error(valid),acc(valid),params_penalty
2.76785909,0.11502000,2.76138344,0.11490000,0.00000000
0.62951115,0.82994000,0.57680826,0.85070000,0.00000000
0.46415071,0.86794000,0.42084574,0.88500000,0.00000000
0.39933543,0.88508000,0.36251701,0.89830000,0.00000000
0.36327371,0.89408000,0.33094200,0.90430000,0.00000000
0.33757305,0.90170000,0.30903283,0.91150000,0.00000000
0.31877835,0.90722000,0.29257754,0.91630000,0.00000000
0.30360712,0.91158000,0.28012215,0.91910000,0.00000000
0.29096214,0.91566000,0.26967427,0.92180000,0.00000000
0.27967696,0.91894000,0.25988228,0.92460000,0.00000000
0.27021436,0.92146000,0.25172749,0.92620000,0.00000000
0.26130644,0.92406000,0.24418660,0.92910000,0.00000000
0.25370278,0.92596000,0.23827925,0.93120000,0.00000000
0.24620283,0.92882000,0.23176813,0.93350000,0.00000000
0.23976790,0.93092000,0.22627894,0.93470000,0.00000000
0.23345111,0.93228000,0.22039935,0.93680000,0.00000000
0.22735304,0.93416000,0.21539577,0.93840000,0.00000000
0.22199015,0.93564000,0.21143045,0.93900000,0.00000000
0.21672628,0.93720000,0.20669312,0.94040000,0.00000000
0.21224537,0.93838000,0.20357741,0.94060000,0.00000000
0.20729622,0.94000000,0.19900737,0.94170000,0.00000000
0.20299627,0.94142000,0.19542156,0.94380000,0.00000000
0.19878752,0.94270000,0.19195045,0.94530000,0.00000000
0.19491829,0.94380000,0.18888967,0.94570000,0.00000000
0.19091918,0.94520000,0.18570732,0.94700000,0.00000000
0.18734957,0.94576000,0.18277764,0.94770000,0.00000000
0.18376744,0.94712000,0.17962335,0.94890000,0.00000000
0.18049955,0.94784000,0.17678229,0.95020000,0.00000000
0.17719260,0.94892000,0.17445434,0.95080000,0.00000000
0.17389037,0.94986000,0.17158620,0.95180000,0.00000000
0.17091382,0.95110000,0.16921649,0.95220000,0.00000000
0.16814765,0.95174000,0.16677841,0.95280000,0.00000000
0.16550244,0.95262000,0.16486168,0.95400000,0.00000000
0.16258246,0.95348000,0.16249661,0.95470000,0.00000000
0.15997530,0.95406000,0.16046415,0.95600000,0.00000000
0.15743387,0.95468000,0.15878580,0.95590000,0.00000000
0.15508057,0.95548000,0.15700599,0.95650000,0.00000000
0.15249984,0.95596000,0.15475248,0.95720000,0.00000000
0.15035935,0.95642000,0.15304625,0.95790000,0.00000000
0.14804170,0.95680000,0.15152302,0.95770000,0.00000000
0.14596208,0.95772000,0.14971187,0.95830000,0.00000000
0.14383837,0.95798000,0.14829813,0.95890000,0.00000000
0.14175326,0.95860000,0.14680917,0.95950000,0.00000000
0.13982626,0.95918000,0.14545326,0.95950000,0.00000000
0.13788675,0.95976000,0.14397312,0.95990000,0.00000000
0.13594272,0.96044000,0.14246191,0.96100000,0.00000000
0.13411240,0.96084000,0.14125998,0.96120000,0.00000000
0.13232032,0.96152000,0.13981730,0.96160000,0.00000000
0.13066751,0.96236000,0.13869308,0.96200000,0.00000000
0.12903550,0.96260000,0.13750496,0.96210000,0.00000000
0.12731643,0.96328000,0.13624564,0.96230000,0.00000000
0.12587723,0.96326000,0.13511296,0.96240000,0.00000000
0.12423346,0.96382000,0.13408194,0.96250000,0.00000000
0.12258862,0.96456000,0.13281452,0.96280000,0.00000000
0.12099989,0.96498000,0.13194256,0.96260000,0.00000000
0.11954612,0.96544000,0.13084141,0.96320000,0.00000000
0.11809794,0.96614000,0.12997251,0.96310000,0.00000000
0.11691687,0.96660000,0.12916603,0.96310000,0.00000000
0.11536121,0.96704000,0.12820765,0.96360000,0.00000000
0.11401895,0.96746000,0.12712910,0.96340000,0.00000000
0.11285868,0.96790000,0.12631027,0.96390000,0.00000000
0.11146448,0.96850000,0.12529959,0.96440000,0.00000000
0.11019962,0.96866000,0.12467390,0.96380000,0.00000000
0.10901743,0.96926000,0.12381567,0.96490000,0.00000000
0.10768183,0.96968000,0.12310219,0.96440000,0.00000000
0.10645808,0.97024000,0.12212550,0.96450000,0.00000000
0.10532781,0.97012000,0.12157848,0.96530000,0.00000000
0.10420953,0.97056000,0.12095275,0.96490000,0.00000000
0.10305001,0.97118000,0.12019356,0.96510000,0.00000000
0.10213755,0.97138000,0.11973220,0.96560000,0.00000000
0.10091702,0.97150000,0.11888459,0.96590000,0.00000000
0.09985915,0.97170000,0.11810145,0.96640000,0.00000000
0.09873526,0.97222000,0.11716640,0.96660000,0.00000000
0.09774406,0.97222000,0.11666915,0.96680000,0.00000000
0.09671046,0.97288000,0.11594263,0.96700000,0.00000000
0.09583802,0.97284000,0.11555045,0.96710000,0.00000000
0.09485766,0.97320000,0.11495641,0.96720000,0.00000000
0.09398803,0.97354000,0.11468542,0.96730000,0.00000000
0.09301185,0.97340000,0.11397334,0.96740000,0.00000000
0.09194569,0.97416000,0.11302420,0.96810000,0.00000000
0.09126962,0.97418000,0.11290999,0.96740000,0.00000000
0.09034754,0.97470000,0.11221756,0.96810000,0.00000000
0.08934687,0.97510000,0.11165570,0.96840000,0.00000000
0.08846921,0.97512000,0.11118001,0.96760000,0.00000000
0.08769215,0.97558000,0.11062839,0.96850000,0.00000000
0.08700082,0.97562000,0.11028573,0.96830000,0.00000000
0.08595781,0.97596000,0.10958187,0.96840000,0.00000000
0.08512853,0.97610000,0.10920657,0.96840000,0.00000000
0.08435175,0.97642000,0.10881223,0.96870000,0.00000000
0.08385644,0.97636000,0.10865739,0.96850000,0.00000000
0.08288483,0.97672000,0.10815790,0.96860000,0.00000000
0.08217037,0.97680000,0.10782017,0.96900000,0.00000000
0.08137785,0.97686000,0.10735836,0.96890000,0.00000000
0.08063918,0.97744000,0.10661055,0.96930000,0.00000000
0.07991354,0.97736000,0.10647092,0.96920000,0.00000000
0.07911372,0.97782000,0.10580648,0.96910000,0.00000000
0.07853955,0.97796000,0.10560553,0.96900000,0.00000000
0.07787470,0.97812000,0.10549146,0.96980000,0.00000000
0.07711192,0.97832000,0.10485355,0.96960000,0.00000000
0.07638506,0.97852000,0.10440249,0.96940000,0.00000000
0.07581247,0.97888000,0.10416634,0.97020000,0.00000000
