activation: lrelu, batch_size: 50, learning_rate: 0.10, number_epochs: 100, init: GlorotUniformInit, time: 455.33
error(train),acc(train),error(valid),acc(valid),params_penalty
2.77800708,0.08968000,2.77861401,0.09010000,0.00000000
0.12921514,0.96012000,0.13798209,0.95800000,0.00000000
0.06499543,0.98070000,0.09754175,0.97140000,0.00000000
0.04778879,0.98618000,0.09440419,0.97450000,0.00000000
0.04269980,0.98656000,0.09994755,0.97140000,0.00000000
0.03010551,0.99118000,0.08314061,0.97530000,0.00000000
0.02183340,0.99354000,0.08925768,0.97410000,0.00000000
0.01929189,0.99400000,0.09416430,0.97650000,0.00000000
0.01269071,0.99632000,0.08754954,0.97690000,0.00000000
0.00980111,0.99734000,0.08960317,0.97730000,0.00000000
0.00552242,0.99896000,0.09179754,0.97880000,0.00000000
0.00433324,0.99938000,0.09419098,0.97760000,0.00000000
0.00227926,0.99974000,0.08863204,0.97970000,0.00000000
0.00226615,0.99978000,0.09771886,0.98090000,0.00000000
0.00133086,0.99990000,0.09526152,0.98010000,0.00000000
0.00087697,1.00000000,0.09473545,0.97980000,0.00000000
0.00067643,1.00000000,0.09537042,0.98010000,0.00000000
0.00057935,1.00000000,0.09629275,0.98010000,0.00000000
0.00052836,1.00000000,0.09798012,0.98000000,0.00000000
0.00047847,1.00000000,0.09944528,0.98010000,0.00000000
0.00046430,1.00000000,0.10034839,0.98000000,0.00000000
0.00039167,1.00000000,0.10059072,0.98030000,0.00000000
0.00037817,1.00000000,0.10076003,0.98020000,0.00000000
0.00034047,1.00000000,0.10137717,0.97990000,0.00000000
0.00032098,1.00000000,0.10206997,0.98020000,0.00000000
0.00031095,1.00000000,0.10354088,0.98000000,0.00000000
0.00028825,1.00000000,0.10366848,0.97980000,0.00000000
0.00027512,1.00000000,0.10432409,0.98000000,0.00000000
0.00026545,1.00000000,0.10481136,0.97990000,0.00000000
0.00025360,1.00000000,0.10532319,0.97990000,0.00000000
0.00023865,1.00000000,0.10561344,0.98010000,0.00000000
0.00022745,1.00000000,0.10592123,0.98010000,0.00000000
0.00021712,1.00000000,0.10654450,0.98010000,0.00000000
