activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 433.99
error(train),acc(train),error(valid),acc(valid),params_penalty
3.34012109,0.08052000,3.36432675,0.07560000,0.00000000
0.11979336,0.96278000,0.12667239,0.96240000,0.00000000
0.07500531,0.97732000,0.10202132,0.97060000,0.00000000
0.06399941,0.97916000,0.10827726,0.96990000,0.00000000
0.05059362,0.98342000,0.10690823,0.97050000,0.00000000
0.03250908,0.98992000,0.09563716,0.97480000,0.00000000
0.02677948,0.99124000,0.10009774,0.97480000,0.00000000
0.02364221,0.99194000,0.09356753,0.97400000,0.00000000
0.02061680,0.99304000,0.10164587,0.97590000,0.00000000
0.01044292,0.99688000,0.09431300,0.97710000,0.00000000
0.01050318,0.99678000,0.10414121,0.97590000,0.00000000
0.00734419,0.99782000,0.10202052,0.97830000,0.00000000
0.00422834,0.99916000,0.10164423,0.97910000,0.00000000
0.00207231,0.99972000,0.10239504,0.97920000,0.00000000
0.00106374,0.99990000,0.09888908,0.98010000,0.00000000
0.00059795,0.99996000,0.10062825,0.97940000,0.00000000
0.00042491,1.00000000,0.10161624,0.98050000,0.00000000
0.00035806,1.00000000,0.10271575,0.98050000,0.00000000
0.00032051,1.00000000,0.10359130,0.98060000,0.00000000
0.00028399,1.00000000,0.10451125,0.98030000,0.00000000
0.00026301,1.00000000,0.10573159,0.98060000,0.00000000
0.00023987,1.00000000,0.10627052,0.98040000,0.00000000
0.00022243,1.00000000,0.10706942,0.98030000,0.00000000
0.00020684,1.00000000,0.10782116,0.98040000,0.00000000
0.00019443,1.00000000,0.10877673,0.98050000,0.00000000
0.00018229,1.00000000,0.10935631,0.98040000,0.00000000
0.00017267,1.00000000,0.11015172,0.98060000,0.00000000
0.00016249,1.00000000,0.11058839,0.98050000,0.00000000
0.00015368,1.00000000,0.11075780,0.98030000,0.00000000
0.00014672,1.00000000,0.11164647,0.98050000,0.00000000
0.00013922,1.00000000,0.11222279,0.98020000,0.00000000
0.00013326,1.00000000,0.11276872,0.98030000,0.00000000
0.00012710,1.00000000,0.11343424,0.98060000,0.00000000
0.00012234,1.00000000,0.11366450,0.98030000,0.00000000
0.00011740,1.00000000,0.11419306,0.98050000,0.00000000
0.00011231,1.00000000,0.11459886,0.98030000,0.00000000
0.00010808,1.00000000,0.11504533,0.98050000,0.00000000
0.00010421,1.00000000,0.11547298,0.98050000,0.00000000
0.00010055,1.00000000,0.11578338,0.98060000,0.00000000
0.00009700,1.00000000,0.11622836,0.98040000,0.00000000
0.00009403,1.00000000,0.11702727,0.98040000,0.00000000
0.00009092,1.00000000,0.11742442,0.98050000,0.00000000
0.00008781,1.00000000,0.11758145,0.98060000,0.00000000
0.00008539,1.00000000,0.11793741,0.98060000,0.00000000
0.00008263,1.00000000,0.11830456,0.98040000,0.00000000
0.00008040,1.00000000,0.11864884,0.98060000,0.00000000
