activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 192.25
error(train),acc(train),error(valid),acc(valid),params_penalty
3.12376906,0.09542000,3.13182786,0.09670000,0.00000000
0.15674787,0.95294000,0.16649743,0.95190000,0.00000000
0.09297582,0.97266000,0.11648097,0.96700000,0.00000000
0.07053062,0.97966000,0.10706287,0.96880000,0.00000000
0.05232784,0.98380000,0.09754147,0.97230000,0.00000000
0.04378347,0.98674000,0.09226595,0.97170000,0.00000000
0.03392963,0.98992000,0.09299417,0.97380000,0.00000000
0.02608020,0.99302000,0.08310533,0.97620000,0.00000000
0.02551565,0.99302000,0.09269745,0.97340000,0.00000000
0.01687823,0.99574000,0.08837458,0.97720000,0.00000000
0.01549869,0.99632000,0.08830443,0.97590000,0.00000000
0.01000429,0.99818000,0.08725710,0.97660000,0.00000000
0.01171975,0.99736000,0.09292033,0.97590000,0.00000000
0.00761948,0.99872000,0.09114391,0.97640000,0.00000000
0.00680149,0.99906000,0.09279677,0.97630000,0.00000000
0.00384273,0.99976000,0.08992056,0.97930000,0.00000000
0.00303446,0.99990000,0.08994161,0.97920000,0.00000000
0.00253509,0.99996000,0.09077550,0.97920000,0.00000000
0.00226809,0.99998000,0.09209607,0.97850000,0.00000000
0.00203435,0.99998000,0.09318819,0.97910000,0.00000000
0.00170471,0.99998000,0.09366803,0.97990000,0.00000000
0.00157524,1.00000000,0.09456198,0.97910000,0.00000000
0.00145369,0.99998000,0.09582918,0.97870000,0.00000000
0.00137581,1.00000000,0.09722867,0.97950000,0.00000000
0.00121946,1.00000000,0.09740368,0.97930000,0.00000000
0.00109039,1.00000000,0.09819210,0.97950000,0.00000000
0.00101992,1.00000000,0.09884199,0.97940000,0.00000000
0.00096519,1.00000000,0.09927766,0.97990000,0.00000000
0.00091605,1.00000000,0.09932836,0.97940000,0.00000000
0.00083876,1.00000000,0.09995631,0.98000000,0.00000000
0.00080058,1.00000000,0.10174462,0.97990000,0.00000000
0.00076476,1.00000000,0.10088381,0.97930000,0.00000000
0.00072579,1.00000000,0.10320086,0.97890000,0.00000000
0.00068288,1.00000000,0.10309276,0.97960000,0.00000000
0.00065669,1.00000000,0.10347102,0.97920000,0.00000000
0.00062919,1.00000000,0.10369385,0.97930000,0.00000000
0.00060258,1.00000000,0.10467217,0.97930000,0.00000000
0.00057437,1.00000000,0.10507155,0.97920000,0.00000000
0.00055167,1.00000000,0.10562766,0.97930000,0.00000000
0.00053003,1.00000000,0.10615728,0.97960000,0.00000000
0.00051366,1.00000000,0.10643464,0.97920000,0.00000000
0.00050315,1.00000000,0.10728356,0.97940000,0.00000000
0.00048011,1.00000000,0.10703632,0.97980000,0.00000000
0.00046168,1.00000000,0.10752939,0.97940000,0.00000000
0.00044492,1.00000000,0.10834104,0.97960000,0.00000000
0.00043709,1.00000000,0.10853432,0.97930000,0.00000000
0.00042671,1.00000000,0.10910127,0.97960000,0.00000000
0.00040678,1.00000000,0.10958018,0.97940000,0.00000000
0.00039891,1.00000000,0.10970618,0.97940000,0.00000000
0.00038485,1.00000000,0.10961761,0.97950000,0.00000000
0.00037252,1.00000000,0.11018925,0.97940000,0.00000000
0.00036227,1.00000000,0.11048242,0.97960000,0.00000000
0.00035477,1.00000000,0.11119923,0.97950000,0.00000000
0.00034503,1.00000000,0.11116551,0.97950000,0.00000000
0.00033441,1.00000000,0.11157242,0.97980000,0.00000000
0.00032659,1.00000000,0.11187095,0.97990000,0.00000000
0.00031937,1.00000000,0.11215591,0.97930000,0.00000000
0.00031751,1.00000000,0.11244369,0.97970000,0.00000000
0.00030375,1.00000000,0.11273888,0.97950000,0.00000000
