activation: lrelu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: GlorotUniformInit, time: 144.23
error(train),acc(train),error(valid),acc(valid),params_penalty
2.77800708,0.08968000,2.77861401,0.09010000,0.00000000
0.76738466,0.80378000,0.71590439,0.82610000,0.00000000
0.49925403,0.86534000,0.45572070,0.87810000,0.00000000
0.41107492,0.88642000,0.37541536,0.89530000,0.00000000
0.36621092,0.89678000,0.33700614,0.90430000,0.00000000
0.33675168,0.90416000,0.31132905,0.91150000,0.00000000
0.31544579,0.91008000,0.29362181,0.91680000,0.00000000
0.29856309,0.91510000,0.27900100,0.91980000,0.00000000
0.28524508,0.91798000,0.26795289,0.92140000,0.00000000
0.27306175,0.92220000,0.25821636,0.92510000,0.00000000
0.26235608,0.92538000,0.24869112,0.92770000,0.00000000
0.25296376,0.92744000,0.24057410,0.93130000,0.00000000
0.24456677,0.93008000,0.23347440,0.93330000,0.00000000
0.23746660,0.93178000,0.22787473,0.93530000,0.00000000
0.23010341,0.93406000,0.22140873,0.93700000,0.00000000
0.22383602,0.93558000,0.21593318,0.93780000,0.00000000
0.21784580,0.93698000,0.21110386,0.93980000,0.00000000
0.21221413,0.93944000,0.20546396,0.94220000,0.00000000
0.20714684,0.94062000,0.20206574,0.94280000,0.00000000
0.20213925,0.94174000,0.19765043,0.94430000,0.00000000
0.19775832,0.94306000,0.19426369,0.94560000,0.00000000
0.19339320,0.94460000,0.19022896,0.94570000,0.00000000
0.18945444,0.94542000,0.18733938,0.94670000,0.00000000
0.18536183,0.94634000,0.18384643,0.94880000,0.00000000
0.18181405,0.94716000,0.18067599,0.94880000,0.00000000
0.17821289,0.94868000,0.17818520,0.94970000,0.00000000
0.17546189,0.94928000,0.17597865,0.95010000,0.00000000
0.17178554,0.95006000,0.17336352,0.95150000,0.00000000
0.16862149,0.95106000,0.17049350,0.95210000,0.00000000
0.16570840,0.95226000,0.16827908,0.95230000,0.00000000
0.16292376,0.95312000,0.16594095,0.95310000,0.00000000
0.16005922,0.95378000,0.16373301,0.95380000,0.00000000
0.15757389,0.95466000,0.16146903,0.95460000,0.00000000
0.15514678,0.95560000,0.15975301,0.95490000,0.00000000
0.15285496,0.95574000,0.15813824,0.95540000,0.00000000
0.15030274,0.95720000,0.15636471,0.95540000,0.00000000
0.14831612,0.95718000,0.15491765,0.95670000,0.00000000
0.14604768,0.95822000,0.15349191,0.95620000,0.00000000
0.14401823,0.95862000,0.15190165,0.95660000,0.00000000
0.14160363,0.95982000,0.14964324,0.95840000,0.00000000
0.13961126,0.95994000,0.14831406,0.95810000,0.00000000
0.13781709,0.96048000,0.14748194,0.95800000,0.00000000
0.13588587,0.96124000,0.14595949,0.95930000,0.00000000
0.13397192,0.96192000,0.14443680,0.95970000,0.00000000
0.13218558,0.96260000,0.14309374,0.95930000,0.00000000
0.13070997,0.96300000,0.14212048,0.96070000,0.00000000
0.12880516,0.96328000,0.14113224,0.95970000,0.00000000
0.12710523,0.96376000,0.13954200,0.96020000,0.00000000
0.12550451,0.96410000,0.13857601,0.96050000,0.00000000
0.12408824,0.96446000,0.13817624,0.96100000,0.00000000
0.12243406,0.96532000,0.13649122,0.96200000,0.00000000
0.12105945,0.96550000,0.13581568,0.96160000,0.00000000
0.11979124,0.96586000,0.13463134,0.96300000,0.00000000
0.11802536,0.96612000,0.13363606,0.96210000,0.00000000
0.11670764,0.96684000,0.13257597,0.96320000,0.00000000
0.11527199,0.96730000,0.13170593,0.96280000,0.00000000
0.11390842,0.96738000,0.13132767,0.96270000,0.00000000
0.11273413,0.96782000,0.13010151,0.96320000,0.00000000
0.11130978,0.96836000,0.12949237,0.96340000,0.00000000
0.11015555,0.96832000,0.12902624,0.96300000,0.00000000
0.10899104,0.96910000,0.12779933,0.96320000,0.00000000
0.10756599,0.96950000,0.12671710,0.96340000,0.00000000
0.10646657,0.96986000,0.12576496,0.96400000,0.00000000
0.10541348,0.97022000,0.12610069,0.96360000,0.00000000
0.10424148,0.97030000,0.12451501,0.96360000,0.00000000
0.10322138,0.97120000,0.12377569,0.96420000,0.00000000
0.10225400,0.97084000,0.12387273,0.96480000,0.00000000
0.10107933,0.97158000,0.12282102,0.96480000,0.00000000
0.09976292,0.97184000,0.12212942,0.96490000,0.00000000
0.09897179,0.97208000,0.12196264,0.96490000,0.00000000
0.09782286,0.97274000,0.12073214,0.96560000,0.00000000
0.09684933,0.97296000,0.11972656,0.96470000,0.00000000
0.09599044,0.97304000,0.11959668,0.96540000,0.00000000
0.09494059,0.97304000,0.11889490,0.96510000,0.00000000
0.09401118,0.97360000,0.11864623,0.96560000,0.00000000
0.09310582,0.97370000,0.11777762,0.96600000,0.00000000
0.09216744,0.97408000,0.11739343,0.96550000,0.00000000
0.09141393,0.97416000,0.11721874,0.96570000,0.00000000
0.09037768,0.97464000,0.11660866,0.96630000,0.00000000
0.08952222,0.97500000,0.11567791,0.96660000,0.00000000
0.08871247,0.97512000,0.11561886,0.96680000,0.00000000
0.08767115,0.97544000,0.11490942,0.96630000,0.00000000
0.08691129,0.97580000,0.11404208,0.96650000,0.00000000
0.08607128,0.97572000,0.11413258,0.96690000,0.00000000
0.08527144,0.97610000,0.11356742,0.96690000,0.00000000
0.08458962,0.97636000,0.11337759,0.96720000,0.00000000
0.08376768,0.97666000,0.11231377,0.96770000,0.00000000
0.08308622,0.97690000,0.11248922,0.96800000,0.00000000
0.08227480,0.97702000,0.11234987,0.96770000,0.00000000
0.08147200,0.97748000,0.11149794,0.96850000,0.00000000
0.08083183,0.97734000,0.11156220,0.96810000,0.00000000
0.08002698,0.97766000,0.11116441,0.96800000,0.00000000
0.07964588,0.97792000,0.10983044,0.96850000,0.00000000
0.07870458,0.97856000,0.11006223,0.96900000,0.00000000
0.07793435,0.97838000,0.10982586,0.96900000,0.00000000
0.07736178,0.97850000,0.10877715,0.96900000,0.00000000
0.07675721,0.97856000,0.10905927,0.96850000,0.00000000
0.07613996,0.97868000,0.10919403,0.96860000,0.00000000
0.07512388,0.97898000,0.10797441,0.96900000,0.00000000
0.07450305,0.97922000,0.10795765,0.96920000,0.00000000
0.07398586,0.97940000,0.10759734,0.96900000,0.00000000
