activation: sigmoid, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: GlorotUniformInit, time: 143.98
error(train),acc(train),error(valid),acc(valid),params_penalty
2.47390406,0.10194000,2.47057687,0.10290000,0.00000000
2.24752738,0.31546000,2.24658353,0.31640000,0.00000000
2.19358834,0.39000000,2.19110241,0.39900000,0.00000000
2.13881098,0.51444000,2.13462417,0.53410000,0.00000000
2.08038755,0.54390000,2.07481461,0.56360000,0.00000000
2.01771440,0.57168000,2.01078408,0.59170000,0.00000000
1.95080425,0.60686000,1.94208919,0.63010000,0.00000000
1.88001263,0.61716000,1.86982562,0.64000000,0.00000000
1.80631258,0.62974000,1.79447984,0.65290000,0.00000000
1.73079889,0.64848000,1.71718805,0.67310000,0.00000000
1.65465969,0.66462000,1.63905597,0.68800000,0.00000000
1.57914713,0.68364000,1.56164576,0.70770000,0.00000000
1.50542508,0.69804000,1.48592978,0.72170000,0.00000000
1.43442617,0.71036000,1.41308639,0.73280000,0.00000000
1.36675433,0.72434000,1.34368577,0.74820000,0.00000000
1.30295842,0.73594000,1.27836927,0.75790000,0.00000000
1.24310737,0.75408000,1.21678352,0.77660000,0.00000000
1.18723180,0.76818000,1.15928277,0.79110000,0.00000000
1.13528620,0.77918000,1.10589900,0.80380000,0.00000000
1.08703814,0.78662000,1.05652401,0.81160000,0.00000000
1.04229906,0.79480000,1.01058624,0.82230000,0.00000000
1.00082683,0.80080000,0.96813485,0.82710000,0.00000000
0.96237048,0.80796000,0.92875219,0.83420000,0.00000000
0.92668936,0.81578000,0.89226645,0.84140000,0.00000000
0.89356261,0.81946000,0.85852423,0.84500000,0.00000000
0.86277821,0.82622000,0.82720427,0.84910000,0.00000000
0.83410607,0.82990000,0.79813901,0.85230000,0.00000000
0.80736940,0.83526000,0.77103213,0.85740000,0.00000000
0.78242825,0.83912000,0.74564944,0.86040000,0.00000000
0.75911205,0.84336000,0.72218219,0.86310000,0.00000000
0.73731587,0.84686000,0.70017615,0.86620000,0.00000000
0.71688532,0.85068000,0.67961589,0.87050000,0.00000000
0.69771317,0.85368000,0.66044173,0.87180000,0.00000000
0.67965486,0.85638000,0.64241200,0.87470000,0.00000000
0.66271863,0.85926000,0.62564526,0.87740000,0.00000000
0.64671192,0.86218000,0.60961959,0.87930000,0.00000000
0.63162663,0.86430000,0.59469314,0.88060000,0.00000000
0.61740059,0.86664000,0.58067214,0.88260000,0.00000000
0.60395805,0.86856000,0.56739025,0.88370000,0.00000000
0.59123961,0.87000000,0.55493405,0.88540000,0.00000000
0.57920140,0.87264000,0.54305381,0.88690000,0.00000000
0.56779910,0.87408000,0.53191973,0.88720000,0.00000000
0.55697472,0.87626000,0.52137489,0.88880000,0.00000000
0.54671916,0.87762000,0.51138382,0.88930000,0.00000000
0.53696156,0.87918000,0.50192380,0.89130000,0.00000000
