activation: relu, batch_size: 50, learning_rate: 0.01, number_epochs: 100, init: GlorotUniformInit, time: 404.03
error(train),acc(train),error(valid),acc(valid),params_penalty
2.74376128,0.08282000,2.74597114,0.08210000,0.00000000
0.28116751,0.91902000,0.26057502,0.92480000,0.00000000
0.21321658,0.93842000,0.20564978,0.94300000,0.00000000
0.17842163,0.94820000,0.17710457,0.95020000,0.00000000
0.14781492,0.95876000,0.15284654,0.95800000,0.00000000
0.12893438,0.96436000,0.13988429,0.96080000,0.00000000
0.11551931,0.96700000,0.13139763,0.96280000,0.00000000
0.10787739,0.96978000,0.12949068,0.96410000,0.00000000
0.09411570,0.97386000,0.11720655,0.96630000,0.00000000
0.08706508,0.97608000,0.11355361,0.96770000,0.00000000
0.07936905,0.97820000,0.10882622,0.96870000,0.00000000
0.06996810,0.98098000,0.10075867,0.97030000,0.00000000
0.06680047,0.98194000,0.09997077,0.97020000,0.00000000
0.06112283,0.98364000,0.09731632,0.97150000,0.00000000
0.05668662,0.98444000,0.09596264,0.97230000,0.00000000
0.05221062,0.98592000,0.09308790,0.97260000,0.00000000
0.04805388,0.98716000,0.09314501,0.97290000,0.00000000
0.04538479,0.98826000,0.09194085,0.97370000,0.00000000
0.04296244,0.98884000,0.09202595,0.97320000,0.00000000
0.03967169,0.98982000,0.09018727,0.97400000,0.00000000
0.03750402,0.99072000,0.08917032,0.97330000,0.00000000
0.03435713,0.99194000,0.08798664,0.97460000,0.00000000
0.03238963,0.99252000,0.08569066,0.97470000,0.00000000
0.03242943,0.99212000,0.08723898,0.97430000,0.00000000
0.02792254,0.99410000,0.08543865,0.97550000,0.00000000
0.02732560,0.99412000,0.08553199,0.97470000,0.00000000
0.02441709,0.99506000,0.08472186,0.97640000,0.00000000
0.02363512,0.99556000,0.08614994,0.97640000,0.00000000
0.02261873,0.99564000,0.08595779,0.97610000,0.00000000
0.02116342,0.99584000,0.08794342,0.97570000,0.00000000
0.01963416,0.99676000,0.08718570,0.97560000,0.00000000
0.01879973,0.99704000,0.08802065,0.97580000,0.00000000
0.01835577,0.99670000,0.08740937,0.97530000,0.00000000
0.01640021,0.99762000,0.08618319,0.97560000,0.00000000
0.01565110,0.99766000,0.08655674,0.97570000,0.00000000
0.01421943,0.99832000,0.08712437,0.97600000,0.00000000
0.01364758,0.99828000,0.08784070,0.97610000,0.00000000
0.01327337,0.99852000,0.08910009,0.97520000,0.00000000
0.01253707,0.99848000,0.08766671,0.97600000,0.00000000
0.01150075,0.99882000,0.08922678,0.97500000,0.00000000
0.01097452,0.99898000,0.08961662,0.97610000,0.00000000
0.01066114,0.99890000,0.08822369,0.97590000,0.00000000
0.01033009,0.99904000,0.09008754,0.97520000,0.00000000
0.00941476,0.99920000,0.09063463,0.97520000,0.00000000
0.00921605,0.99920000,0.09102851,0.97620000,0.00000000
0.00887105,0.99926000,0.09124498,0.97570000,0.00000000
0.00812576,0.99942000,0.09179504,0.97690000,0.00000000
0.00769122,0.99950000,0.09243764,0.97680000,0.00000000
0.00759275,0.99944000,0.09424632,0.97540000,0.00000000
0.00720032,0.99960000,0.09262590,0.97540000,0.00000000
0.00709411,0.99962000,0.09454892,0.97630000,0.00000000
0.00708878,0.99958000,0.09512519,0.97540000,0.00000000
0.00619683,0.99970000,0.09493247,0.97640000,0.00000000
0.00612490,0.99978000,0.09468788,0.97640000,0.00000000
0.00601383,0.99972000,0.09543818,0.97630000,0.00000000
0.00538489,0.99986000,0.09496028,0.97580000,0.00000000
0.00554766,0.99984000,0.09704686,0.97600000,0.00000000
0.00493539,0.99984000,0.09664825,0.97570000,0.00000000
0.00487757,0.99986000,0.09697337,0.97540000,0.00000000
0.00461564,0.99988000,0.09697395,0.97640000,0.00000000
0.00454841,0.99992000,0.09838832,0.97590000,0.00000000
0.00445043,0.99994000,0.09802853,0.97590000,0.00000000
0.00435923,0.99992000,0.09878774,0.97580000,0.00000000
0.00400945,0.99994000,0.09886838,0.97660000,0.00000000
0.00384374,0.99994000,0.09943104,0.97650000,0.00000000
0.00372964,0.99996000,0.09944510,0.97620000,0.00000000
0.00366957,0.99996000,0.10002057,0.97640000,0.00000000
0.00352111,0.99996000,0.10043125,0.97650000,0.00000000
0.00348970,0.99992000,0.10098026,0.97600000,0.00000000
0.00328238,0.99996000,0.10154325,0.97630000,0.00000000
0.00319194,0.99996000,0.10189278,0.97680000,0.00000000
0.00319928,0.99998000,0.10188367,0.97650000,0.00000000
0.00305480,1.00000000,0.10133600,0.97670000,0.00000000
0.00291974,0.99998000,0.10286243,0.97650000,0.00000000
0.00291415,1.00000000,0.10299418,0.97650000,0.00000000
0.00286603,0.99996000,0.10299711,0.97620000,0.00000000
0.00280169,1.00000000,0.10278507,0.97680000,0.00000000
