activation: selu, batch_size: 50, learning_rate: 0.01, number_epochs: 100, init: GlorotUniformInit, time: 542.35
error(train),acc(train),error(valid),acc(valid),params_penalty
3.08114222,0.12840000,3.09683238,0.12550000,0.00000000
0.26353356,0.92476000,0.24783295,0.92970000,0.00000000
0.20156056,0.94100000,0.19666254,0.94410000,0.00000000
0.16359108,0.95318000,0.16504230,0.95400000,0.00000000
0.13974421,0.95918000,0.14847981,0.95820000,0.00000000
0.12196403,0.96502000,0.13614408,0.96340000,0.00000000
0.10674347,0.96966000,0.12568950,0.96460000,0.00000000
0.09523280,0.97334000,0.11754721,0.96620000,0.00000000
0.08650313,0.97582000,0.11189150,0.96810000,0.00000000
0.07931827,0.97822000,0.10806127,0.96980000,0.00000000
0.07292473,0.97990000,0.10419387,0.96990000,0.00000000
0.06603113,0.98198000,0.09993679,0.97170000,0.00000000
0.06145790,0.98286000,0.09793928,0.97150000,0.00000000
0.05766707,0.98446000,0.09659618,0.97250000,0.00000000
0.05314068,0.98594000,0.09463358,0.97250000,0.00000000
0.04943000,0.98670000,0.09217003,0.97390000,0.00000000
0.04543900,0.98808000,0.09117689,0.97420000,0.00000000
0.04143809,0.98924000,0.08802332,0.97490000,0.00000000
0.03959302,0.98994000,0.08973278,0.97320000,0.00000000
0.03688930,0.99114000,0.08686300,0.97410000,0.00000000
0.03455208,0.99174000,0.08770619,0.97420000,0.00000000
0.03228721,0.99240000,0.08643976,0.97440000,0.00000000
0.02978510,0.99328000,0.08734535,0.97440000,0.00000000
0.02773483,0.99410000,0.08671148,0.97480000,0.00000000
0.02637142,0.99460000,0.08519236,0.97550000,0.00000000
0.02505610,0.99486000,0.08557834,0.97520000,0.00000000
0.02261962,0.99586000,0.08573751,0.97590000,0.00000000
0.02172303,0.99616000,0.08619356,0.97570000,0.00000000
0.02021164,0.99680000,0.08443955,0.97610000,0.00000000
0.01981614,0.99702000,0.08680766,0.97590000,0.00000000
0.01829235,0.99732000,0.08704300,0.97550000,0.00000000
0.01710284,0.99764000,0.08606883,0.97600000,0.00000000
0.01642498,0.99768000,0.08630836,0.97610000,0.00000000
0.01528243,0.99796000,0.08622392,0.97640000,0.00000000
0.01476289,0.99798000,0.08611046,0.97570000,0.00000000
0.01413167,0.99812000,0.08750231,0.97600000,0.00000000
0.01305734,0.99856000,0.08637045,0.97670000,0.00000000
0.01211020,0.99882000,0.08692520,0.97600000,0.00000000
0.01210020,0.99874000,0.08858859,0.97570000,0.00000000
0.01109241,0.99880000,0.08741860,0.97650000,0.00000000
0.01067741,0.99912000,0.08810874,0.97610000,0.00000000
0.01001829,0.99924000,0.08871496,0.97630000,0.00000000
0.00944578,0.99926000,0.09111782,0.97590000,0.00000000
0.00946324,0.99928000,0.09179562,0.97620000,0.00000000
0.00863874,0.99942000,0.09096982,0.97570000,0.00000000
0.00820059,0.99952000,0.09155554,0.97650000,0.00000000
0.00784581,0.99956000,0.09094731,0.97680000,0.00000000
0.00793408,0.99960000,0.09241741,0.97570000,0.00000000
0.00712154,0.99964000,0.09200313,0.97570000,0.00000000
0.00700276,0.99972000,0.09254306,0.97600000,0.00000000
0.00657443,0.99974000,0.09174691,0.97670000,0.00000000
0.00648347,0.99970000,0.09246376,0.97650000,0.00000000
0.00608559,0.99980000,0.09261167,0.97610000,0.00000000
0.00577724,0.99978000,0.09406625,0.97580000,0.00000000
0.00565764,0.99982000,0.09438481,0.97610000,0.00000000
0.00526911,0.99986000,0.09452040,0.97590000,0.00000000
0.00520901,0.99986000,0.09443068,0.97610000,0.00000000
0.00500423,0.99992000,0.09538734,0.97570000,0.00000000
0.00478627,0.99994000,0.09562915,0.97600000,0.00000000
0.00453665,0.99996000,0.09514762,0.97650000,0.00000000
0.00445799,0.99994000,0.09641217,0.97650000,0.00000000
0.00438000,0.99994000,0.09568770,0.97640000,0.00000000
0.00431760,0.99996000,0.09675025,0.97600000,0.00000000
0.00414816,0.99996000,0.09704636,0.97610000,0.00000000
0.00396702,0.99996000,0.09759220,0.97620000,0.00000000
0.00378564,0.99996000,0.09689647,0.97610000,0.00000000
0.00361194,0.99996000,0.09701418,0.97590000,0.00000000
0.00351117,0.99996000,0.09793197,0.97620000,0.00000000
0.00342822,0.99996000,0.09830483,0.97630000,0.00000000
0.00335614,0.99996000,0.09872196,0.97560000,0.00000000
0.00322702,0.99996000,0.09912561,0.97550000,0.00000000
0.00319097,0.99996000,0.09883029,0.97610000,0.00000000
0.00314721,0.99996000,0.10038193,0.97560000,0.00000000
0.00303702,0.99996000,0.10075232,0.97580000,0.00000000
0.00291635,0.99996000,0.09956679,0.97550000,0.00000000
0.00287518,0.99996000,0.10052640,0.97560000,0.00000000
0.00278865,0.99998000,0.10000031,0.97630000,0.00000000
0.00269586,0.99996000,0.10070950,0.97570000,0.00000000
0.00262720,0.99998000,0.10060452,0.97650000,0.00000000
0.00253489,0.99998000,0.10104495,0.97550000,0.00000000
0.00246241,0.99998000,0.10198407,0.97570000,0.00000000
0.00247077,0.99996000,0.10222415,0.97550000,0.00000000
0.00239472,0.99996000,0.10277682,0.97540000,0.00000000
0.00231952,0.99998000,0.10186614,0.97620000,0.00000000
0.00225531,0.99996000,0.10238025,0.97540000,0.00000000
0.00221879,0.99998000,0.10282909,0.97580000,0.00000000
0.00216880,1.00000000,0.10254170,0.97590000,0.00000000
0.00215200,1.00000000,0.10290137,0.97610000,0.00000000
0.00208564,1.00000000,0.10367816,0.97550000,0.00000000
0.00203604,1.00000000,0.10349794,0.97570000,0.00000000
0.00199534,1.00000000,0.10402800,0.97540000,0.00000000
0.00195508,1.00000000,0.10412062,0.97570000,0.00000000
0.00191629,1.00000000,0.10471444,0.97540000,0.00000000
0.00187043,1.00000000,0.10445219,0.97540000,0.00000000
0.00185923,1.00000000,0.10539871,0.97530000,0.00000000
0.00180648,1.00000000,0.10496067,0.97580000,0.00000000
0.00180843,1.00000000,0.10485578,0.97600000,0.00000000
0.00174558,1.00000000,0.10595871,0.97580000,0.00000000
0.00170037,1.00000000,0.10577940,0.97580000,0.00000000
0.00168639,1.00000000,0.10568137,0.97560000,0.00000000
0.00165158,1.00000000,0.10590220,0.97590000,0.00000000
