activation: elu, batch_size: 50, learning_rate: 0.10, number_epochs: 100, init: GlorotUniformInit, time: 531.87
error(train),acc(train),error(valid),acc(valid),params_penalty
2.76785909,0.11502000,2.76138344,0.11490000,0.00000000
0.10936195,0.96684000,0.12329640,0.96200000,0.00000000
0.06572760,0.97988000,0.09925994,0.96900000,0.00000000
0.04964427,0.98454000,0.08674107,0.97270000,0.00000000
0.03446756,0.98938000,0.08374912,0.97360000,0.00000000
0.02962506,0.99090000,0.08364777,0.97560000,0.00000000
0.02381116,0.99236000,0.08383312,0.97800000,0.00000000
0.02217927,0.99292000,0.09622436,0.97410000,0.00000000
0.01294464,0.99638000,0.08628874,0.97720000,0.00000000
0.00884122,0.99790000,0.08342823,0.97800000,0.00000000
0.00511283,0.99906000,0.08132756,0.97890000,0.00000000
0.00309240,0.99984000,0.07749806,0.98060000,0.00000000
0.00189253,0.99994000,0.08171929,0.98180000,0.00000000
0.00142467,0.99996000,0.08205244,0.98140000,0.00000000
0.00124905,1.00000000,0.08281851,0.98140000,0.00000000
0.00115006,0.99996000,0.08537539,0.98150000,0.00000000
0.00083978,0.99998000,0.08467090,0.98170000,0.00000000
0.00069763,1.00000000,0.08595072,0.98220000,0.00000000
0.00062576,1.00000000,0.08628092,0.98210000,0.00000000
0.00060695,1.00000000,0.08791116,0.98170000,0.00000000
0.00052345,1.00000000,0.08794292,0.98200000,0.00000000
0.00049021,1.00000000,0.08830615,0.98150000,0.00000000
0.00045548,1.00000000,0.08918168,0.98230000,0.00000000
0.00042147,1.00000000,0.08995771,0.98150000,0.00000000
0.00039551,1.00000000,0.09055190,0.98210000,0.00000000
0.00037372,1.00000000,0.09122487,0.98190000,0.00000000
0.00035170,1.00000000,0.09197162,0.98160000,0.00000000
0.00033262,1.00000000,0.09223299,0.98210000,0.00000000
0.00031573,1.00000000,0.09256527,0.98210000,0.00000000
0.00029808,1.00000000,0.09319015,0.98220000,0.00000000
0.00028513,1.00000000,0.09354524,0.98260000,0.00000000
0.00027145,1.00000000,0.09407543,0.98230000,0.00000000
0.00026524,1.00000000,0.09470851,0.98200000,0.00000000
0.00024846,1.00000000,0.09502115,0.98220000,0.00000000
0.00024131,1.00000000,0.09532470,0.98230000,0.00000000
0.00023046,1.00000000,0.09599368,0.98230000,0.00000000
0.00022278,1.00000000,0.09623964,0.98230000,0.00000000
0.00021336,1.00000000,0.09659879,0.98230000,0.00000000
0.00020557,1.00000000,0.09691870,0.98230000,0.00000000
0.00019862,1.00000000,0.09744515,0.98260000,0.00000000
0.00019246,1.00000000,0.09754722,0.98270000,0.00000000
0.00018710,1.00000000,0.09836881,0.98230000,0.00000000
0.00018060,1.00000000,0.09853891,0.98240000,0.00000000
0.00017397,1.00000000,0.09848375,0.98240000,0.00000000
0.00016886,1.00000000,0.09907963,0.98260000,0.00000000
0.00016383,1.00000000,0.09957985,0.98270000,0.00000000
0.00015923,1.00000000,0.09967202,0.98250000,0.00000000
0.00015617,1.00000000,0.09996022,0.98270000,0.00000000
0.00015194,1.00000000,0.10056873,0.98250000,0.00000000
0.00014777,1.00000000,0.10078418,0.98260000,0.00000000
0.00014649,1.00000000,0.10093776,0.98240000,0.00000000
0.00013996,1.00000000,0.10080111,0.98240000,0.00000000
0.00013592,1.00000000,0.10135887,0.98260000,0.00000000
0.00013281,1.00000000,0.10154439,0.98270000,0.00000000
0.00013023,1.00000000,0.10184730,0.98270000,0.00000000
0.00012639,1.00000000,0.10230904,0.98260000,0.00000000
0.00012360,1.00000000,0.10241711,0.98250000,0.00000000
0.00012092,1.00000000,0.10275966,0.98290000,0.00000000
0.00011830,1.00000000,0.10293398,0.98270000,0.00000000
0.00011535,1.00000000,0.10319696,0.98270000,0.00000000
0.00011358,1.00000000,0.10339935,0.98230000,0.00000000
0.00011102,1.00000000,0.10347288,0.98250000,0.00000000
0.00010852,1.00000000,0.10375015,0.98280000,0.00000000
0.00010642,1.00000000,0.10383468,0.98260000,0.00000000
0.00010467,1.00000000,0.10447953,0.98260000,0.00000000
0.00010229,1.00000000,0.10436387,0.98270000,0.00000000
0.00010028,1.00000000,0.10470149,0.98270000,0.00000000
0.00009832,1.00000000,0.10487107,0.98270000,0.00000000
0.00009653,1.00000000,0.10537205,0.98250000,0.00000000
0.00009496,1.00000000,0.10551412,0.98270000,0.00000000
0.00009293,1.00000000,0.10562037,0.98270000,0.00000000
0.00009156,1.00000000,0.10559869,0.98270000,0.00000000
0.00009001,1.00000000,0.10598263,0.98250000,0.00000000
0.00008826,1.00000000,0.10596837,0.98260000,0.00000000
0.00008664,1.00000000,0.10626210,0.98270000,0.00000000
0.00008533,1.00000000,0.10663420,0.98270000,0.00000000
0.00008421,1.00000000,0.10682971,0.98270000,0.00000000
0.00008245,1.00000000,0.10692676,0.98270000,0.00000000
0.00008114,1.00000000,0.10702182,0.98250000,0.00000000
0.00007977,1.00000000,0.10716465,0.98280000,0.00000000
0.00007862,1.00000000,0.10734210,0.98270000,0.00000000
0.00007756,1.00000000,0.10759148,0.98250000,0.00000000
0.00007617,1.00000000,0.10772901,0.98280000,0.00000000
0.00007510,1.00000000,0.10778352,0.98260000,0.00000000
0.00007408,1.00000000,0.10807443,0.98290000,0.00000000
0.00007296,1.00000000,0.10825444,0.98220000,0.00000000
0.00007191,1.00000000,0.10829193,0.98270000,0.00000000
0.00007070,1.00000000,0.10851080,0.98270000,0.00000000
0.00006977,1.00000000,0.10881154,0.98280000,0.00000000
0.00006895,1.00000000,0.10893755,0.98250000,0.00000000
0.00006793,1.00000000,0.10902135,0.98270000,0.00000000
0.00006684,1.00000000,0.10916285,0.98280000,0.00000000
0.00006594,1.00000000,0.10941906,0.98280000,0.00000000
0.00006508,1.00000000,0.10948244,0.98270000,0.00000000
0.00006440,1.00000000,0.10964027,0.98260000,0.00000000
0.00006342,1.00000000,0.10970232,0.98270000,0.00000000
0.00006259,1.00000000,0.10996105,0.98280000,0.00000000
0.00006186,1.00000000,0.11014505,0.98270000,0.00000000
0.00006113,1.00000000,0.11016853,0.98290000,0.00000000
0.00006020,1.00000000,0.11041214,0.98290000,0.00000000
0.00005946,1.00000000,0.11047580,0.98290000,0.00000000
