activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 268.93
error(train),acc(train),error(valid),acc(valid),params_penalty
3.42375723,0.07678000,3.42524542,0.07720000,0.00000000
0.13215509,0.95996000,0.13923033,0.95780000,0.00000000
0.08155903,0.97552000,0.10666141,0.96790000,0.00000000
0.05570471,0.98366000,0.09483929,0.97140000,0.00000000
0.04988425,0.98382000,0.09754151,0.97060000,0.00000000
0.03684983,0.98894000,0.09324332,0.97300000,0.00000000
0.02308706,0.99326000,0.08724056,0.97410000,0.00000000
0.01965051,0.99434000,0.08921389,0.97580000,0.00000000
0.01414965,0.99614000,0.08201724,0.97800000,0.00000000
0.01591193,0.99488000,0.09795028,0.97460000,0.00000000
0.00833618,0.99838000,0.08840000,0.97820000,0.00000000
0.00589717,0.99906000,0.08964137,0.97810000,0.00000000
0.00386906,0.99960000,0.08919804,0.97950000,0.00000000
0.00305959,0.99968000,0.09244957,0.97880000,0.00000000
0.00203242,0.99988000,0.09316118,0.97840000,0.00000000
0.00170846,0.99994000,0.09462723,0.97950000,0.00000000
0.00118994,0.99998000,0.09394978,0.97920000,0.00000000
0.00106445,0.99998000,0.09624345,0.97930000,0.00000000
0.00118647,0.99992000,0.09703238,0.97960000,0.00000000
0.00082415,1.00000000,0.09853067,0.97950000,0.00000000
0.00071243,1.00000000,0.09873891,0.97940000,0.00000000
0.00073566,0.99998000,0.10090133,0.97930000,0.00000000
0.00060656,1.00000000,0.10117182,0.97910000,0.00000000
0.00057969,1.00000000,0.10230896,0.97920000,0.00000000
0.00051871,1.00000000,0.10201882,0.97940000,0.00000000
0.00049939,1.00000000,0.10388168,0.97950000,0.00000000
0.00045713,1.00000000,0.10392083,0.97960000,0.00000000
0.00042904,1.00000000,0.10464555,0.97920000,0.00000000
0.00040489,1.00000000,0.10519352,0.97900000,0.00000000
0.00039505,1.00000000,0.10553901,0.97950000,0.00000000
0.00036914,1.00000000,0.10654976,0.97940000,0.00000000
0.00035067,1.00000000,0.10725172,0.97920000,0.00000000
0.00033349,1.00000000,0.10760383,0.97980000,0.00000000
0.00032682,1.00000000,0.10860195,0.97910000,0.00000000
