activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: GlorotUniformInit, time: 362.11
error(train),acc(train),error(valid),acc(valid),params_penalty
2.33453208,0.11392000,2.33581087,0.11480000,0.00000000
0.19064725,0.94050000,0.18728507,0.94270000,0.00000000
0.11562877,0.96452000,0.13093092,0.96080000,0.00000000
0.08432247,0.97390000,0.11037206,0.96870000,0.00000000
0.07378454,0.97710000,0.10780316,0.96890000,0.00000000
0.06276150,0.97984000,0.11049306,0.97070000,0.00000000
0.04491041,0.98540000,0.10063757,0.97220000,0.00000000
0.03059687,0.99020000,0.08565971,0.97650000,0.00000000
0.03195496,0.98964000,0.09245360,0.97480000,0.00000000
0.02520615,0.99196000,0.09380399,0.97580000,0.00000000
0.02024964,0.99380000,0.09614448,0.97620000,0.00000000
0.02228559,0.99214000,0.10898182,0.97510000,0.00000000
0.01455801,0.99530000,0.10395289,0.97630000,0.00000000
0.01103113,0.99662000,0.10076880,0.97730000,0.00000000
0.00885798,0.99728000,0.10339345,0.97760000,0.00000000
0.00593028,0.99854000,0.10556789,0.97700000,0.00000000
0.00273395,0.99964000,0.10086452,0.97960000,0.00000000
0.00223537,0.99960000,0.10380761,0.97860000,0.00000000
0.00140459,0.99986000,0.10351932,0.98050000,0.00000000
0.00116191,0.99982000,0.10513920,0.97970000,0.00000000
0.00077745,0.99998000,0.10627870,0.98020000,0.00000000
0.00054312,0.99998000,0.10692180,0.97990000,0.00000000
0.00050437,0.99998000,0.10852477,0.98000000,0.00000000
0.00039857,1.00000000,0.10879702,0.98020000,0.00000000
0.00035901,1.00000000,0.11014889,0.98050000,0.00000000
0.00036924,1.00000000,0.11030790,0.98010000,0.00000000
0.00029371,1.00000000,0.11129844,0.98010000,0.00000000
0.00028521,1.00000000,0.11321074,0.97940000,0.00000000
0.00025225,1.00000000,0.11318725,0.98000000,0.00000000
0.00023463,1.00000000,0.11455394,0.97990000,0.00000000
0.00023081,1.00000000,0.11508229,0.98030000,0.00000000
0.00020902,1.00000000,0.11593882,0.98000000,0.00000000
0.00019910,1.00000000,0.11609801,0.98010000,0.00000000
0.00018766,1.00000000,0.11716877,0.98000000,0.00000000
0.00017810,1.00000000,0.11771820,0.98060000,0.00000000
0.00016795,1.00000000,0.11800863,0.98000000,0.00000000
0.00016247,1.00000000,0.11885560,0.98000000,0.00000000
0.00015321,1.00000000,0.11928921,0.98020000,0.00000000
0.00014760,1.00000000,0.12026292,0.98000000,0.00000000
0.00014096,1.00000000,0.12046468,0.98000000,0.00000000
0.00013761,1.00000000,0.12090727,0.98020000,0.00000000
0.00013012,1.00000000,0.12144618,0.98010000,0.00000000
0.00012573,1.00000000,0.12183189,0.98020000,0.00000000
0.00012093,1.00000000,0.12223919,0.98020000,0.00000000
0.00011655,1.00000000,0.12257998,0.98030000,0.00000000
0.00011269,1.00000000,0.12307069,0.98020000,0.00000000
0.00010870,1.00000000,0.12360245,0.98020000,0.00000000
0.00010641,1.00000000,0.12409010,0.98010000,0.00000000
0.00010224,1.00000000,0.12469755,0.98030000,0.00000000
0.00009944,1.00000000,0.12498039,0.98000000,0.00000000
0.00009607,1.00000000,0.12529196,0.98040000,0.00000000
0.00009322,1.00000000,0.12569088,0.98030000,0.00000000
0.00009039,1.00000000,0.12608712,0.98020000,0.00000000
0.00008790,1.00000000,0.12657306,0.98010000,0.00000000
0.00008642,1.00000000,0.12689895,0.98030000,0.00000000
0.00008335,1.00000000,0.12728882,0.98030000,0.00000000
0.00008118,1.00000000,0.12766292,0.98030000,0.00000000
0.00007927,1.00000000,0.12799125,0.98030000,0.00000000
0.00007761,1.00000000,0.12810462,0.98030000,0.00000000
0.00007556,1.00000000,0.12859686,0.98030000,0.00000000
0.00007344,1.00000000,0.12885324,0.98040000,0.00000000
0.00007203,1.00000000,0.12916009,0.98030000,0.00000000
0.00007014,1.00000000,0.12933877,0.98030000,0.00000000
0.00006848,1.00000000,0.12958937,0.98040000,0.00000000
0.00006695,1.00000000,0.13012269,0.98040000,0.00000000
0.00006568,1.00000000,0.13024104,0.98020000,0.00000000
0.00006408,1.00000000,0.13058956,0.98040000,0.00000000
0.00006285,1.00000000,0.13108860,0.98030000,0.00000000
0.00006149,1.00000000,0.13108872,0.98030000,0.00000000
0.00006038,1.00000000,0.13145659,0.98040000,0.00000000
0.00005907,1.00000000,0.13179542,0.98030000,0.00000000
0.00005798,1.00000000,0.13205854,0.98030000,0.00000000
0.00005675,1.00000000,0.13215276,0.98010000,0.00000000
0.00005569,1.00000000,0.13247891,0.98030000,0.00000000
0.00005470,1.00000000,0.13273552,0.98010000,0.00000000
0.00005362,1.00000000,0.13297689,0.98040000,0.00000000
0.00005264,1.00000000,0.13305900,0.98040000,0.00000000
0.00005170,1.00000000,0.13337347,0.98040000,0.00000000
0.00005079,1.00000000,0.13373910,0.98030000,0.00000000
0.00004988,1.00000000,0.13396550,0.98040000,0.00000000
0.00004908,1.00000000,0.13399663,0.98030000,0.00000000
0.00004826,1.00000000,0.13427422,0.98030000,0.00000000
0.00004741,1.00000000,0.13470435,0.98030000,0.00000000
0.00004668,1.00000000,0.13487530,0.98020000,0.00000000
0.00004587,1.00000000,0.13496121,0.98010000,0.00000000
0.00004515,1.00000000,0.13534241,0.98030000,0.00000000
0.00004449,1.00000000,0.13549812,0.98030000,0.00000000
0.00004373,1.00000000,0.13565867,0.98040000,0.00000000
0.00004305,1.00000000,0.13590997,0.98030000,0.00000000
0.00004241,1.00000000,0.13612545,0.98040000,0.00000000
0.00004176,1.00000000,0.13619373,0.98030000,0.00000000
0.00004115,1.00000000,0.13650603,0.98020000,0.00000000
0.00004054,1.00000000,0.13666706,0.98020000,0.00000000
0.00004001,1.00000000,0.13688607,0.98020000,0.00000000
0.00003943,1.00000000,0.13695704,0.98030000,0.00000000
0.00003886,1.00000000,0.13726276,0.98020000,0.00000000
0.00003833,1.00000000,0.13748701,0.98030000,0.00000000
0.00003780,1.00000000,0.13759529,0.98030000,0.00000000
0.00003724,1.00000000,0.13779742,0.98020000,0.00000000
0.00003675,1.00000000,0.13803721,0.98010000,0.00000000
0.00003629,1.00000000,0.13816620,0.98020000,0.00000000
