activation: selu, batch_size: 50, learning_rate: 0.05, number_epochs: 100, init: SELUInit, time: 186.94
error(train),acc(train),error(valid),acc(valid),params_penalty
2.28763133,0.20720000,2.28763092,0.20970000,0.00000000
0.21453564,0.93552000,0.20561794,0.94070000,0.00000000
0.13985332,0.95746000,0.14806837,0.95690000,0.00000000
0.09756506,0.97090000,0.11720453,0.96530000,0.00000000
0.07100658,0.97912000,0.09927851,0.97090000,0.00000000
0.06001128,0.98188000,0.09617153,0.97130000,0.00000000
0.04649826,0.98654000,0.08925190,0.97410000,0.00000000
0.03543102,0.98980000,0.08516104,0.97470000,0.00000000
0.03723809,0.98796000,0.09216383,0.97360000,0.00000000
0.02541621,0.99340000,0.09058372,0.97620000,0.00000000
0.02612500,0.99194000,0.08986120,0.97540000,0.00000000
0.01655904,0.99620000,0.08298742,0.97660000,0.00000000
0.01562680,0.99596000,0.09408477,0.97700000,0.00000000
0.01225284,0.99714000,0.08855150,0.97740000,0.00000000
0.01047687,0.99748000,0.09438299,0.97660000,0.00000000
0.00930483,0.99808000,0.09551423,0.97680000,0.00000000
0.00494708,0.99922000,0.09164323,0.97730000,0.00000000
0.00433071,0.99966000,0.09223847,0.97730000,0.00000000
0.00480520,0.99928000,0.10448486,0.97650000,0.00000000
0.00250776,0.99988000,0.09829911,0.97740000,0.00000000
0.00228757,0.99992000,0.09764993,0.97750000,0.00000000
0.00178561,0.99996000,0.09904990,0.97750000,0.00000000
0.00157859,1.00000000,0.10211112,0.97670000,0.00000000
0.00156622,0.99992000,0.10250506,0.97800000,0.00000000
0.00127426,0.99998000,0.10322983,0.97720000,0.00000000
0.00115113,0.99996000,0.10377892,0.97760000,0.00000000
0.00102817,1.00000000,0.10531988,0.97790000,0.00000000
0.00118749,0.99992000,0.10509468,0.97810000,0.00000000
0.00089179,1.00000000,0.10699549,0.97820000,0.00000000
0.00081519,1.00000000,0.10804430,0.97780000,0.00000000
0.00075632,1.00000000,0.10868672,0.97780000,0.00000000
0.00070993,1.00000000,0.10924302,0.97810000,0.00000000
0.00068105,1.00000000,0.10962337,0.97850000,0.00000000
0.00063353,1.00000000,0.11056230,0.97810000,0.00000000
0.00061744,1.00000000,0.11049034,0.97850000,0.00000000
0.00057535,1.00000000,0.11191290,0.97820000,0.00000000
0.00054614,1.00000000,0.11235026,0.97860000,0.00000000
0.00053281,1.00000000,0.11312582,0.97790000,0.00000000
0.00050499,1.00000000,0.11357929,0.97820000,0.00000000
0.00048196,1.00000000,0.11442396,0.97820000,0.00000000
0.00046561,1.00000000,0.11532985,0.97820000,0.00000000
0.00044393,1.00000000,0.11487276,0.97830000,0.00000000
0.00043650,1.00000000,0.11533210,0.97830000,0.00000000
0.00041179,1.00000000,0.11627249,0.97840000,0.00000000
0.00040205,1.00000000,0.11665003,0.97820000,0.00000000
