activation: selu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: SELUInit, time: 230.49
error(train),acc(train),error(valid),acc(valid),params_penalty
2.28763133,0.20720000,2.28763092,0.20970000,0.00000000
1.21768685,0.73466000,1.19289680,0.75040000,0.00000000
0.71151572,0.84020000,0.67509822,0.85890000,0.00000000
0.53394165,0.86970000,0.49812192,0.88310000,0.00000000
0.45389368,0.88240000,0.42020367,0.89510000,0.00000000
0.40997198,0.88952000,0.37886504,0.90040000,0.00000000
0.38238003,0.89392000,0.35272460,0.90540000,0.00000000
0.36254153,0.89782000,0.33480612,0.90750000,0.00000000
0.34773205,0.90136000,0.32162554,0.90980000,0.00000000
0.33592024,0.90360000,0.31081791,0.91170000,0.00000000
0.32582163,0.90636000,0.30208665,0.91440000,0.00000000
0.31754283,0.90858000,0.29491887,0.91570000,0.00000000
0.31032201,0.91042000,0.28883767,0.91700000,0.00000000
0.30365920,0.91286000,0.28312828,0.91880000,0.00000000
0.29771962,0.91432000,0.27777348,0.92040000,0.00000000
0.29254536,0.91594000,0.27345079,0.92090000,0.00000000
0.28756832,0.91732000,0.26945866,0.92120000,0.00000000
0.28308238,0.91896000,0.26535324,0.92380000,0.00000000
0.27867517,0.91950000,0.26181326,0.92330000,0.00000000
0.27453876,0.92076000,0.25869412,0.92440000,0.00000000
0.27071110,0.92200000,0.25519642,0.92480000,0.00000000
0.26688599,0.92342000,0.25162424,0.92650000,0.00000000
0.26345262,0.92394000,0.24896657,0.92770000,0.00000000
0.25961279,0.92556000,0.24573081,0.92900000,0.00000000
0.25623092,0.92664000,0.24289128,0.92990000,0.00000000
0.25290603,0.92778000,0.23992782,0.92970000,0.00000000
0.24941610,0.92850000,0.23719729,0.93080000,0.00000000
0.24615118,0.92978000,0.23400976,0.93190000,0.00000000
0.24267809,0.93070000,0.23154484,0.93240000,0.00000000
0.23941397,0.93112000,0.22909462,0.93290000,0.00000000
0.23629589,0.93180000,0.22599335,0.93440000,0.00000000
0.23274796,0.93328000,0.22275873,0.93530000,0.00000000
0.22959804,0.93470000,0.21973159,0.93700000,0.00000000
0.22615466,0.93548000,0.21707310,0.93730000,0.00000000
0.22294785,0.93648000,0.21433472,0.93890000,0.00000000
0.21963496,0.93756000,0.21166257,0.93990000,0.00000000
0.21645994,0.93820000,0.20908435,0.94020000,0.00000000
0.21332717,0.93940000,0.20604744,0.94210000,0.00000000
0.21002487,0.94004000,0.20328409,0.94320000,0.00000000
0.20703714,0.94116000,0.20067294,0.94380000,0.00000000
0.20382948,0.94188000,0.19783134,0.94490000,0.00000000
0.20072919,0.94292000,0.19516419,0.94610000,0.00000000
0.19868098,0.94346000,0.19365052,0.94580000,0.00000000
0.19490131,0.94450000,0.19032556,0.94760000,0.00000000
0.19196044,0.94564000,0.18758971,0.94800000,0.00000000
0.18906847,0.94612000,0.18562944,0.94870000,0.00000000
0.18609827,0.94692000,0.18280355,0.94970000,0.00000000
0.18335952,0.94780000,0.18049171,0.95070000,0.00000000
0.18068610,0.94882000,0.17806650,0.95160000,0.00000000
0.17791608,0.94938000,0.17573687,0.95230000,0.00000000
0.17540884,0.95018000,0.17375136,0.95280000,0.00000000
0.17288256,0.95058000,0.17169884,0.95360000,0.00000000
0.17054181,0.95176000,0.16945016,0.95440000,0.00000000
0.16797388,0.95196000,0.16792643,0.95440000,0.00000000
0.16566214,0.95260000,0.16575057,0.95510000,0.00000000
0.16346426,0.95326000,0.16386703,0.95560000,0.00000000
0.16126408,0.95390000,0.16233974,0.95640000,0.00000000
0.15902062,0.95464000,0.16023489,0.95710000,0.00000000
0.15689032,0.95546000,0.15871363,0.95690000,0.00000000
0.15472712,0.95586000,0.15701889,0.95770000,0.00000000
0.15259400,0.95684000,0.15507752,0.95820000,0.00000000
0.15064791,0.95708000,0.15352338,0.95880000,0.00000000
0.14897281,0.95766000,0.15208365,0.95940000,0.00000000
0.14677459,0.95792000,0.15089872,0.95930000,0.00000000
0.14491991,0.95894000,0.14904568,0.95980000,0.00000000
0.14311766,0.95922000,0.14776891,0.95950000,0.00000000
0.14125624,0.95998000,0.14635972,0.96000000,0.00000000
0.13979200,0.96032000,0.14558216,0.95960000,0.00000000
0.13788643,0.96064000,0.14422057,0.96040000,0.00000000
0.13619738,0.96120000,0.14297442,0.96090000,0.00000000
0.13453257,0.96174000,0.14138703,0.96150000,0.00000000
0.13280175,0.96248000,0.13985706,0.96140000,0.00000000
0.13133801,0.96260000,0.13907029,0.96180000,0.00000000
0.12985348,0.96344000,0.13742678,0.96280000,0.00000000
0.12830533,0.96378000,0.13690910,0.96210000,0.00000000
0.12672002,0.96418000,0.13570094,0.96270000,0.00000000
0.12529655,0.96486000,0.13471668,0.96250000,0.00000000
0.12395242,0.96502000,0.13388020,0.96260000,0.00000000
0.12243229,0.96564000,0.13261260,0.96370000,0.00000000
0.12109462,0.96598000,0.13179925,0.96370000,0.00000000
0.11998971,0.96662000,0.13131035,0.96340000,0.00000000
0.11840984,0.96690000,0.12973977,0.96410000,0.00000000
0.11711659,0.96716000,0.12871436,0.96460000,0.00000000
0.11595808,0.96738000,0.12855235,0.96420000,0.00000000
0.11454234,0.96830000,0.12704278,0.96520000,0.00000000
0.11328865,0.96822000,0.12663705,0.96520000,0.00000000
0.11212725,0.96890000,0.12543206,0.96600000,0.00000000
0.11080352,0.96932000,0.12466893,0.96600000,0.00000000
0.10972607,0.96964000,0.12393700,0.96570000,0.00000000
0.10857980,0.97006000,0.12357037,0.96630000,0.00000000
0.10749882,0.97018000,0.12299315,0.96540000,0.00000000
0.10621530,0.97074000,0.12181542,0.96630000,0.00000000
0.10527877,0.97106000,0.12144707,0.96650000,0.00000000
0.10408035,0.97118000,0.12027530,0.96710000,0.00000000
0.10314103,0.97134000,0.11988149,0.96640000,0.00000000
0.10226089,0.97190000,0.11888841,0.96780000,0.00000000
0.10102892,0.97206000,0.11815398,0.96740000,0.00000000
0.09997705,0.97238000,0.11829581,0.96720000,0.00000000
0.09898872,0.97268000,0.11697988,0.96780000,0.00000000
0.09798163,0.97312000,0.11645667,0.96790000,0.00000000
0.09692648,0.97284000,0.11605508,0.96740000,0.00000000
