activation: selu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: UniformFanInInit, time: 230.25
error(train),acc(train),error(valid),acc(valid),params_penalty
2.63060383,0.09598000,2.63138041,0.09910000,0.00000000
0.54994716,0.85256000,0.50565305,0.87090000,0.00000000
0.42929313,0.88098000,0.39175654,0.89450000,0.00000000
0.37883441,0.89238000,0.34844964,0.90210000,0.00000000
0.34956523,0.89950000,0.32280951,0.90720000,0.00000000
0.32892175,0.90534000,0.30493270,0.91200000,0.00000000
0.31354080,0.90970000,0.29161167,0.91630000,0.00000000
0.30097806,0.91216000,0.28110458,0.91730000,0.00000000
0.29021682,0.91606000,0.27254036,0.92140000,0.00000000
0.28066028,0.91868000,0.26410193,0.92320000,0.00000000
0.27229459,0.92126000,0.25669464,0.92480000,0.00000000
0.26447601,0.92364000,0.25051165,0.92680000,0.00000000
0.25773877,0.92548000,0.24447367,0.92980000,0.00000000
0.25116876,0.92748000,0.23920097,0.93070000,0.00000000
0.24485062,0.92966000,0.23368263,0.93230000,0.00000000
0.23918440,0.93156000,0.22879119,0.93380000,0.00000000
0.23375061,0.93328000,0.22463746,0.93470000,0.00000000
0.22848219,0.93524000,0.22010946,0.93650000,0.00000000
0.22356874,0.93698000,0.21601448,0.93760000,0.00000000
0.21886960,0.93790000,0.21213551,0.93900000,0.00000000
0.21440817,0.93908000,0.20877018,0.93990000,0.00000000
0.21036120,0.94030000,0.20537951,0.94150000,0.00000000
0.20598990,0.94210000,0.20163005,0.94200000,0.00000000
0.20212741,0.94330000,0.19850618,0.94340000,0.00000000
0.19808585,0.94394000,0.19493939,0.94500000,0.00000000
0.19446081,0.94480000,0.19234317,0.94490000,0.00000000
0.19073040,0.94590000,0.18938154,0.94660000,0.00000000
0.18754883,0.94680000,0.18684309,0.94740000,0.00000000
0.18411948,0.94776000,0.18415051,0.94870000,0.00000000
0.18088797,0.94850000,0.18140429,0.94900000,0.00000000
0.17777594,0.94978000,0.17923533,0.94980000,0.00000000
0.17480762,0.95032000,0.17675202,0.94960000,0.00000000
0.17216480,0.95108000,0.17485723,0.95060000,0.00000000
0.16908766,0.95146000,0.17276723,0.95140000,0.00000000
0.16637774,0.95238000,0.17035469,0.95180000,0.00000000
0.16365151,0.95314000,0.16840289,0.95270000,0.00000000
0.16134049,0.95354000,0.16686482,0.95320000,0.00000000
0.15873992,0.95460000,0.16465018,0.95440000,0.00000000
0.15632223,0.95520000,0.16294791,0.95470000,0.00000000
0.15406161,0.95570000,0.16165286,0.95520000,0.00000000
0.15194141,0.95616000,0.15924831,0.95520000,0.00000000
0.14991878,0.95704000,0.15865417,0.95640000,0.00000000
0.14754321,0.95778000,0.15639862,0.95670000,0.00000000
0.14553169,0.95796000,0.15509242,0.95720000,0.00000000
0.14345282,0.95900000,0.15363195,0.95700000,0.00000000
0.14155208,0.95944000,0.15180094,0.95770000,0.00000000
0.13985178,0.96020000,0.15124375,0.95800000,0.00000000
0.13786711,0.96096000,0.14973824,0.95860000,0.00000000
0.13612584,0.96132000,0.14834669,0.95830000,0.00000000
0.13410501,0.96164000,0.14661523,0.95900000,0.00000000
0.13253587,0.96212000,0.14610671,0.95970000,0.00000000
0.13088598,0.96286000,0.14482760,0.96070000,0.00000000
0.12923915,0.96298000,0.14328753,0.96050000,0.00000000
0.12748906,0.96386000,0.14197447,0.96110000,0.00000000
0.12590307,0.96408000,0.14118797,0.96200000,0.00000000
0.12449821,0.96432000,0.14032407,0.96240000,0.00000000
0.12299662,0.96506000,0.13908938,0.96220000,0.00000000
0.12158653,0.96552000,0.13875038,0.96250000,0.00000000
0.12004140,0.96572000,0.13743743,0.96380000,0.00000000
0.11872197,0.96638000,0.13604838,0.96320000,0.00000000
0.11725624,0.96680000,0.13522141,0.96390000,0.00000000
0.11595898,0.96698000,0.13479624,0.96410000,0.00000000
0.11463674,0.96736000,0.13379282,0.96430000,0.00000000
0.11346126,0.96754000,0.13276734,0.96400000,0.00000000
0.11211527,0.96784000,0.13195670,0.96430000,0.00000000
0.11084218,0.96830000,0.13087250,0.96450000,0.00000000
0.10963409,0.96880000,0.13034894,0.96480000,0.00000000
0.10869152,0.96908000,0.12953943,0.96510000,0.00000000
0.10719072,0.96940000,0.12892180,0.96530000,0.00000000
0.10609690,0.96978000,0.12819370,0.96570000,0.00000000
0.10519152,0.96998000,0.12736953,0.96530000,0.00000000
0.10389587,0.97050000,0.12672120,0.96620000,0.00000000
0.10269008,0.97070000,0.12599038,0.96580000,0.00000000
0.10180845,0.97102000,0.12547163,0.96570000,0.00000000
0.10059184,0.97164000,0.12484797,0.96660000,0.00000000
0.09965185,0.97180000,0.12422542,0.96700000,0.00000000
0.09851001,0.97218000,0.12366194,0.96720000,0.00000000
0.09755185,0.97250000,0.12296910,0.96620000,0.00000000
0.09649173,0.97274000,0.12230986,0.96660000,0.00000000
0.09565500,0.97310000,0.12196631,0.96640000,0.00000000
0.09460856,0.97324000,0.12126083,0.96680000,0.00000000
0.09364946,0.97370000,0.12043278,0.96680000,0.00000000
0.09277130,0.97362000,0.12006343,0.96680000,0.00000000
0.09172387,0.97420000,0.11939056,0.96680000,0.00000000
0.09099325,0.97446000,0.11887580,0.96660000,0.00000000
0.08993175,0.97490000,0.11825127,0.96740000,0.00000000
0.08908121,0.97480000,0.11807807,0.96760000,0.00000000
0.08817219,0.97526000,0.11708609,0.96800000,0.00000000
0.08733716,0.97558000,0.11648351,0.96790000,0.00000000
0.08646525,0.97586000,0.11628577,0.96770000,0.00000000
0.08582895,0.97638000,0.11566788,0.96770000,0.00000000
0.08481092,0.97620000,0.11525302,0.96760000,0.00000000
0.08405401,0.97644000,0.11480625,0.96840000,0.00000000
0.08342763,0.97698000,0.11447127,0.96780000,0.00000000
0.08242960,0.97708000,0.11390269,0.96820000,0.00000000
0.08169756,0.97710000,0.11376102,0.96850000,0.00000000
0.08084822,0.97798000,0.11310015,0.96920000,0.00000000
0.08012359,0.97790000,0.11270266,0.96850000,0.00000000
0.07937742,0.97794000,0.11218141,0.96900000,0.00000000
