activation: selu, batch_size: 50, learning_rate: 0.001, number_epochs: 100, init: UniformFanOutInit, time: 223.92
error(train),acc(train),error(valid),acc(valid),params_penalty
8.67987020,0.09666000,8.74020507,0.09830000,0.00000000
0.63105921,0.82908000,0.58727960,0.84470000,0.00000000
0.47000306,0.86830000,0.44299761,0.87740000,0.00000000
0.39476442,0.88702000,0.38321292,0.89530000,0.00000000
0.34963413,0.90032000,0.34332806,0.90330000,0.00000000
0.31756392,0.90870000,0.31715407,0.91120000,0.00000000
0.29330414,0.91482000,0.29641850,0.91570000,0.00000000
0.27386658,0.92006000,0.28003813,0.92250000,0.00000000
0.25827457,0.92444000,0.26909200,0.92610000,0.00000000
0.24422805,0.92856000,0.25698788,0.92960000,0.00000000
0.23212431,0.93178000,0.24594681,0.93270000,0.00000000
0.22154809,0.93466000,0.23938010,0.93450000,0.00000000
0.21357459,0.93692000,0.23130680,0.93560000,0.00000000
0.20468747,0.93972000,0.22467431,0.93720000,0.00000000
0.19669365,0.94204000,0.21808846,0.93780000,0.00000000
0.19108779,0.94354000,0.21321806,0.93950000,0.00000000
0.18423610,0.94582000,0.20962492,0.94240000,0.00000000
0.17788375,0.94782000,0.20316790,0.94250000,0.00000000
0.17293875,0.94818000,0.19992151,0.94330000,0.00000000
0.16837514,0.94998000,0.19588618,0.94500000,0.00000000
0.16362590,0.95170000,0.19355947,0.94530000,0.00000000
0.15965592,0.95342000,0.19006648,0.94580000,0.00000000
0.15497676,0.95402000,0.18562438,0.94820000,0.00000000
0.15171355,0.95480000,0.18346549,0.94890000,0.00000000
0.14767748,0.95590000,0.17992417,0.94930000,0.00000000
0.14435781,0.95704000,0.17807364,0.95010000,0.00000000
0.14093553,0.95812000,0.17625573,0.94950000,0.00000000
0.13802224,0.95862000,0.17262315,0.95090000,0.00000000
0.13530723,0.95974000,0.17165195,0.95090000,0.00000000
0.13167952,0.96112000,0.16793479,0.95250000,0.00000000
0.12962084,0.96146000,0.16762259,0.95260000,0.00000000
0.12697679,0.96188000,0.16474746,0.95330000,0.00000000
0.12425057,0.96288000,0.16359958,0.95410000,0.00000000
0.12270996,0.96330000,0.16302839,0.95410000,0.00000000
0.11938370,0.96456000,0.15965513,0.95450000,0.00000000
0.11734658,0.96520000,0.15848790,0.95610000,0.00000000
0.11532061,0.96594000,0.15690701,0.95530000,0.00000000
