learning_rate: 0.01, batch_size: 50, num_epochs: 100, dropout_prob: 0.5, error(test): 0.845818651203, acc(test): 0.745506329114, time: 776.3177869319916
error(train),acc(train),error(valid),acc(valid)
3.89570245,0.02716000,3.89164754,0.02746835
3.65488553,0.20091000,3.65364593,0.20170886
3.09048273,0.28977000,3.09036341,0.28917722
2.55336062,0.40766000,2.55653332,0.40708861
2.20517316,0.47933000,2.20908218,0.47962025
1.97079375,0.53097000,1.97557366,0.52740506
1.79691536,0.55601000,1.80213553,0.55594937
1.67113295,0.58115000,1.67704966,0.57816456
1.59305697,0.59462000,1.59722910,0.58974684
1.51758239,0.60724000,1.52317446,0.60316456
1.46847329,0.61653000,1.47371561,0.61177215
1.42802956,0.62324000,1.43315432,0.61917722
1.38179629,0.63171000,1.38691069,0.62772152
1.34843935,0.63751000,1.35326292,0.63227848
1.31631642,0.64213000,1.32004136,0.63575949
1.29392073,0.65005000,1.29774846,0.64715190
1.26589410,0.65249000,1.26975138,0.64993671
1.25239687,0.65979000,1.25696466,0.65613924
1.23093390,0.66267000,1.23541631,0.66000000
1.21316417,0.66770000,1.21746719,0.66588608
1.19698738,0.66858000,1.20100757,0.66556962
1.17757206,0.67030000,1.18214911,0.66962025
1.16275472,0.67690000,1.16696673,0.67392405
1.14608234,0.68064000,1.15051176,0.67886076
1.13826303,0.68163000,1.14282810,0.68012658
1.12902993,0.68649000,1.13293535,0.68569620
1.11971398,0.68704000,1.12303005,0.68613924
1.10665252,0.68830000,1.11103390,0.68727848
1.08967781,0.69169000,1.09456019,0.69272152
1.08470778,0.69163000,1.08911733,0.69031646
1.07333800,0.69377000,1.07729735,0.69265823
1.06847627,0.69613000,1.07340340,0.69430380
1.05977396,0.70069000,1.06516579,0.69879747
1.05401286,0.70072000,1.05802926,0.69708861
1.04222877,0.70351000,1.04739472,0.70006329
1.03873963,0.70481000,1.04394239,0.70335443
1.02996247,0.70578000,1.03540018,0.70506329
1.01946301,0.70522000,1.02433594,0.70550633
1.01600098,0.70796000,1.02154673,0.70620253
1.01068631,0.71084000,1.01544676,0.70879747
1.00521011,0.71157000,1.01110643,0.70772152
0.99576588,0.71217000,1.00185950,0.70892405
0.98962219,0.71318000,0.99532691,0.70962025
0.98582373,0.71487000,0.99129078,0.71253165
0.98249281,0.71858000,0.98898427,0.71518987
0.97604013,0.71552000,0.98195685,0.71208861
0.97109449,0.72160000,0.97710132,0.71835443
0.96525426,0.72234000,0.97177034,0.71968354
0.96420144,0.72148000,0.97048405,0.71803797
0.96061157,0.72000000,0.96700966,0.71829114
0.95610958,0.72142000,0.96268454,0.71867089
0.95631121,0.72326000,0.96300256,0.72037975
0.94762736,0.72261000,0.95543498,0.72120253
0.94077927,0.72492000,0.94810698,0.72145570
0.93824801,0.72808000,0.94650497,0.72424051
0.93283134,0.72857000,0.94116554,0.72518987
0.93314124,0.72836000,0.94110157,0.72417722
0.92975380,0.72755000,0.93784293,0.72379747
0.92497449,0.72932000,0.93376705,0.72658228
0.92438687,0.72976000,0.93246517,0.72588608
0.91713283,0.72687000,0.92554991,0.72265823
0.91892677,0.73141000,0.92821056,0.72873418
0.91123543,0.73066000,0.91977851,0.72677215
0.90837879,0.73243000,0.91728468,0.72835443
0.90440556,0.73539000,0.91367116,0.73177215
0.90332359,0.73440000,0.91162819,0.72949367
0.90548134,0.73328000,0.91452407,0.73050633
0.90162263,0.73416000,0.90972869,0.72993671
0.89877384,0.73529000,0.90768584,0.73056962
0.89161692,0.73599000,0.90008886,0.73177215
0.89241984,0.73448000,0.90067460,0.72993671
0.88861915,0.73939000,0.89766712,0.73449367
0.88771288,0.73593000,0.89643463,0.73208861
0.88526112,0.73809000,0.89370949,0.73398734
0.88323547,0.73867000,0.89232625,0.73386076
0.87909330,0.73689000,0.88792762,0.73227848
0.87977693,0.73808000,0.88845741,0.73417722
0.87841362,0.73794000,0.88773660,0.73601266
0.87306875,0.73725000,0.88206716,0.73506329
0.87223848,0.73850000,0.88149302,0.73544304
0.87166390,0.73881000,0.88044789,0.73310127
0.86574934,0.74463000,0.87569379,0.74012658
0.86899507,0.74417000,0.87830666,0.73791139
0.86655188,0.74387000,0.87480449,0.73886076
0.86184302,0.74079000,0.87023734,0.73879747
0.85981135,0.74199000,0.86816276,0.73860759
0.85690279,0.74326000,0.86551085,0.74075949
0.85890919,0.74404000,0.86827598,0.74006329
0.85222020,0.74342000,0.86075903,0.73829114
0.85756335,0.74537000,0.86620353,0.74177215
0.85310056,0.74543000,0.86181018,0.74069620
0.85273869,0.74539000,0.86142867,0.74392405
0.85040523,0.74593000,0.85920047,0.74291139
0.84610349,0.74864000,0.85589873,0.74569620
0.84729537,0.74722000,0.85610713,0.74487342
0.84500576,0.74869000,0.85491330,0.74575949
0.84436907,0.74574000,0.85392210,0.74259494
0.84144457,0.74602000,0.85078472,0.74265823
0.84174439,0.75024000,0.85161629,0.74740506
0.84108088,0.74591000,0.85108839,0.74329114
0.83604483,0.74794000,0.84581873,0.74550633
