learning_rate: 0.1, batch_size: 50, num_epochs: 100, error(test): 0.837514590025, acc(test): 0.735379746835, time: 173.40047550201416
error(train),acc(train),error(valid),acc(valid)
3.87933423,0.02311000,3.87897144,0.02322785
1.46519995,0.56748000,1.46006719,0.57221519
1.26273136,0.61835000,1.26068483,0.62082278
1.17591294,0.64235000,1.18138948,0.63898734
1.09195750,0.66693000,1.10506428,0.66386076
1.02543742,0.68073000,1.03935195,0.67670886
1.01114735,0.68161000,1.02777144,0.67898734
0.97830075,0.69381000,1.00116521,0.68841772
0.95756337,0.69841000,0.98468011,0.69196203
0.93470933,0.70469000,0.96116626,0.69626582
0.91208866,0.70891000,0.94386454,0.69867089
0.91977524,0.70760000,0.95169921,0.69670886
0.90599855,0.71450000,0.94090177,0.70556962
0.90040501,0.71208000,0.93477724,0.70746835
0.89190495,0.71469000,0.93351109,0.70341772
0.87196961,0.72030000,0.91550279,0.70943038
0.87644258,0.71759000,0.91429061,0.71006329
0.84999297,0.72531000,0.89208552,0.71430380
0.84228760,0.72752000,0.88806102,0.71886076
0.82816148,0.73304000,0.87541284,0.72303797
0.82416004,0.73311000,0.87526791,0.72012658
0.83735248,0.72760000,0.88742008,0.71481013
0.82156118,0.73536000,0.87352975,0.72341772
0.81669796,0.73426000,0.87075805,0.72259494
0.80845969,0.73951000,0.86770235,0.72386076
0.80453345,0.74166000,0.86610883,0.72601266
0.80537923,0.73824000,0.86692865,0.72449367
0.79435426,0.74345000,0.86048341,0.72208861
0.78163619,0.74545000,0.84850124,0.73189873
0.78023724,0.74721000,0.84253208,0.73145570
0.78893132,0.73973000,0.85980037,0.72303797
0.77747665,0.74833000,0.84948160,0.72575949
0.78686801,0.74238000,0.86264322,0.72537975
0.76972332,0.74862000,0.83773148,0.73196203
0.77763517,0.74657000,0.85422114,0.72886076
0.76630805,0.74881000,0.84291579,0.73227848
0.75859544,0.75226000,0.83829335,0.73044304
0.76029298,0.75166000,0.83885196,0.72860759
0.75579217,0.75365000,0.83564430,0.73164557
0.75828324,0.75302000,0.83745767,0.73341772
0.75333646,0.75249000,0.83720782,0.73145570
0.73726223,0.75878000,0.82648936,0.73500000
0.74089586,0.75619000,0.82913355,0.73386076
0.75212294,0.75379000,0.84538860,0.72924051
0.76255991,0.74849000,0.85884102,0.72424051
0.72544964,0.76044000,0.81673882,0.73689873
0.73454710,0.75855000,0.83141884,0.73582278
0.73152324,0.75622000,0.82703750,0.73316456
0.73977663,0.75800000,0.84254013,0.73139241
0.73517156,0.75528000,0.83414841,0.73088608
0.72657004,0.76007000,0.82800867,0.73379747
0.73292771,0.75783000,0.83162746,0.73487342
0.73187978,0.76029000,0.83818030,0.73379747
0.72550404,0.76161000,0.83351565,0.73512658
0.72050586,0.76387000,0.82737202,0.73196203
0.71507862,0.76306000,0.82412623,0.73835443
0.72171337,0.76120000,0.83038037,0.73367089
0.70705865,0.76614000,0.81986071,0.73702532
0.70858353,0.76467000,0.82028093,0.73854430
0.71498136,0.76389000,0.83362925,0.73341772
0.72002936,0.76269000,0.83614294,0.73367089
0.69893555,0.76881000,0.82111871,0.73943038
0.70910627,0.76624000,0.82580422,0.73715190
0.70064439,0.76799000,0.81890333,0.73797468
0.69750921,0.76855000,0.81814020,0.74056962
0.69896608,0.76663000,0.82211139,0.73696203
0.71451084,0.76042000,0.84312842,0.73012658
0.69415830,0.77025000,0.82580111,0.73702532
0.71101223,0.76320000,0.83803221,0.73335443
0.69399187,0.76950000,0.81685621,0.74056962
0.68335537,0.77168000,0.81409716,0.74094937
0.70069730,0.76802000,0.83071161,0.73563291
0.69399945,0.76876000,0.82640299,0.73500000
0.69001432,0.77145000,0.82298900,0.74037975
0.68160274,0.77423000,0.81399727,0.74411392
0.68629524,0.77275000,0.82555293,0.74044304
0.69304147,0.76789000,0.82949978,0.73670886
0.68451586,0.77114000,0.82670172,0.73892405
0.68614585,0.76959000,0.82894178,0.73208861
0.68407655,0.77302000,0.82285432,0.73943038
0.67981636,0.77389000,0.82383480,0.74234177
0.68353249,0.77199000,0.82975215,0.73993671
0.67787812,0.77399000,0.82580059,0.73993671
0.67498185,0.77650000,0.82085875,0.73974684
0.68400850,0.76975000,0.82656590,0.73607595
0.67700537,0.77330000,0.82302144,0.73924051
0.67953821,0.77395000,0.82779105,0.73867089
0.68273082,0.77182000,0.82855418,0.73810127
0.68114030,0.77149000,0.82641358,0.74069620
0.67441667,0.77512000,0.82781029,0.74031646
0.66800767,0.77694000,0.82362410,0.74044304
0.67614765,0.77476000,0.82867216,0.73873418
0.66769484,0.77609000,0.82322858,0.74006329
0.67090863,0.77607000,0.82809928,0.73734177
0.67138166,0.77369000,0.83270180,0.73474684
0.68111066,0.77236000,0.84340217,0.73575949
0.66143263,0.77675000,0.82300732,0.73911392
0.67182127,0.77539000,0.82826504,0.73430380
0.67475482,0.77390000,0.83142332,0.74006329
0.67348710,0.77217000,0.83700036,0.73069620
0.67956532,0.77263000,0.83751459,0.73537975
