learning_rate: 0.1, batch_size: 50, num_epochs: 100, l2_coeff: 0.01, error(test): 0.765869586185, acc(test): 0.767721518987, time: 742.6730365753174
error(train),acc(train),error(valid),acc(valid)
6.02124948,0.02716000,5.98994126,0.02746835
0.83578089,0.74543000,0.84894272,0.73911392
0.79193791,0.75586000,0.80223650,0.74759494
0.74853858,0.77533000,0.76314643,0.76911392
0.74622795,0.77669000,0.76215803,0.77284810
0.73328421,0.77820000,0.74666622,0.77594937
0.76365180,0.75896000,0.77539655,0.75474684
0.75387243,0.76415000,0.75922333,0.76259494
0.74714713,0.76549000,0.75760020,0.76354430
0.75812448,0.76074000,0.76802102,0.75588608
0.73363743,0.77829000,0.74429147,0.77582278
0.73712687,0.76937000,0.74433823,0.76506329
0.73249902,0.77608000,0.74520101,0.77006329
0.73960684,0.76732000,0.75354781,0.75987342
0.72320408,0.78072000,0.73159253,0.77848101
0.75857022,0.76599000,0.76938388,0.76601266
0.73257649,0.77952000,0.74687927,0.77550633
0.72027157,0.78372000,0.73071092,0.77810127
0.74083182,0.76921000,0.75129049,0.76531646
0.75405698,0.75896000,0.76298584,0.75563291
0.72321008,0.78073000,0.73345906,0.78012658
0.74142923,0.76502000,0.75456004,0.75822785
0.73735719,0.77348000,0.74928758,0.77088608
0.71707019,0.78350000,0.72729139,0.77670886
0.71587035,0.78604000,0.72577873,0.78234177
0.75281025,0.75992000,0.76248545,0.75734177
0.74517213,0.76743000,0.75347639,0.76455696
0.72146061,0.77627000,0.73537656,0.77202532
0.72155042,0.77476000,0.73833787,0.76772152
0.71784954,0.77973000,0.73152513,0.77468354
0.71901590,0.78035000,0.72839106,0.77481013
0.75261270,0.76181000,0.76205209,0.75632911
0.74301057,0.77101000,0.75835618,0.76436709
0.71325639,0.78169000,0.72574342,0.77734177
0.73103698,0.77649000,0.74478373,0.77246835
0.72261946,0.78338000,0.73581527,0.77531646
0.72234107,0.78281000,0.73416443,0.77607595
0.74482113,0.77139000,0.75764087,0.76575949
0.71324963,0.78468000,0.72391992,0.78151899
0.71655523,0.78162000,0.72800460,0.77620253
0.70151089,0.78892000,0.71338610,0.78537975
0.70837630,0.77536000,0.71756226,0.77512658
0.72469281,0.78155000,0.73361409,0.77911392
0.74763916,0.76892000,0.76170626,0.76373418
0.71943535,0.77553000,0.72983123,0.77139241
0.73980601,0.77306000,0.74715598,0.77018987
0.72751962,0.77706000,0.74044017,0.77575949
0.72425153,0.77851000,0.73382142,0.77386076
0.75437765,0.76683000,0.76544644,0.76367089
0.72847034,0.77676000,0.73616738,0.77259494
0.73484330,0.76707000,0.74296477,0.76297468
0.72698901,0.77932000,0.73688833,0.77772152
0.71018011,0.78761000,0.72085633,0.78189873
0.69825911,0.79080000,0.70897307,0.78658228
0.74121213,0.77077000,0.75339435,0.76424051
0.72148833,0.78463000,0.73054465,0.78037975
0.74447312,0.77437000,0.75765984,0.77031646
0.73134019,0.76949000,0.74260452,0.76569620
0.68863823,0.79233000,0.69992573,0.78962025
0.72552158,0.77204000,0.73407486,0.76993671
0.72242618,0.77982000,0.73597699,0.77449367
0.75042216,0.76436000,0.75829150,0.76025316
0.73325184,0.77763000,0.74303370,0.77430380
0.72593189,0.77460000,0.73868842,0.77044304
0.72308406,0.77647000,0.73613411,0.77037975
0.70815164,0.78578000,0.71817776,0.77974684
0.70373142,0.78613000,0.71254177,0.78443038
0.70938700,0.78594000,0.71908650,0.78012658
0.74026712,0.77495000,0.75557751,0.76860759
0.72798008,0.77605000,0.73834201,0.77082278
0.75413131,0.76322000,0.76455490,0.75892405
0.72793113,0.77242000,0.73769208,0.77050633
0.70802964,0.78414000,0.72076775,0.77867089
0.71534648,0.77803000,0.72238366,0.77601266
0.72352211,0.77670000,0.73511285,0.77227848
0.75942908,0.76662000,0.77015156,0.75873418
0.74146538,0.77183000,0.75537555,0.76626582
0.73031451,0.78061000,0.73687020,0.77848101
0.72727702,0.78497000,0.74195629,0.78354430
0.76844815,0.76115000,0.77718977,0.75582278
0.72390920,0.77607000,0.73305911,0.77158228
0.74075471,0.77088000,0.75012347,0.76835443
0.74053153,0.77002000,0.74817998,0.76721519
0.71023408,0.78457000,0.72150717,0.78196203
0.73824469,0.76955000,0.74385909,0.76329114
0.71433016,0.78417000,0.72641250,0.78310127
0.73785989,0.77828000,0.75134455,0.77183544
0.70961049,0.78386000,0.71510090,0.78436709
0.71328502,0.78374000,0.72303468,0.77740506
0.73100463,0.77602000,0.74382922,0.76791139
0.73179903,0.77789000,0.74115434,0.77443038
0.69867627,0.78604000,0.70854202,0.78177215
0.70988855,0.78678000,0.72455572,0.78120253
0.71154358,0.78513000,0.72143949,0.78044304
0.71117433,0.78294000,0.72162489,0.77645570
0.71880687,0.77944000,0.72949973,0.77405063
0.73026158,0.77207000,0.73397674,0.77069620
0.74889128,0.76605000,0.75912631,0.76196203
0.73422550,0.77146000,0.74376685,0.76867089
0.71802763,0.77683000,0.72984569,0.77177215
0.75062713,0.76976000,0.76586967,0.76772152
