learning_rate: 0.001, batch_size: 50, num_epochs: 100, epsilon: 1e-08, alpha: 0.9, beta: 0.999, error(test): 4.82223011743, acc(test): 0.734873417722
error(train),acc(train),error(valid),acc(valid)
7.79561015,0.02311000,7.79522097,0.02322785
5.18468037,0.64419000,5.18846015,0.64354430
5.07554141,0.66711000,5.08099508,0.66727848
5.00395510,0.68430000,5.01052391,0.68500000
4.96886320,0.69793000,4.98267871,0.69886076
4.92359960,0.70752000,4.93984048,0.70594937
4.89484379,0.71555000,4.91572612,0.71379747
4.87520153,0.72039000,4.89891680,0.71734177
4.86951464,0.72143000,4.90018342,0.71531646
4.84531652,0.72771000,4.87763477,0.72259494
4.83637470,0.72735000,4.87271671,0.72183544
4.82255107,0.73264000,4.86151863,0.72493671
4.82030124,0.73295000,4.86587659,0.72253165
4.80383298,0.73619000,4.84675263,0.73006329
4.79672412,0.73970000,4.84497752,0.73196203
4.79311191,0.73984000,4.84750844,0.72924051
4.79232776,0.73935000,4.84519793,0.72632911
4.77864261,0.74485000,4.83465704,0.73177215
4.77574157,0.74283000,4.83541185,0.72867089
4.76195512,0.74925000,4.82720020,0.73272152
4.75669883,0.75102000,4.82337455,0.73658228
4.74538295,0.75300000,4.81228594,0.73886076
4.74786204,0.75190000,4.82054881,0.73373418
4.73741910,0.75504000,4.81212813,0.73658228
4.74415042,0.75397000,4.82060611,0.73462025
4.74059082,0.75300000,4.81695293,0.73525316
4.73361536,0.75544000,4.81751459,0.73664557
4.72832930,0.75688000,4.81226501,0.73474684
4.71856623,0.75996000,4.80461547,0.73860759
4.71848592,0.76104000,4.80097462,0.74094937
4.71955611,0.75587000,4.81166944,0.73367089
4.71561625,0.75974000,4.81335084,0.73398734
4.71002578,0.76206000,4.80626932,0.73689873
4.71152187,0.76009000,4.80488381,0.73506329
4.70998446,0.76093000,4.81064672,0.73417722
4.70035966,0.76358000,4.80197301,0.74044304
4.69903721,0.76494000,4.80162295,0.73968354
4.69079674,0.76670000,4.79941346,0.73873418
4.69653489,0.76510000,4.80324721,0.73721519
4.69532825,0.76544000,4.80505321,0.73816456
4.68597476,0.76786000,4.79760847,0.73803797
4.69073517,0.76639000,4.80649082,0.73702532
4.68412552,0.76723000,4.80123792,0.73816456
4.67939702,0.76908000,4.79796783,0.73810127
4.67629668,0.76926000,4.80196769,0.73816456
4.68315184,0.76740000,4.80869010,0.73563291
4.67659500,0.76888000,4.80065961,0.73575949
4.67899137,0.76851000,4.80467588,0.73917722
4.67025683,0.77136000,4.80308545,0.73765823
4.67730404,0.76864000,4.80707364,0.73664557
4.66894180,0.77293000,4.80065143,0.73911392
4.66433187,0.77194000,4.80333566,0.73911392
4.66700710,0.77187000,4.80352170,0.73658228
4.65677279,0.77584000,4.79657464,0.74177215
4.65835032,0.77419000,4.79647225,0.73968354
4.66045241,0.77428000,4.80266134,0.73702532
4.65070415,0.77712000,4.79638607,0.74101266
4.65245926,0.77543000,4.79910503,0.73949367
4.64765440,0.77799000,4.79380793,0.73930380
4.65406390,0.77393000,4.80756008,0.73474684
4.66094571,0.77123000,4.81590825,0.73424051
4.65435861,0.77327000,4.81086755,0.73525316
4.65058560,0.77691000,4.80778681,0.73930380
4.64722544,0.77753000,4.80182125,0.73860759
4.64880364,0.77628000,4.80539896,0.73841772
4.63682164,0.77984000,4.79979720,0.73816456
4.64377196,0.77809000,4.80753726,0.73930380
4.65000242,0.77643000,4.81589787,0.73468354
4.65243468,0.77392000,4.81992367,0.73696203
4.65188406,0.77511000,4.81531135,0.73702532
4.64545280,0.77576000,4.81390145,0.73417722
4.63437338,0.78232000,4.80278531,0.73727848
4.63424241,0.78137000,4.80673251,0.74056962
4.63022575,0.78129000,4.80320894,0.74094937
4.63334609,0.78082000,4.80629518,0.73746835
4.63139664,0.78237000,4.80851845,0.74234177
4.63861557,0.77900000,4.81423918,0.73702532
4.62936145,0.78218000,4.80614449,0.73962025
4.64197932,0.77624000,4.82370323,0.73069620
4.62982516,0.78153000,4.80523546,0.74044304
4.62877525,0.78345000,4.80564502,0.74082278
4.62423647,0.78241000,4.80121149,0.74113924
4.62540015,0.78359000,4.81069762,0.73854430
4.61861094,0.78530000,4.80276587,0.73841772
4.62642982,0.78337000,4.80988399,0.73759494
4.62485085,0.78307000,4.81375237,0.73367089
4.61846273,0.78642000,4.80282283,0.74037975
4.62505789,0.78163000,4.81396551,0.73670886
4.62695062,0.78281000,4.81671898,0.73892405
4.61472913,0.78561000,4.80665458,0.73829114
4.61575671,0.78503000,4.81183615,0.73778481
4.62071455,0.78519000,4.81251084,0.73835443
4.61470178,0.78505000,4.80659966,0.73784810
4.61297883,0.78619000,4.80848214,0.74082278
4.61948487,0.78298000,4.81749826,0.73626582
4.61572710,0.78513000,4.81276883,0.73879747
4.60757928,0.78803000,4.80770317,0.74177215
4.61162024,0.78729000,4.81254284,0.73778481
4.61446935,0.78449000,4.81334550,0.73778481
4.61061106,0.78842000,4.81536516,0.73822785
4.61638925,0.78532000,4.82175373,0.73487342
