learning_rate: 0.001, batch_size: 50, num_epochs: 100, error(test): 5.44447542372, acc(test): 0.593164556962
error(train),acc(train),error(valid),acc(valid)
7.79561015,0.02311000,7.79522097,0.02322785
7.75834318,0.02815000,7.75750051,0.02898734
7.72959303,0.03847000,7.72829177,0.04006329
7.70377842,0.04856000,7.70228866,0.05126582
7.67775046,0.06173000,7.67618399,0.06405063
7.64943554,0.08056000,7.64765913,0.08215190
7.61734213,0.10185000,7.61525871,0.10639241
7.58039820,0.12481000,7.57799515,0.12911392
7.53779190,0.14728000,7.53513074,0.15063291
7.48904123,0.16705000,7.48615599,0.17139241
7.43389497,0.18280000,7.43083103,0.18772152
7.37207196,0.19927000,7.36892852,0.20563291
7.30397059,0.21396000,7.30058275,0.22069620
7.22959126,0.23219000,7.22639857,0.23886076
7.15077977,0.25142000,7.14741440,0.25594937
7.06907885,0.27283000,7.06555333,0.27930380
6.98623010,0.29226000,6.98240808,0.29772152
6.90256679,0.31122000,6.89875520,0.31398734
6.81967211,0.32988000,6.81592330,0.33493671
6.74023822,0.34661000,6.73638152,0.35063291
6.66345293,0.36166000,6.65958518,0.36493671
6.58948019,0.37939000,6.58560932,0.38082278
6.52128106,0.39305000,6.51716680,0.39481013
6.45684184,0.40475000,6.45244697,0.40588608
6.39656587,0.41605000,6.39219088,0.41879747
6.34088503,0.42477000,6.33604879,0.42778481
6.28672625,0.43615000,6.28206965,0.43886076
6.23803419,0.44383000,6.23287583,0.44474684
6.19115547,0.45115000,6.18620104,0.45417722
6.14788562,0.45583000,6.14263856,0.46050633
6.10730226,0.46342000,6.10158734,0.46949367
6.07108982,0.46923000,6.06520922,0.47550633
6.03538581,0.47565000,6.02866540,0.48000000
6.00268267,0.48018000,5.99581304,0.48518987
5.97284673,0.48551000,5.96559129,0.48993671
5.94338075,0.49063000,5.93629581,0.49601266
5.91684897,0.49520000,5.90932429,0.50031646
5.89267182,0.49935000,5.88515244,0.50563291
5.86909318,0.50283000,5.86097511,0.50803797
5.84786503,0.50758000,5.83949525,0.51246835
5.82803235,0.51132000,5.82015127,0.51702532
5.80954923,0.51427000,5.80127064,0.51917722
5.79189162,0.51763000,5.78344341,0.52208861
5.77679075,0.52064000,5.76836024,0.52563291
5.76065027,0.52284000,5.75183985,0.52879747
5.74691994,0.52439000,5.73797344,0.53132911
5.73318236,0.52836000,5.72410491,0.53354430
5.72194687,0.53012000,5.71349029,0.53550633
5.70906389,0.53410000,5.70046243,0.54006329
5.69822765,0.53637000,5.68939507,0.54145570
5.68823659,0.53697000,5.67888279,0.54202532
5.67859755,0.53982000,5.66982575,0.54487342
5.66926405,0.54091000,5.66070609,0.54601266
5.66032250,0.54265000,5.65144346,0.54835443
5.65222858,0.54388000,5.64317811,0.54968354
5.64337765,0.54629000,5.63460617,0.55158228
5.63726910,0.54724000,5.62849665,0.55240506
5.62885177,0.54975000,5.62026479,0.55468354
5.62186000,0.55083000,5.61299108,0.55689873
5.61484633,0.55229000,5.60675594,0.55702532
5.60866922,0.55454000,5.60019096,0.55968354
5.60275126,0.55528000,5.59460334,0.56069620
5.59644789,0.55701000,5.58825918,0.56246835
5.59053536,0.55721000,5.58226800,0.56265823
5.58547168,0.55911000,5.57746168,0.56575949
5.57994021,0.56027000,5.57229538,0.56474684
5.57491999,0.56158000,5.56672683,0.56708861
5.56967589,0.56192000,5.56166584,0.56588608
5.56465175,0.56324000,5.55706990,0.56898734
5.55989375,0.56474000,5.55219573,0.57088608
5.55535936,0.56603000,5.54803994,0.57006329
5.55025615,0.56726000,5.54295897,0.57069620
5.54585183,0.56820000,5.53858071,0.57386076
5.54195128,0.56845000,5.53515166,0.57284810
5.53808047,0.56983000,5.53095911,0.57531646
5.53332884,0.57017000,5.52591601,0.57537975
5.53008172,0.57131000,5.52302060,0.57626582
5.52524269,0.57263000,5.51779087,0.57721519
5.52177454,0.57388000,5.51534724,0.57791139
5.51768309,0.57393000,5.51114043,0.57835443
5.51376019,0.57580000,5.50694450,0.58151899
5.50968268,0.57669000,5.50338518,0.58139241
5.50679195,0.57670000,5.50012485,0.57860759
5.50271391,0.57834000,5.49611519,0.58082278
5.49977754,0.57918000,5.49351546,0.58373418
5.49589980,0.57989000,5.49023017,0.58164557
5.49228291,0.57982000,5.48636998,0.58335443
5.48876703,0.58158000,5.48288923,0.58493671
5.48567764,0.58171000,5.47982722,0.58493671
5.48260035,0.58288000,5.47750008,0.58430380
5.47863761,0.58330000,5.47289014,0.58677215
5.47598815,0.58405000,5.47000940,0.58664557
5.47283120,0.58529000,5.46745692,0.58734177
5.46942651,0.58569000,5.46402888,0.58778481
5.46628601,0.58657000,5.46149688,0.58867089
5.46315407,0.58709000,5.45861654,0.58848101
5.45999842,0.58737000,5.45553616,0.58955696
5.45662139,0.58900000,5.45195836,0.59037975
5.45374602,0.58897000,5.44933192,0.59113924
5.45107693,0.59047000,5.44719320,0.59113924
5.44795406,0.59096000,5.44424615,0.59316456
