learning_rate: 0.001, batch_size: 50, num_epochs: 100, epsilon: 1e-08, beta: 0.9, l2_coeff: 0.01, error(test): 4.76492252844, acc(test): 0.773924050633
error(train),acc(train),error(valid),acc(valid)
10.05244363,0.02716000,10.01960998,0.02746835
4.83060435,0.75220000,4.84168805,0.74544304
4.79864429,0.76163000,4.80844282,0.75329114
4.76702320,0.77206000,4.77857502,0.76765823
4.75521538,0.77571000,4.77090563,0.77234177
4.76117230,0.77513000,4.77380681,0.77417722
4.77183760,0.76393000,4.77979887,0.76031646
4.75557661,0.76893000,4.76092590,0.76753165
4.76248490,0.76590000,4.77033296,0.76151899
4.75736866,0.77194000,4.76355125,0.76930380
4.76520647,0.77103000,4.77471258,0.76677215
4.73744050,0.77777000,4.74151052,0.77746835
4.73631189,0.77893000,4.74743224,0.77563291
4.73548907,0.77550000,4.74731776,0.76759494
4.72889403,0.78286000,4.73604163,0.77759494
4.74875232,0.77344000,4.75545352,0.77310127
4.74081726,0.78119000,4.75412356,0.77753165
4.72732176,0.78323000,4.73668146,0.77924051
4.75235771,0.77590000,4.76415060,0.76974684
4.75012516,0.77152000,4.75508810,0.76607595
4.73063104,0.78398000,4.73996081,0.78151899
4.74368376,0.78051000,4.75185195,0.77462025
4.73271377,0.78069000,4.74464908,0.77544304
4.73718707,0.77969000,4.74870371,0.77386076
4.73236585,0.78213000,4.73924688,0.78107595
4.75040871,0.77231000,4.76014896,0.76613924
4.73208798,0.77969000,4.73748395,0.78101266
4.73594951,0.77708000,4.74739872,0.77424051
4.72536286,0.78227000,4.73727661,0.77778481
4.73425356,0.77970000,4.74461288,0.77563291
4.73732555,0.78133000,4.74563425,0.77658228
4.74451769,0.77287000,4.75512099,0.76835443
4.73631346,0.78268000,4.74863226,0.77778481
4.72779768,0.78382000,4.73868990,0.77955696
4.74295486,0.77877000,4.75407551,0.77443038
4.72885722,0.78316000,4.73781842,0.77803797
4.72662037,0.78388000,4.73644140,0.78025316
4.74048408,0.77929000,4.75205364,0.77620253
4.73712542,0.77854000,4.74868278,0.77493671
4.72750368,0.78793000,4.73589785,0.78398734
4.73345396,0.77999000,4.74344726,0.77525316
4.72966439,0.78036000,4.73995721,0.77468354
4.73112396,0.78528000,4.73732947,0.78164557
4.74133874,0.77440000,4.75332366,0.76993671
4.74243129,0.77671000,4.75346077,0.77303797
4.73870182,0.77707000,4.74456561,0.77481013
4.74037957,0.77517000,4.74834199,0.77386076
4.74911962,0.77544000,4.75629415,0.77272152
4.75693422,0.76856000,4.76678536,0.76531646
4.73213305,0.78411000,4.74135203,0.77911392
4.73267377,0.77594000,4.73950045,0.77189873
4.73893952,0.77824000,4.74653791,0.77556962
4.72755451,0.78392000,4.73975759,0.77810127
4.71510013,0.78681000,4.72445126,0.78348101
4.73769724,0.77562000,4.74692822,0.77151899
4.72510453,0.78487000,4.73461530,0.78177215
4.75944970,0.77571000,4.77057574,0.76987342
4.73751989,0.77511000,4.74660945,0.77018987
4.72581138,0.78683000,4.73626194,0.78259494
4.74446867,0.77372000,4.75248565,0.77101266
4.72998742,0.78343000,4.74351046,0.77822785
4.72789094,0.77900000,4.73282714,0.77639241
4.74462749,0.77883000,4.75302052,0.77481013
4.74543253,0.77703000,4.75565278,0.77272152
4.72390750,0.78324000,4.73490332,0.77974684
4.72184693,0.78775000,4.73070711,0.77898734
4.72427626,0.78352000,4.73218200,0.77689873
4.73105249,0.78375000,4.73998941,0.77696203
4.72818250,0.78056000,4.73973862,0.77582278
4.73784464,0.77842000,4.74663648,0.77563291
4.75332948,0.76854000,4.76269787,0.76443038
4.73049448,0.77690000,4.74139906,0.77556962
4.71772629,0.78596000,4.72996152,0.77981013
4.74057331,0.78136000,4.74699019,0.78139241
4.72695606,0.78333000,4.73776894,0.77873418
4.73735380,0.77638000,4.74800693,0.77088608
4.76245490,0.76831000,4.77571178,0.76158228
4.74164105,0.78069000,4.74523091,0.77683544
4.73012274,0.78461000,4.74357668,0.77955696
4.76526763,0.77158000,4.77270463,0.76537975
4.75181076,0.77020000,4.76040382,0.76443038
4.74063010,0.78015000,4.74784851,0.77797468
4.74132419,0.77680000,4.74747728,0.77670886
4.73104740,0.77983000,4.74135939,0.77708861
4.74677655,0.77298000,4.75444716,0.76506329
4.72291377,0.78551000,4.72917382,0.78360759
4.75586906,0.77708000,4.76696713,0.77265823
4.73033802,0.78151000,4.73347983,0.77632911
4.73174509,0.77946000,4.74057753,0.77569620
4.73513821,0.78146000,4.74939358,0.77727848
4.73173866,0.78221000,4.74049468,0.77867089
4.72043760,0.78676000,4.72827833,0.78531646
4.72199482,0.78672000,4.73494842,0.77886076
4.72498549,0.78733000,4.73511826,0.78158228
4.72612912,0.78399000,4.73725157,0.77949367
4.72439677,0.78408000,4.73042397,0.77911392
4.75266271,0.77328000,4.75944348,0.77221519
4.72724011,0.78192000,4.73636628,0.77765823
4.73310734,0.77870000,4.74222466,0.77436709
4.72878108,0.78123000,4.73694684,0.77594937
4.75017974,0.77942000,4.76493786,0.77392405
