learning_rate: 0.01, batch_size: 50, num_epochs: 100, epsilon: 1e-08, alpha: 0.9, beta: 0.999, dropout_prob: 0.5, error(test): 2.69831091086, acc(test): 0.239556962025, time: 1187.6820976734161
error(train),acc(train),error(valid),acc(valid)
3.89570245,0.02716000,3.89164754,0.02746835
3.41380122,0.09199000,3.41286960,0.09227848
3.29187660,0.13526000,3.29323125,0.12746835
3.19190815,0.13954000,3.19364377,0.13886076
3.08406383,0.17495000,3.09226920,0.16689873
3.13734583,0.14802000,3.14118877,0.14537975
3.00694614,0.20060000,3.01594908,0.19468354
2.99102124,0.18190000,2.99722299,0.17645570
2.90419469,0.23287000,2.90419529,0.22917722
2.91678350,0.22032000,2.92382804,0.21506329
2.92958031,0.21285000,2.93280292,0.20405063
2.99407424,0.17168000,2.99967637,0.16569620
2.86232966,0.21772000,2.86654987,0.21525316
2.93467031,0.20256000,2.93558287,0.19791139
2.95228195,0.18364000,2.95109181,0.18227848
2.88752532,0.21885000,2.89292819,0.21500000
2.80430721,0.20455000,2.80521278,0.20006329
2.83937214,0.22920000,2.84260688,0.21936709
2.90175211,0.19959000,2.90804013,0.19278481
2.87657583,0.21119000,2.88209359,0.20905063
2.84241515,0.20098000,2.84540522,0.19689873
2.80081066,0.21257000,2.80349770,0.21354430
2.81598569,0.23841000,2.81923053,0.23386076
2.81306720,0.21619000,2.81946737,0.20898734
2.81964059,0.21973000,2.82297416,0.22075949
2.92280733,0.23857000,2.92994439,0.23322785
2.77706914,0.24311000,2.78067194,0.24139241
2.82755711,0.22320000,2.82887158,0.22113924
2.78253872,0.23511000,2.78677679,0.23537975
2.73007997,0.24504000,2.73494460,0.24208861
2.82218431,0.25385000,2.83160595,0.24588608
2.84626391,0.22829000,2.84756868,0.22436709
2.78224217,0.24513000,2.79537377,0.24360759
2.76623440,0.22353000,2.77553065,0.22158228
2.80305884,0.24083000,2.81172912,0.23778481
2.74941337,0.23192000,2.75675384,0.22930380
2.82872567,0.23944000,2.83908824,0.23689873
2.73909201,0.24818000,2.75210039,0.24746835
2.77683678,0.24146000,2.78521291,0.23962025
2.75743683,0.23164000,2.76723831,0.22867089
2.72731102,0.24952000,2.74226833,0.24670886
2.73989220,0.22233000,2.75061456,0.22189873
2.73799472,0.25243000,2.75259520,0.24867089
2.72632135,0.23846000,2.74397048,0.23348101
2.68224929,0.22934000,2.69302882,0.22873418
2.73951405,0.25978000,2.74866436,0.26297468
2.72842468,0.25773000,2.74157704,0.25854430
2.76594760,0.24502000,2.77907113,0.24000000
2.75291137,0.25155000,2.76891564,0.24772152
2.75886731,0.22295000,2.77031792,0.22917722
2.74512589,0.21809000,2.76172037,0.21493671
2.82329467,0.22329000,2.83401449,0.22000000
2.70796809,0.26412000,2.72151763,0.26044304
2.72941714,0.23264000,2.73891408,0.23462025
2.78661817,0.23179000,2.79937493,0.22911392
2.77048181,0.23655000,2.78572278,0.23607595
2.70534880,0.24105000,2.71709023,0.23632911
2.75613347,0.23736000,2.76277390,0.23721519
2.70053213,0.25133000,2.71503139,0.25284810
2.74597182,0.23600000,2.76256814,0.23588608
2.77027133,0.24235000,2.78424006,0.23943038
2.67714715,0.24243000,2.69031864,0.23810127
2.71869895,0.24904000,2.72911527,0.24949367
2.67567726,0.26200000,2.68790901,0.26018987
2.74025410,0.25389000,2.75529705,0.25227848
2.78159556,0.23916000,2.80224867,0.23753165
2.75873768,0.25535000,2.77288977,0.25107595
2.64746669,0.24845000,2.66021204,0.24829114
2.69792385,0.26105000,2.70655335,0.25981013
2.67298396,0.23028000,2.68763009,0.22968354
2.70095995,0.24969000,2.71491046,0.24708861
2.69673903,0.23251000,2.70701480,0.22936709
2.74818318,0.23041000,2.75844342,0.22626582
2.66725620,0.25222000,2.68092593,0.24759494
2.69489309,0.24151000,2.71038997,0.23468354
2.67303514,0.22893000,2.68220409,0.22873418
2.70594491,0.24758000,2.71857851,0.24936709
2.72789981,0.23957000,2.74151097,0.23582278
2.66384954,0.25370000,2.67518119,0.25436709
2.80253884,0.21780000,2.81801759,0.21860759
2.76032607,0.22955000,2.77597269,0.22734177
2.70257011,0.23750000,2.71896134,0.23512658
2.81618789,0.21736000,2.82938605,0.21322785
2.71838427,0.21645000,2.72813251,0.21512658
2.72423788,0.23242000,2.74139846,0.23386076
2.70316803,0.24166000,2.71418924,0.23987342
2.72032423,0.24791000,2.73320214,0.24746835
2.70621643,0.24022000,2.71703370,0.24151899
2.74608560,0.21415000,2.76100519,0.21113924
2.84141391,0.21140000,2.85509900,0.20816456
2.74865818,0.23896000,2.76397968,0.23405063
2.70729623,0.20899000,2.71201621,0.20316456
2.73217291,0.24152000,2.74419134,0.24575949
2.73168844,0.23039000,2.74396928,0.23215190
2.76605499,0.22572000,2.77599141,0.22462025
2.77117696,0.24772000,2.79041563,0.24582278
2.78127127,0.22827000,2.79148042,0.22677215
2.73438165,0.23105000,2.74815419,0.22879747
2.71529595,0.24383000,2.73430166,0.23677215
2.74977493,0.24153000,2.76207830,0.24297468
2.68368056,0.24115000,2.69831114,0.23955696
