learning_rate: 0.01, batch_size: 50, num_epochs: 100, epsilon: 1e-08, beta: 0.9, dropout_prob: 0.5, error(test): 3.60135719455, acc(test): 0.0927848101266, time: 659.5880424976349
error(train),acc(train),error(valid),acc(valid)
3.89570245,0.02716000,3.89164754,0.02746835
2.04421264,0.44769000,2.06132110,0.44563291
2.53048397,0.30984000,2.54387928,0.30797468
2.63865991,0.30428000,2.65541039,0.29734177
2.86746894,0.23920000,2.88349265,0.23968354
3.05828551,0.20883000,3.06476918,0.20696203
2.95140932,0.23117000,2.96769754,0.22696203
3.07224788,0.18795000,3.08888463,0.18386076
3.04586863,0.19537000,3.05212536,0.19626582
3.19250208,0.17130000,3.19808261,0.16879747
3.21414474,0.16579000,3.23161354,0.16310127
3.16706066,0.17302000,3.19149745,0.16822785
3.23714825,0.15987000,3.25194963,0.15803797
3.39557457,0.13896000,3.40750082,0.13411392
3.39564997,0.14041000,3.42821021,0.13607595
3.38626489,0.14206000,3.41674785,0.13898734
3.37693599,0.14043000,3.40789730,0.14069620
3.34763533,0.14990000,3.37958685,0.14405063
3.42035298,0.12889000,3.45060479,0.12626582
3.42183822,0.13298000,3.45024758,0.12962025
3.43622018,0.13121000,3.46221886,0.12727848
3.43666140,0.12899000,3.46053414,0.12221519
3.43870626,0.13059000,3.47242010,0.12943038
3.44301459,0.12508000,3.47550996,0.11848101
3.52647016,0.10881000,3.54771721,0.10670886
3.50751910,0.11343000,3.52859337,0.11215190
3.48703316,0.11963000,3.51130185,0.11734177
3.49981627,0.11604000,3.52103747,0.11411392
3.49817779,0.11841000,3.52700712,0.11518987
3.53494831,0.10730000,3.55335097,0.10455696
3.51799654,0.11290000,3.52633597,0.11430380
3.50379345,0.11573000,3.52690196,0.11291139
3.56300988,0.09870000,3.58560445,0.09689873
3.50396398,0.11581000,3.52199543,0.11341772
3.53751667,0.10559000,3.56238518,0.10493671
3.55155384,0.10376000,3.56654754,0.10189873
3.53909848,0.10731000,3.56288429,0.10500000
3.51681942,0.11032000,3.54881028,0.10575949
3.50317356,0.11526000,3.52383728,0.11227848
3.51473323,0.11278000,3.54899896,0.10677215
3.52921407,0.10719000,3.55579049,0.10335443
3.47178916,0.12327000,3.50149896,0.11867089
3.54547357,0.10441000,3.56846994,0.10265823
3.55379551,0.10058000,3.57051551,0.09696203
3.57623756,0.09591000,3.59181481,0.09405063
3.57188261,0.09612000,3.59136464,0.09253165
3.57261947,0.09580000,3.60931128,0.09291139
3.52209022,0.10904000,3.56445604,0.10746835
3.56609255,0.09762000,3.59064787,0.09537975
3.54123561,0.10436000,3.57628873,0.09962025
3.57449475,0.09495000,3.59767686,0.09341772
3.56880871,0.09689000,3.58988013,0.09556962
3.59706653,0.08972000,3.61806997,0.08575949
3.52863533,0.10720000,3.55800892,0.10322785
3.52117877,0.10935000,3.56336149,0.10575949
3.54933383,0.10103000,3.57756391,0.09544304
3.56386342,0.09720000,3.59488300,0.09259494
3.57667619,0.09398000,3.59469573,0.09215190
3.53863311,0.10499000,3.56873603,0.10367089
3.55469310,0.10056000,3.58859823,0.09493671
3.54597275,0.10240000,3.56500856,0.09930380
3.57042160,0.09605000,3.59173304,0.09265823
3.55474251,0.09983000,3.57887883,0.09639241
3.57914470,0.09421000,3.60901924,0.09196203
3.55118797,0.10031000,3.59208259,0.09803797
3.56258012,0.09780000,3.59628601,0.09537975
3.58936703,0.09021000,3.62314417,0.08721519
3.57666552,0.09388000,3.60341893,0.09189873
3.56488065,0.09691000,3.59421451,0.09221519
3.55800976,0.09846000,3.58451209,0.09424051
3.56344851,0.09723000,3.59556066,0.09265823
3.58128471,0.09260000,3.60833957,0.08879747
3.57075454,0.09535000,3.61347191,0.09132911
3.56357206,0.09732000,3.59617138,0.09360759
3.60290220,0.08621000,3.62228638,0.08493671
3.57627187,0.09399000,3.60351056,0.08898734
3.58959692,0.09153000,3.63154307,0.08854430
3.57345239,0.09422000,3.61183731,0.09126582
3.55322619,0.10030000,3.59856570,0.09772152
3.55901101,0.09793000,3.59795380,0.09569620
3.54781384,0.10085000,3.60070266,0.09601266
3.56699256,0.09592000,3.60915932,0.09107595
3.57278175,0.09522000,3.60677417,0.09088608
3.58316844,0.09253000,3.60114620,0.09107595
3.56702139,0.09521000,3.60524627,0.09101266
3.56384368,0.09636000,3.60234402,0.09474684
3.57790005,0.09321000,3.61085336,0.09012658
3.57607309,0.09406000,3.60562381,0.09069620
3.56083149,0.09738000,3.58961237,0.09183544
3.55780566,0.09794000,3.58215200,0.09734177
3.56376690,0.09619000,3.59289951,0.09481013
3.57260443,0.09497000,3.61171893,0.09132911
3.56573476,0.09683000,3.59811510,0.09265823
3.54917103,0.10070000,3.60398314,0.09886076
3.58557140,0.09020000,3.63100130,0.08639241
3.61498964,0.08328000,3.66246623,0.08151899
3.57492920,0.09413000,3.60611273,0.08987342
3.57388879,0.09434000,3.59739534,0.09069620
3.57409542,0.09399000,3.60439001,0.09094937
3.58306031,0.09234000,3.61514853,0.08974684
3.56271104,0.09602000,3.60135690,0.09278481
