learning_rate: 0.01, batch_size: 50, num_epochs: 100, epsilon: 1e-08, alpha: 0.9, beta: 0.999, error(test): 1.04553384688, acc(test): 0.690379746835, time: 331.2771968841553
error(train),acc(train),error(valid),acc(valid)
3.87933423,0.02311000,3.87897144,0.02322785
1.09896387,0.64845000,1.12270163,0.64594937
1.04298470,0.66594000,1.07355795,0.66335443
1.01343687,0.67447000,1.05018535,0.67126582
1.00592009,0.67823000,1.05299545,0.67253165
0.98402009,0.68455000,1.02535854,0.67797468
0.95623192,0.69259000,1.01049946,0.68531646
0.98649773,0.68533000,1.03854718,0.67518987
0.96222701,0.69054000,1.01852380,0.68506329
0.94741924,0.69574000,1.00683999,0.68677215
0.96397128,0.68594000,1.02522438,0.67778481
0.94808274,0.69552000,1.00701621,0.68613924
0.95091338,0.69353000,1.01620355,0.68816456
0.95171188,0.69589000,1.01928673,0.68759494
0.96697107,0.68795000,1.03204928,0.67962025
0.95795143,0.69118000,1.03644777,0.68303797
0.93877264,0.69732000,1.01662632,0.68949367
0.93597967,0.69456000,1.00985052,0.68449367
0.92475304,0.69779000,1.00401330,0.68924051
0.93122209,0.70075000,1.02269500,0.68968354
0.94031010,0.69785000,1.03028823,0.68892405
0.92940511,0.69731000,1.01492154,0.69082278
0.92512247,0.70214000,1.01672826,0.69196203
0.92849586,0.69892000,1.03449677,0.68183544
0.94231565,0.69640000,1.03453136,0.68436709
0.92700760,0.70101000,1.02079346,0.68778481
0.93028006,0.70101000,1.04409422,0.68778481
0.94198908,0.69570000,1.04441630,0.68018987
0.92482113,0.70088000,1.03332983,0.68708861
0.93611304,0.69757000,1.03253833,0.68417722
0.91647300,0.70172000,1.02153572,0.68696203
0.95733705,0.69181000,1.08274197,0.67829114
0.93481134,0.69649000,1.04677842,0.68518987
0.91748521,0.70481000,1.02645234,0.68905063
0.91147944,0.70745000,1.03920739,0.69297468
0.93385517,0.70040000,1.04334874,0.68949367
0.90588140,0.70738000,1.01190814,0.69727848
0.92234422,0.70138000,1.02313470,0.69405063
0.92396300,0.70106000,1.03539750,0.68544304
0.93116727,0.70034000,1.05185557,0.68506329
0.91937864,0.70294000,1.04360456,0.69240506
0.92676962,0.69948000,1.04832516,0.68303797
0.93775524,0.69877000,1.06261289,0.68765823
0.91216409,0.70301000,1.03480053,0.68841772
0.91545706,0.70168000,1.03033313,0.68696203
0.93614493,0.70171000,1.04384093,0.69170886
0.93752558,0.69726000,1.06636773,0.67829114
0.91147877,0.70349000,1.02805234,0.69158228
0.94226540,0.69663000,1.05912259,0.68481013
0.91630029,0.69840000,1.02719629,0.68405063
0.93016101,0.69959000,1.04116108,0.68734177
0.91045177,0.70244000,1.03083963,0.68924051
0.93153275,0.70311000,1.06201662,0.68575949
0.91660586,0.70403000,1.03038277,0.69044304
0.90984554,0.70643000,1.04123642,0.68993671
0.90798436,0.70542000,1.03515692,0.68601266
0.90054080,0.70923000,1.02795734,0.69227848
0.94794436,0.69317000,1.07026239,0.67784810
0.90057973,0.70923000,1.02927985,0.69139241
0.90843522,0.70743000,1.02584989,0.69063291
0.92994223,0.70246000,1.05400279,0.68772152
0.93302122,0.69869000,1.07111942,0.68082278
0.91321742,0.70776000,1.05977218,0.68962025
0.92194626,0.70138000,1.04526358,0.68493671
0.92801278,0.70239000,1.07515944,0.68569620
0.89263351,0.70783000,1.02983651,0.69246835
0.90634813,0.70691000,1.03703131,0.69120253
0.92964953,0.70375000,1.05354935,0.69025316
0.90747550,0.70670000,1.03698925,0.69158228
0.91672399,0.70214000,1.04166633,0.68430380
0.92068122,0.70377000,1.04283752,0.69145570
0.91082641,0.70955000,1.02245062,0.68993671
0.91954810,0.70610000,1.04144849,0.69101266
0.90510199,0.70617000,1.02383807,0.69145570
0.93674413,0.69821000,1.03801473,0.68531646
0.91706379,0.70632000,1.06296307,0.68740506
0.91904753,0.70162000,1.05306272,0.68506329
0.92269980,0.70270000,1.03380387,0.68981013
0.91277611,0.70148000,1.04106763,0.68632911
0.92857974,0.70245000,1.02887354,0.68601266
0.93543326,0.70086000,1.06055003,0.68721519
0.91614484,0.70325000,1.04207168,0.68677215
0.92250207,0.70520000,1.04644115,0.69386076
0.92694737,0.70252000,1.04189671,0.69291139
0.91124748,0.70741000,1.01914790,0.69341772
0.96952260,0.68903000,1.08371572,0.67601266
0.91561494,0.70414000,1.02503481,0.68993671
0.91906468,0.70231000,1.02342334,0.68487342
0.94163379,0.70032000,1.07549862,0.68487342
0.89805074,0.70895000,1.03264122,0.69746835
0.92221193,0.70458000,1.04149464,0.68867089
0.94237790,0.69383000,1.06193676,0.68164557
0.90317741,0.70555000,1.02515393,0.69120253
0.93097334,0.69806000,1.06163803,0.68335443
0.94868000,0.69272000,1.06581082,0.68164557
0.91810844,0.70425000,1.03645719,0.68797468
0.92679514,0.69942000,1.04302117,0.68677215
0.90011581,0.70690000,1.01997187,0.69056962
0.93211697,0.69725000,1.04214725,0.68449367
0.90138377,0.70813000,1.01615843,0.69379747
0.93183957,0.70323000,1.04553386,0.69037975
