learning_rate: 0.01, batch_size: 50, num_epochs: 100, epsilon: 1e-08, beta: 0.9, error(test): 1.9179185577, acc(test): 0.524620253165, time: 304.89824199676514
error(train),acc(train),error(valid),acc(valid)
3.87933423,0.02311000,3.87897144,0.02322785
1.11943538,0.65012000,1.15583207,0.64778481
1.11816681,0.65978000,1.16440704,0.65322785
1.13818749,0.66159000,1.20443103,0.65227848
1.20598460,0.64694000,1.27509355,0.63943038
1.24920842,0.63988000,1.32977284,0.63025316
1.20764422,0.64946000,1.29867975,0.64000000
1.30154467,0.62508000,1.40249732,0.61829114
1.32008295,0.62611000,1.41639371,0.62291139
1.36414265,0.60198000,1.43097538,0.59702532
1.35394851,0.60465000,1.41694525,0.60221519
1.35442696,0.62596000,1.43600875,0.61962025
1.42856651,0.60112000,1.50136078,0.59449367
1.42252307,0.59314000,1.50402703,0.58563291
1.51025782,0.58054000,1.58109965,0.57392405
1.50655224,0.61279000,1.59436662,0.60854430
1.51092284,0.57333000,1.57032633,0.56645570
1.48590204,0.58800000,1.55360872,0.58208861
1.49781872,0.59357000,1.55576265,0.58341772
1.41097468,0.60661000,1.49750433,0.59582278
1.42057433,0.59468000,1.47835787,0.58835443
1.46521271,0.58398000,1.52617754,0.58063291
1.49270816,0.58427000,1.58327460,0.58018987
1.50896936,0.59132000,1.57029640,0.58227848
1.53797364,0.59217000,1.61801099,0.58740506
1.58023386,0.57051000,1.68746797,0.56512658
1.52897566,0.57824000,1.60096963,0.57215190
1.69216941,0.55403000,1.78777843,0.54930380
1.72157913,0.53998000,1.80302129,0.53443038
1.63300534,0.55127000,1.71268695,0.54841772
1.61934392,0.55215000,1.70405952,0.54335443
1.74675409,0.53918000,1.84421220,0.53246835
1.61758003,0.56565000,1.72455174,0.55892405
1.72855134,0.54061000,1.82237497,0.53265823
1.60085020,0.56324000,1.70833262,0.55202532
1.56767942,0.56448000,1.64967561,0.56120253
1.76427097,0.52509000,1.84980090,0.52050633
1.68182610,0.56325000,1.76966153,0.55620253
1.66175365,0.55307000,1.74640900,0.54234177
1.70616941,0.54470000,1.79087299,0.53727848
1.76437823,0.53751000,1.88373560,0.52873418
1.76884257,0.51006000,1.83358693,0.50341772
1.92650338,0.48303000,1.99921519,0.47259494
1.72207800,0.53863000,1.82844915,0.52651899
1.59752830,0.55523000,1.69768468,0.54784810
1.67584969,0.56921000,1.77308092,0.56462025
1.57051349,0.57767000,1.66988803,0.56670886
1.75414705,0.50461000,1.84168355,0.49721519
1.68220631,0.55143000,1.76272869,0.54367089
1.73041801,0.55390000,1.84846076,0.54829114
1.68232042,0.55010000,1.79483720,0.54556962
1.81547680,0.52772000,1.89758122,0.52088608
1.68840506,0.54791000,1.75875186,0.53987342
1.59208197,0.56972000,1.69212695,0.56139241
1.66521280,0.55885000,1.77231007,0.55436709
1.64756168,0.54414000,1.74828590,0.53259494
1.66847529,0.55833000,1.75393964,0.55335443
1.71697843,0.55238000,1.79399554,0.54500000
1.57736263,0.57313000,1.67012189,0.56417722
1.70999460,0.54986000,1.81868733,0.54588608
1.74045831,0.53740000,1.83394642,0.53354430
1.81642047,0.52890000,1.91909270,0.52272152
1.63053076,0.58398000,1.74197172,0.57835443
1.62502374,0.57616000,1.73178093,0.57436709
1.60247845,0.57837000,1.71125689,0.57500000
1.68005229,0.54773000,1.79965686,0.53620253
1.63029403,0.57465000,1.74758627,0.56215190
1.63601931,0.56832000,1.74997502,0.55993671
1.64357879,0.56217000,1.75556837,0.55525316
1.65647696,0.53101000,1.72244829,0.53139241
1.56484355,0.57857000,1.65776988,0.57240506
1.58954098,0.57100000,1.69047483,0.55930380
1.63282145,0.56088000,1.73681765,0.55626582
1.66593728,0.54437000,1.74960408,0.54189873
1.55063145,0.57374000,1.64482980,0.56518987
1.61404577,0.55235000,1.70264504,0.54183544
1.60812463,0.56022000,1.71392027,0.55132911
1.67712471,0.56747000,1.78401362,0.55924051
1.59983678,0.55748000,1.70422461,0.54683544
1.60857459,0.57609000,1.72239678,0.56613924
1.60282034,0.56812000,1.72600302,0.56500000
1.69702418,0.55200000,1.82388784,0.54012658
1.98103715,0.45369000,2.05904982,0.45367089
1.73713457,0.53992000,1.83096917,0.53006329
1.57099840,0.57214000,1.68273120,0.56164557
1.72428991,0.56233000,1.81881975,0.55411392
1.56100654,0.56569000,1.67444082,0.55246835
1.67092488,0.55573000,1.79787444,0.54310127
1.65534974,0.55612000,1.78034029,0.54708861
1.77969453,0.49885000,1.88510363,0.48917722
1.61206063,0.57455000,1.75420949,0.56784810
1.66798729,0.53806000,1.78512375,0.53120253
1.62150683,0.55722000,1.71435178,0.55430380
1.89896269,0.49224000,2.00629709,0.48746835
1.77824962,0.53387000,1.89789013,0.52734177
1.73456912,0.53330000,1.87019235,0.52512658
1.80755390,0.51283000,1.98448510,0.50398734
1.84374992,0.51806000,2.01714091,0.51063291
1.90103102,0.49587000,2.05631492,0.48816456
1.74462391,0.51959000,1.85790940,0.51303797
1.77017211,0.52812000,1.91791857,0.52462025
