learning_rate: 0.01, batch_size: 50, num_epochs: 100, epsilon: 1e-08, alpha: 0.9, beta: 0.999, l2_coeff: 0.01, error(test): 1.27840410635, acc(test): 0.611329113924, time: 542.5325787067413
error(train),acc(train),error(valid),acc(valid)
6.02124948,0.02716000,5.98994126,0.02746835
1.36992028,0.57566000,1.38329064,0.57246835
1.39795658,0.57864000,1.40033221,0.57860759
1.31310970,0.60093000,1.32628386,0.59481013
1.41835828,0.56683000,1.43139700,0.56582278
1.36398327,0.58887000,1.37956796,0.58348101
1.29522005,0.60175000,1.30854582,0.59031646
1.31196486,0.59795000,1.31770331,0.59373418
1.30305297,0.59927000,1.31621721,0.59626582
1.33450071,0.59503000,1.35158108,0.58430380
1.34938004,0.59448000,1.35938349,0.59284810
1.29662524,0.60085000,1.30486994,0.60196203
1.33612188,0.59808000,1.35244474,0.59170886
1.31573450,0.59417000,1.32310323,0.58873418
1.27075876,0.62220000,1.29196118,0.61310127
1.36392603,0.58108000,1.37978327,0.57746835
1.31339153,0.60099000,1.32298795,0.59607595
1.29853420,0.60806000,1.30846942,0.60537975
1.29105132,0.60223000,1.30432667,0.59721519
1.24854356,0.61512000,1.25618842,0.61265823
1.29507823,0.61425000,1.30728102,0.60753165
1.30495501,0.59765000,1.31478194,0.59569620
1.32176456,0.59986000,1.33619087,0.59278481
1.31530286,0.60120000,1.32319652,0.60360759
1.35668390,0.59430000,1.35946346,0.59246835
1.35394346,0.58728000,1.36594437,0.58354430
1.33259601,0.59338000,1.33960149,0.58962025
1.34800754,0.59457000,1.35888450,0.59088608
1.26923138,0.61412000,1.27965746,0.60867089
1.35899724,0.59059000,1.37533163,0.58911392
1.33124752,0.59220000,1.34479830,0.59044304
1.31854806,0.60016000,1.32562299,0.59588608
1.22151268,0.62698000,1.23400443,0.61987342
1.32769480,0.59683000,1.34483738,0.59455696
1.36017067,0.59104000,1.37538542,0.58873418
1.28936743,0.61083000,1.28307009,0.61183544
1.33842174,0.59600000,1.35235541,0.58651899
1.28587818,0.61478000,1.29987363,0.60525316
1.27529515,0.61247000,1.28504497,0.60727848
1.25282236,0.62104000,1.27184578,0.61253165
1.27568410,0.60824000,1.28113377,0.60784810
1.38303343,0.58471000,1.39248063,0.58316456
1.30359323,0.60287000,1.30962226,0.60012658
1.37657024,0.57164000,1.39209994,0.56981013
1.31852518,0.59165000,1.32140854,0.58854430
1.27471883,0.61739000,1.28281332,0.61284810
1.35975670,0.59292000,1.36597008,0.58968354
1.29018332,0.60598000,1.29608692,0.60341772
1.30060518,0.60508000,1.30878824,0.60531646
1.37228166,0.58836000,1.37371400,0.58772152
1.23025591,0.62687000,1.23830889,0.62088608
1.34597604,0.59458000,1.35422375,0.59069620
1.25224393,0.61572000,1.25526990,0.61430380
1.35355816,0.59417000,1.36490168,0.58968354
1.26767429,0.61488000,1.28239441,0.60658228
1.29348599,0.60541000,1.30569740,0.60234177
1.34334747,0.60149000,1.36184667,0.59430380
1.26268845,0.60925000,1.27525018,0.60639241
1.22813856,0.63289000,1.23712129,0.63056962
1.27406202,0.61187000,1.28200941,0.61056962
1.30868786,0.59327000,1.30848507,0.59835443
1.34923101,0.59823000,1.35254718,0.59727848
1.31314105,0.60102000,1.31972838,0.59746835
1.34649598,0.59256000,1.36354441,0.58601266
1.34267006,0.59419000,1.34197989,0.59316456
1.28242294,0.61365000,1.28508735,0.60734177
1.32089425,0.59863000,1.31807044,0.59525316
1.29672029,0.60688000,1.30739020,0.60297468
1.32273202,0.59046000,1.33332101,0.58835443
1.34818848,0.58661000,1.36003507,0.58436709
1.30234730,0.60513000,1.31575167,0.59816456
1.33975458,0.59417000,1.34683325,0.59132911
1.32249425,0.59777000,1.34186991,0.58683544
1.27409087,0.60975000,1.28889463,0.59968354
1.33692932,0.58881000,1.33872431,0.58405063
1.38376524,0.58522000,1.40675967,0.57765823
1.30325618,0.60555000,1.30561754,0.60360759
1.28632701,0.61151000,1.28395893,0.61284810
1.23482699,0.62104000,1.25385058,0.61367089
1.40351472,0.57512000,1.40720302,0.57449367
1.31749679,0.59250000,1.33155750,0.59075949
1.31097792,0.60022000,1.32206131,0.59367089
1.34773614,0.59072000,1.35629116,0.58759494
1.39644369,0.57786000,1.40981980,0.57094937
1.35013128,0.59103000,1.36153882,0.58689873
1.27509613,0.60788000,1.28921985,0.60683544
1.29293853,0.60664000,1.30411082,0.60746835
1.24068428,0.61502000,1.24518051,0.60873418
1.33694032,0.59635000,1.34905866,0.59227848
1.25951125,0.61596000,1.27375941,0.60854430
1.36193581,0.58259000,1.37186841,0.58025316
1.34372857,0.59371000,1.35831359,0.59006329
1.31173673,0.60044000,1.33273217,0.59006329
1.30861973,0.60035000,1.32704248,0.59145570
1.34117793,0.58316000,1.35326310,0.57765823
1.36081548,0.58709000,1.37366573,0.58164557
1.40857145,0.57987000,1.41789700,0.57981013
1.29340438,0.61009000,1.29814457,0.60765823
1.29666525,0.59782000,1.30492213,0.59335443
1.34573770,0.59093000,1.35431135,0.59259494
1.27135392,0.61823000,1.27840415,0.61132911
