learning_rate: 0.01, batch_size: 50, num_epochs: 100, epsilon: 1e-08, beta: 0.9, l2_coeff: 0.01, error(test): 1.5917829589, acc(test): 0.525632911392, time: 486.2392358779907
error(train),acc(train),error(valid),acc(valid)
6.02124948,0.02716000,5.98994126,0.02746835
1.63303579,0.51269000,1.64002557,0.51164557
1.45643945,0.55531000,1.46460465,0.55126582
1.47231400,0.56469000,1.48154749,0.56145570
1.41467342,0.56828000,1.43146408,0.56316456
1.32123786,0.59584000,1.32496404,0.59803797
1.37218672,0.57926000,1.37410111,0.58088608
1.40074164,0.56444000,1.40685303,0.56265823
1.32244586,0.58472000,1.31677835,0.58892405
1.41403317,0.56999000,1.42206059,0.56481013
1.47738416,0.55340000,1.48120992,0.55316456
1.38111249,0.58703000,1.38878114,0.58392405
1.77644049,0.48764000,1.79037491,0.48253165
1.43404300,0.56652000,1.43773700,0.56474684
1.32925234,0.60595000,1.33131101,0.59892405
1.41414800,0.57353000,1.42058802,0.57037975
1.40982907,0.57745000,1.41100503,0.57708861
1.57512620,0.52478000,1.57435186,0.52278481
1.39060484,0.57507000,1.41390661,0.56715190
1.61087496,0.51067000,1.62149261,0.50886076
1.70097936,0.49830000,1.70683132,0.49525316
1.56190476,0.52792000,1.58027851,0.52063291
1.65860499,0.50168000,1.68160822,0.49455696
1.47428865,0.55895000,1.48454160,0.56234177
1.55930599,0.53438000,1.56965517,0.53272152
1.73520892,0.47548000,1.75169777,0.47037975
1.62839529,0.50432000,1.62721602,0.50436709
1.53523882,0.54011000,1.53775303,0.54120253
1.59014455,0.53497000,1.60095561,0.53588608
1.41405193,0.57691000,1.43530964,0.57240506
1.45137670,0.55927000,1.45010777,0.55715190
1.51558533,0.54167000,1.50727813,0.54462025
1.54921608,0.53327000,1.56769454,0.52905063
1.54505443,0.53942000,1.55307514,0.53702532
1.84968374,0.46412000,1.86490106,0.45917722
1.64556454,0.51146000,1.65207212,0.50493671
1.40232247,0.57968000,1.41770245,0.57607595
1.52422606,0.53771000,1.54081668,0.52993671
1.36704409,0.58666000,1.38945433,0.58164557
1.55190998,0.54005000,1.56502191,0.53797468
1.31405263,0.60440000,1.32510570,0.60405063
1.55488329,0.52496000,1.57606797,0.52050633
1.41271409,0.57226000,1.42711081,0.56822785
1.83614002,0.47993000,1.85432114,0.47575949
1.36800581,0.57727000,1.36627670,0.57936709
1.57671476,0.53488000,1.58770612,0.53050633
1.43474736,0.56810000,1.43989443,0.56734177
1.51827116,0.54142000,1.53425746,0.53601266
1.62304633,0.51484000,1.63339240,0.50949367
1.43310538,0.57001000,1.44180285,0.56550633
1.39605347,0.56750000,1.39909742,0.56170886
1.52708087,0.54889000,1.53736387,0.54696203
1.60505768,0.52099000,1.62309329,0.52037975
1.35848824,0.58845000,1.36111671,0.58715190
1.38123254,0.57718000,1.39475538,0.57335443
1.54457476,0.53507000,1.56232774,0.53177215
1.76580784,0.48840000,1.76863413,0.48525316
1.74115370,0.47946000,1.75686439,0.47297468
1.34249969,0.59055000,1.35556399,0.59000000
1.39950504,0.57040000,1.40474397,0.56822785
1.54063097,0.54204000,1.55633970,0.53506329
1.61901176,0.51719000,1.62382275,0.51284810
1.42166429,0.57365000,1.43144389,0.57120253
1.68698926,0.50691000,1.69908034,0.50424051
1.43525944,0.56468000,1.45673427,0.55867089
1.46705619,0.55718000,1.46783125,0.55575949
1.48652507,0.55486000,1.48550508,0.55417722
1.47356487,0.56448000,1.48791473,0.55645570
1.52125553,0.54669000,1.52960531,0.54582278
1.47385508,0.54953000,1.48126065,0.54702532
1.56982156,0.52384000,1.57153085,0.52246835
1.54284696,0.54109000,1.55274891,0.53987342
1.41407317,0.57675000,1.42258009,0.57696203
1.50976945,0.55314000,1.52349491,0.54708861
1.32877486,0.59451000,1.33136055,0.59158228
1.49977907,0.54816000,1.52180751,0.54468354
1.53999352,0.54204000,1.55732281,0.53500000
1.54296709,0.53226000,1.54766882,0.52886076
1.59150956,0.51817000,1.60837966,0.50955696
1.74823489,0.47720000,1.76005414,0.47835443
1.38416846,0.58149000,1.39078737,0.58202532
1.48801745,0.54955000,1.48550158,0.55151899
1.45515271,0.55973000,1.45412798,0.55829114
1.57905906,0.53850000,1.59321389,0.53310127
1.36657349,0.58646000,1.37721724,0.58335443
1.58624785,0.52176000,1.59739876,0.51791139
1.55593604,0.52873000,1.58154826,0.52392405
1.36688724,0.58361000,1.35891354,0.58487342
1.63178130,0.51352000,1.62899015,0.50898734
1.61383882,0.52348000,1.63049524,0.52088608
1.46964923,0.55926000,1.48566265,0.55322785
1.44970334,0.56235000,1.46073364,0.56056962
1.38893749,0.58397000,1.39857973,0.58132911
1.43395183,0.58286000,1.44413458,0.57962025
1.67046682,0.50821000,1.67922615,0.50974684
1.38438434,0.58977000,1.39427800,0.58651899
1.29872819,0.59688000,1.29533544,0.59860759
1.48144314,0.55411000,1.47850393,0.55367089
1.42840606,0.56977000,1.44655163,0.56436709
1.72493857,0.49763000,1.72733780,0.49949367
1.58920855,0.52567000,1.59178261,0.52563291
