learning_rate: 0.001, dropout_prob: 0.5, batch_size: 50, num_epochs: 100, error(test): 2.99402793684, acc(test): 0.287025316456
error(train),acc(train),error(valid),acc(valid)
4.83461775,0.02645000,4.83389775,0.02575949
4.25734766,0.08652000,4.25806016,0.08702532
3.98616175,0.12006000,3.98631125,0.11702532
3.83280281,0.13964000,3.82693944,0.13962025
3.73803335,0.15330000,3.73287141,0.15632911
3.67081516,0.16573000,3.66105288,0.16715190
3.62400702,0.17245000,3.61272632,0.17601266
3.58377864,0.17791000,3.57654858,0.18037975
3.54923173,0.18433000,3.53766991,0.18556962
3.52039948,0.18866000,3.51088616,0.19177215
3.49603608,0.19248000,3.48809775,0.19563291
3.47155307,0.19761000,3.46229897,0.19696203
3.44956455,0.20146000,3.44038033,0.20272152
3.42958994,0.20524000,3.42362774,0.20537975
3.41328437,0.20740000,3.40593656,0.20689873
3.39605562,0.21074000,3.38652513,0.21373418
3.38066650,0.21298000,3.36968518,0.21500000
3.36705117,0.21576000,3.35849867,0.21626582
3.35340721,0.21785000,3.34514928,0.21658228
3.34154396,0.22040000,3.33412404,0.22101266
3.33025279,0.22205000,3.32083654,0.22284810
3.31773403,0.22432000,3.30855899,0.22594937
3.30658325,0.22637000,3.30209448,0.22424051
3.29829928,0.22684000,3.29494075,0.22607595
3.28661758,0.22999000,3.27455558,0.23031646
3.27691205,0.23222000,3.27208241,0.23082278
3.26853868,0.23295000,3.26207467,0.23177215
3.26035109,0.23452000,3.25629629,0.23575949
3.25115988,0.23601000,3.24424738,0.23715190
3.24341774,0.23647000,3.24092087,0.23550633
3.23589622,0.23901000,3.23493544,0.23575949
3.22895454,0.24007000,3.22689032,0.23740506
3.22164449,0.24139000,3.21490413,0.23955696
3.21449386,0.24279000,3.21075737,0.23981013
3.20876801,0.24283000,3.20188960,0.24322785
3.20123056,0.24508000,3.20031234,0.24221519
3.19580450,0.24544000,3.19105796,0.24683544
3.18896800,0.24684000,3.18622302,0.24556962
3.18327557,0.24791000,3.17998285,0.24575949
3.17804272,0.24865000,3.17372836,0.24930380
3.17325776,0.24978000,3.16715179,0.24772152
3.16777123,0.24986000,3.16353277,0.24753165
3.16215532,0.25141000,3.15688594,0.24708861
3.15754301,0.25188000,3.15439479,0.24968354
3.15229155,0.25379000,3.14652983,0.25202532
3.14695491,0.25460000,3.14655149,0.25012658
3.14114951,0.25496000,3.13743166,0.25259494
3.14014193,0.25558000,3.13803546,0.25291139
3.13360246,0.25692000,3.13060436,0.25411392
3.13057572,0.25826000,3.13333825,0.25341772
3.12590213,0.25904000,3.12427627,0.25601266
3.12357325,0.25846000,3.12023385,0.25696203
3.11941763,0.25982000,3.11734425,0.25746835
3.11370671,0.26101000,3.11174987,0.25721519
3.11219645,0.26059000,3.11045217,0.25905063
3.10756224,0.26206000,3.10416111,0.26202532
3.10395620,0.26156000,3.10352020,0.26006329
3.10098039,0.26410000,3.09987206,0.26132911
3.09699512,0.26494000,3.09128805,0.26151899
3.09458194,0.26544000,3.09143733,0.26082278
3.09152101,0.26500000,3.08920966,0.26177215
3.08865901,0.26604000,3.08238145,0.26500000
3.08372875,0.26592000,3.08685232,0.26354430
3.08322676,0.26720000,3.07586621,0.26715190
3.07813469,0.26842000,3.07543732,0.26500000
3.07587743,0.26805000,3.06964163,0.26721519
3.07147538,0.26996000,3.07106786,0.26727848
3.06995465,0.27037000,3.06801867,0.26734177
3.06569740,0.27130000,3.06448727,0.26645570
3.06342214,0.27130000,3.06286921,0.26772152
3.06220140,0.27211000,3.05783577,0.26797468
3.06072375,0.27257000,3.05760695,0.26854430
3.05723680,0.27288000,3.05096651,0.27240506
3.05344460,0.27301000,3.05260598,0.27392405
3.05036077,0.27355000,3.05151125,0.27234177
3.05082637,0.27457000,3.04876428,0.27044304
3.04738126,0.27617000,3.04823860,0.27088608
3.04420692,0.27604000,3.04312412,0.27594937
3.04240971,0.27752000,3.04084509,0.27398734
3.03992984,0.27680000,3.03881470,0.27379747
3.03730360,0.27815000,3.03915308,0.27518987
3.03521345,0.27817000,3.03257713,0.27734177
3.03458564,0.27925000,3.03015400,0.27588608
3.03302359,0.27843000,3.02788830,0.27493671
3.02968012,0.27943000,3.02868541,0.27727848
3.02519123,0.28088000,3.02673890,0.27759494
3.02497992,0.28090000,3.02238185,0.27829114
3.02296732,0.28093000,3.02422351,0.27620253
3.01957260,0.28235000,3.02165837,0.27765823
3.01863463,0.28242000,3.01689795,0.27867089
3.01557820,0.28291000,3.01492237,0.28158228
3.01353922,0.28336000,3.01297509,0.28221519
3.01241374,0.28334000,3.01163877,0.28360759
3.01229625,0.28406000,3.00858291,0.28107595
3.00877301,0.28568000,3.00765673,0.28227848
3.00748686,0.28496000,3.00895138,0.28170886
3.00523509,0.28459000,3.00573095,0.28284810
3.00256185,0.28419000,3.00507702,0.28196203
3.00120363,0.28623000,2.99481135,0.28778481
3.00066448,0.28724000,2.99691117,0.28493671
2.99663337,0.28721000,2.99417424,0.28512658
