learning_rate: 0.1, batch_size: 50, num_epochs: 100, dropout_prob: 0.5, error(test): 2.65135027552, acc(test): 0.381582278481, time: 662.2059128284454
error(train),acc(train),error(valid),acc(valid)
4.97067501,0.02224000,4.96712955,0.02170886
3.25336798,0.21177000,3.22767717,0.21126582
3.12366866,0.24055000,3.10229657,0.24202532
3.05138743,0.25752000,3.02747104,0.25645570
3.00511281,0.27865000,2.98135945,0.27867089
2.97050243,0.28903000,2.94725935,0.28721519
2.93633835,0.29871000,2.91783360,0.29879747
2.91429766,0.30376000,2.89243118,0.30221519
2.89439109,0.30995000,2.87041271,0.31075949
2.87877003,0.31399000,2.85189045,0.31405063
2.86663546,0.31761000,2.84457900,0.32075949
2.85590460,0.32522000,2.83852726,0.32417722
2.84634309,0.32372000,2.82825671,0.32373418
2.82969745,0.32890000,2.81132336,0.32715190
2.82910257,0.33145000,2.80628346,0.33126582
2.81549760,0.33576000,2.79380437,0.33493671
2.81086103,0.33523000,2.78390827,0.33905063
2.79634828,0.33730000,2.77271646,0.33626582
2.79668179,0.33718000,2.77489251,0.33784810
2.78932179,0.34412000,2.76083528,0.34955696
2.78569467,0.34525000,2.76503967,0.34310127
2.77493451,0.34561000,2.75709547,0.34284810
2.77589308,0.34786000,2.75245427,0.34531646
2.77027542,0.35123000,2.75452251,0.34962025
2.76536704,0.34883000,2.73697415,0.35278481
2.76373164,0.35052000,2.74732325,0.34810127
2.75512609,0.35413000,2.72892415,0.35563291
2.75512009,0.35359000,2.73682853,0.35544304
2.75220591,0.35586000,2.73698843,0.35740506
2.75038680,0.35850000,2.73079205,0.35867089
2.74482157,0.35851000,2.72604612,0.36000000
2.74219772,0.35963000,2.72510132,0.35639241
2.74172816,0.35892000,2.72151242,0.36132911
2.73695597,0.36129000,2.71252701,0.36405063
2.73653054,0.35815000,2.70705661,0.35993671
2.73010093,0.35957000,2.71801456,0.35924051
2.73153356,0.36387000,2.70826467,0.36284810
2.73014254,0.36368000,2.70985794,0.36253165
2.72928952,0.36364000,2.70574423,0.36335443
2.72583636,0.36426000,2.71479014,0.36006329
2.72165925,0.36827000,2.69800266,0.37056962
2.72316829,0.36176000,2.69863326,0.36227848
2.71821828,0.36954000,2.69485882,0.37056962
2.72138353,0.36641000,2.69859038,0.36943038
2.71577954,0.36585000,2.69720537,0.36474684
2.71318002,0.36787000,2.69539676,0.36487342
2.70872760,0.37210000,2.68958356,0.37310127
2.71222802,0.36954000,2.68992088,0.37094937
2.70662663,0.36754000,2.68339929,0.36911392
2.70151191,0.37363000,2.68472614,0.37601266
2.70800524,0.36664000,2.68711021,0.36537975
2.70463504,0.37227000,2.68596506,0.36898734
2.70697574,0.37136000,2.68776278,0.36835443
2.69968072,0.37301000,2.67999303,0.37227848
2.70138348,0.37478000,2.68241829,0.37645570
2.70188668,0.37309000,2.67747457,0.37316456
2.69845742,0.37327000,2.67208560,0.37348101
2.69826621,0.37438000,2.68028143,0.37392405
2.69490572,0.37432000,2.67276128,0.37715190
2.69497779,0.37264000,2.67671504,0.37645570
2.69803739,0.37535000,2.67332567,0.37594937
2.69234730,0.37540000,2.67026213,0.37987342
2.69232051,0.37539000,2.68049688,0.37240506
2.69361047,0.37435000,2.66793003,0.37867089
2.68819921,0.37577000,2.67043242,0.37898734
2.68982222,0.37543000,2.67430759,0.37689873
2.68672157,0.37720000,2.66647995,0.37531646
2.69043342,0.37828000,2.66584476,0.38189873
2.68524317,0.37678000,2.66292090,0.37778481
2.68611102,0.37912000,2.66518752,0.37816456
2.68335169,0.37722000,2.66138893,0.38075949
2.69215023,0.37615000,2.67296196,0.37892405
2.68611715,0.37582000,2.66259317,0.37936709
2.67966852,0.37910000,2.66674670,0.37715190
2.68218655,0.38018000,2.66754123,0.37715190
2.68192987,0.37981000,2.66519914,0.37905063
2.68175391,0.37775000,2.66636996,0.37677215
2.68276993,0.38055000,2.66074069,0.38075949
2.68193867,0.37848000,2.66594194,0.37734177
2.67814042,0.37973000,2.66002783,0.38234177
2.67672748,0.38004000,2.65907393,0.38088608
2.67995688,0.38038000,2.66284657,0.37759494
2.67952081,0.37830000,2.65982393,0.37803797
2.67998135,0.37607000,2.65552047,0.38000000
2.68019790,0.38154000,2.66816372,0.38107595
2.67394015,0.38221000,2.65591208,0.38227848
2.67787399,0.37733000,2.65689162,0.38075949
2.67707654,0.37980000,2.65330622,0.38151899
2.67506231,0.38121000,2.65900766,0.37670886
2.67362281,0.38101000,2.65274700,0.38335443
2.67178564,0.38241000,2.65868708,0.37987342
2.66990215,0.38144000,2.64709429,0.38221519
2.67150603,0.38331000,2.65316161,0.38094937
2.67366174,0.38039000,2.64898260,0.38436709
2.66896891,0.38299000,2.65103157,0.38284810
2.67275164,0.38402000,2.65668332,0.38506329
2.67074827,0.38315000,2.65018845,0.38443038
2.67129883,0.38136000,2.65034706,0.38240506
2.67037514,0.38216000,2.64306767,0.38487342
2.67026615,0.38192000,2.64948502,0.38202532
2.66977294,0.38310000,2.64603799,0.38348101
