learning_rate: 0.1, batch_size: 50, num_epochs: 100, error(test): 2.58041547232, acc(test): 0.378291139241, time: 396.05350732803345
error(train),acc(train),error(valid),acc(valid)
4.82287475,0.02247000,4.82731324,0.02075949
2.95726556,0.29142000,2.98564359,0.28594937
2.85954949,0.31441000,2.88191266,0.30974684
2.80962190,0.32492000,2.83448176,0.32031646
2.78092966,0.32894000,2.81567968,0.32411392
2.75431737,0.33464000,2.78606086,0.33037975
2.73197308,0.34175000,2.75768355,0.33727848
2.72082106,0.34386000,2.74322770,0.33886076
2.70910947,0.34640000,2.72903847,0.34006329
2.70402890,0.34925000,2.72997336,0.34588608
2.69099286,0.35021000,2.72101265,0.34031646
2.68264514,0.35260000,2.71860276,0.34474684
2.66938446,0.35537000,2.70779735,0.34715190
2.67239243,0.35072000,2.69878110,0.34537975
2.65690724,0.35893000,2.69471319,0.35113924
2.65401957,0.35979000,2.68930566,0.35037975
2.64954367,0.36126000,2.68194983,0.35436709
2.64255637,0.36109000,2.67633181,0.35487342
2.64422877,0.35953000,2.66768663,0.35531646
2.63662541,0.36279000,2.66969019,0.35721519
2.63483106,0.36396000,2.67329702,0.35462025
2.63198845,0.36718000,2.66233307,0.35734177
2.62544664,0.36500000,2.65269789,0.36000000
2.62610757,0.36693000,2.66003730,0.35930380
2.61860728,0.36964000,2.64871097,0.36620253
2.61669487,0.36750000,2.63946002,0.36373418
2.61516037,0.36673000,2.64524048,0.35993671
2.61365631,0.36919000,2.65188291,0.35727848
2.60484677,0.37232000,2.63710264,0.36449367
2.60365075,0.37045000,2.63811793,0.36297468
2.60474894,0.37097000,2.64190234,0.35797468
2.60318064,0.36800000,2.63872140,0.35639241
2.60649606,0.36897000,2.63683982,0.36398734
2.60103686,0.37176000,2.63746892,0.36316456
2.59680726,0.37184000,2.63814541,0.36113924
2.59648276,0.37096000,2.63679938,0.36044304
2.59668772,0.37091000,2.62538697,0.36056962
2.59336886,0.37238000,2.62516316,0.36462025
2.59397828,0.37163000,2.62774853,0.36348101
2.58686189,0.37292000,2.61868864,0.36594937
2.59123371,0.37410000,2.61826242,0.37012658
2.58563133,0.37394000,2.61559737,0.36474684
2.57853173,0.37688000,2.60411748,0.37151899
2.58264902,0.37520000,2.62127718,0.36607595
2.58577296,0.37394000,2.62092455,0.36443038
2.57894069,0.37834000,2.61944632,0.36892405
2.58015610,0.37561000,2.60683738,0.36696203
2.57999429,0.37340000,2.60326650,0.36797468
2.57831228,0.37476000,2.61650664,0.36715190
2.57357273,0.37720000,2.60157442,0.37240506
2.57292644,0.37673000,2.60258262,0.37018987
2.57876908,0.37575000,2.60919978,0.37006329
2.57156541,0.37716000,2.60732201,0.37082278
2.56710516,0.38011000,2.59781547,0.37411392
2.57222753,0.37667000,2.60455629,0.36886076
2.56714487,0.37870000,2.60606016,0.36841772
2.56880585,0.37914000,2.60694043,0.37132911
2.56638143,0.37751000,2.60378722,0.36613924
2.56421023,0.37950000,2.59355031,0.37411392
2.56389002,0.37669000,2.60880785,0.36215190
2.56628976,0.37802000,2.59887987,0.37082278
2.56631510,0.37528000,2.60574898,0.36481013
2.56473792,0.37891000,2.59445198,0.37018987
2.56412448,0.37998000,2.59492944,0.37436709
2.56139797,0.37838000,2.59190294,0.37031646
2.56082941,0.37715000,2.59794158,0.37037975
2.56036811,0.37758000,2.58867454,0.37278481
2.55872517,0.37946000,2.59247872,0.36993671
2.55630211,0.38058000,2.59032052,0.37183544
2.55780841,0.37887000,2.59198312,0.37069620
2.55550797,0.37996000,2.58870108,0.37341772
2.55855680,0.37897000,2.59365437,0.36575949
2.55569975,0.38035000,2.58887211,0.37158228
2.55533859,0.38215000,2.59421645,0.37322785
2.55413084,0.38117000,2.59514092,0.36993671
2.55289323,0.38239000,2.58831655,0.37367089
2.55157931,0.38183000,2.59149174,0.37183544
2.55434896,0.37891000,2.58743934,0.37183544
2.55076356,0.38216000,2.58895466,0.37107595
2.54949405,0.38123000,2.59065762,0.37291139
2.54733490,0.38298000,2.57275140,0.37974684
2.55115339,0.38118000,2.57568304,0.37373418
2.54782612,0.38309000,2.59018555,0.36962025
2.54500981,0.38184000,2.58944906,0.37221519
2.54984464,0.38023000,2.58087456,0.37234177
2.54755475,0.38372000,2.59028973,0.37424051
2.54795255,0.38270000,2.57846765,0.37772152
2.54533369,0.38330000,2.57801172,0.37481013
2.54459176,0.38319000,2.57871876,0.37310127
2.54508376,0.38129000,2.58448697,0.37335443
2.55089206,0.38423000,2.59003187,0.37816456
2.54691909,0.38433000,2.58098644,0.37474684
2.54964847,0.38118000,2.58429229,0.37145570
2.54583033,0.38381000,2.57872768,0.37455696
2.53736241,0.38768000,2.58499146,0.37392405
2.54298754,0.38380000,2.57768368,0.37411392
2.54306231,0.38402000,2.57964420,0.37569620
2.54215481,0.38381000,2.57562073,0.37797468
2.54400237,0.38219000,2.57890759,0.37405063
2.53585430,0.38616000,2.57271680,0.37816456
2.54214860,0.38470000,2.57621828,0.38113924
