learning_rate: 0.1, batch_size: 50, num_epochs: 100, l2_coeff: 0.01, error(test): 2.51011032532, acc(test): 0.427151898734, time: 626.469619512558
error(train),acc(train),error(valid),acc(valid)
4.82193654,0.01797000,4.80890849,0.01740506
2.62628034,0.39683000,2.62374265,0.39639241
2.56946170,0.40999000,2.57063765,0.40949367
2.56071905,0.40942000,2.57528306,0.40639241
2.54161123,0.42564000,2.56355236,0.42234177
2.58017205,0.41874000,2.58666892,0.41645570
2.54264306,0.41741000,2.55520340,0.41829114
2.52842031,0.42138000,2.53895671,0.42139241
2.53348510,0.42249000,2.54324628,0.42405063
2.54558628,0.42814000,2.55153082,0.42373418
2.54655842,0.42679000,2.55463619,0.42234177
2.53747955,0.42105000,2.55607459,0.41531646
2.54787866,0.41965000,2.55831546,0.41632911
2.53402842,0.42460000,2.54195434,0.42430380
2.54128117,0.42949000,2.55334976,0.42943038
2.56333225,0.41317000,2.57533224,0.41094937
2.54025874,0.42806000,2.55287658,0.42556962
2.52834223,0.42582000,2.54214219,0.42215190
2.53222138,0.43093000,2.54458496,0.42917722
2.53997745,0.42325000,2.54554121,0.42455696
2.53819590,0.42945000,2.55730964,0.42322785
2.53122967,0.42315000,2.54234561,0.41753165
2.54105002,0.41503000,2.55587657,0.41202532
2.51864890,0.43350000,2.52581496,0.43348101
2.52303935,0.42559000,2.53544033,0.42259494
2.51861575,0.42129000,2.52590779,0.41784810
2.54088615,0.41382000,2.55271597,0.41455696
2.52544720,0.43140000,2.53116982,0.42974684
2.51603617,0.42971000,2.52557587,0.42462025
2.53783155,0.42195000,2.55037190,0.41816456
2.53070635,0.42663000,2.54700267,0.42386076
2.53990940,0.43448000,2.55166569,0.42715190
2.52486541,0.42869000,2.53838608,0.42860759
2.51883557,0.43080000,2.52570439,0.43006329
2.49930452,0.42948000,2.52105592,0.42379747
2.52741922,0.42683000,2.54416834,0.42126582
2.51485661,0.43040000,2.52788944,0.42765823
2.55738980,0.42733000,2.56689723,0.42208861
2.52777597,0.43962000,2.53619484,0.43727848
2.54569972,0.42548000,2.55499526,0.42405063
2.52244370,0.43317000,2.53190631,0.42702532
2.53893553,0.41661000,2.55555038,0.41702532
2.49503464,0.42658000,2.51249003,0.42430380
2.52459535,0.42501000,2.53531991,0.42588608
2.51940103,0.43137000,2.52813528,0.42715190
2.51866437,0.43628000,2.52980407,0.43455696
2.52905461,0.42675000,2.53535263,0.42613924
2.52904588,0.42557000,2.55429102,0.41797468
2.49744542,0.43009000,2.50934380,0.42860759
2.51988282,0.42980000,2.53337490,0.42493671
2.52853135,0.42522000,2.53773308,0.42012658
2.51347872,0.44426000,2.52603631,0.44082278
2.51537356,0.44107000,2.52651833,0.43917722
2.50288021,0.43386000,2.51235872,0.43189873
2.51925194,0.41759000,2.53352488,0.41531646
2.53643905,0.42276000,2.55651358,0.41791139
2.51759072,0.43583000,2.52563320,0.43196203
2.52377682,0.42729000,2.54451276,0.42335443
2.52080015,0.42719000,2.53716733,0.42196203
2.51292424,0.43310000,2.52794837,0.43120253
2.53281842,0.42504000,2.54595549,0.42310127
2.52299639,0.43169000,2.52852266,0.42405063
2.52230017,0.43385000,2.53669672,0.42575949
2.51107624,0.43121000,2.52205924,0.43006329
2.51119923,0.42561000,2.52683759,0.42373418
2.51616175,0.42906000,2.52849045,0.42993671
2.50656050,0.43160000,2.51452550,0.42974684
2.53363824,0.42567000,2.53786880,0.42443038
2.49989455,0.43726000,2.51689481,0.43386076
2.53887596,0.42714000,2.54528560,0.42974684
2.51582615,0.42277000,2.53303221,0.41822785
2.49844309,0.43842000,2.51342403,0.43474684
2.52236568,0.42622000,2.53275740,0.42246835
2.51354159,0.42318000,2.52798411,0.42158228
2.51109342,0.42775000,2.52596691,0.42740506
2.54323215,0.41394000,2.56156131,0.41145570
2.53956103,0.43243000,2.55455525,0.43006329
2.50093670,0.42419000,2.51256788,0.42316456
2.51640487,0.42601000,2.53065540,0.42443038
2.52379767,0.42564000,2.53964954,0.42411392
2.51393241,0.43617000,2.51873476,0.43689873
2.52224233,0.43024000,2.53359333,0.42778481
2.53335655,0.42963000,2.55044892,0.42689873
2.54182139,0.42756000,2.55677430,0.42449367
2.54266476,0.43488000,2.56114958,0.42835443
2.53668689,0.43652000,2.54879225,0.43126582
2.52035672,0.42722000,2.54076892,0.42424051
2.51595110,0.43721000,2.51970403,0.43386076
2.51020512,0.42990000,2.52259232,0.42753165
2.53478120,0.42407000,2.55572936,0.41968354
2.54794831,0.42273000,2.56508993,0.41924051
2.52454426,0.42527000,2.54324868,0.42031646
2.51333625,0.43658000,2.52228509,0.43240506
2.50523854,0.42620000,2.52003566,0.42113924
2.52491306,0.42865000,2.53286118,0.42417722
2.54448545,0.43153000,2.55025154,0.43151899
2.52898949,0.42578000,2.54471556,0.42240506
2.51302167,0.41964000,2.52217539,0.41797468
2.52398524,0.43081000,2.54399380,0.42196203
2.52503148,0.42001000,2.53546899,0.41588608
2.49711045,0.43101000,2.51030050,0.42689873
