learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 20, loss: 0.651900972466, acc: 0.78961
val_loss,val_acc,loss,acc
0.72316423,0.76784810,0.89077240,0.72577000
0.71382058,0.77443038,0.70677182,0.77497000
0.68971233,0.77784810,0.68823983,0.78051000
0.65662726,0.79158227,0.68174832,0.78376000
0.65937211,0.79170886,0.67509975,0.78477000
0.70534488,0.77607595,0.67535951,0.78516000
0.67474607,0.78670886,0.67159389,0.78565000
0.66810225,0.78506329,0.66010409,0.78882000
0.64951961,0.78715190,0.66415867,0.79049000
0.68098183,0.78000000,0.65949922,0.78937000
0.66430464,0.79031645,0.66206155,0.78784000
0.66424952,0.78341772,0.66545205,0.78814000
0.66899499,0.77784810,0.65548368,0.79009000
0.65158254,0.79373417,0.65746650,0.78988000
0.71671979,0.76462025,0.66323752,0.78789000
0.66677799,0.79075949,0.66484625,0.78712000
0.65085117,0.79234177,0.64701424,0.79152000
0.74844393,0.76702531,0.65104671,0.79022000
0.62829270,0.79822784,0.65926040,0.78846000
0.66425337,0.78626582,0.66293950,0.78809000
