learning_rate: 0.02, momentum_coeff: 0.09, dropout_prob: 0.5, batch_size: 50, num_epochs: 100, error(test): 4.79612028586, acc(test): 0.755632911392
error(train),acc(train),error(valid),acc(valid)
7.81740724,0.02716000,7.81331178,0.02746835
6.99929540,0.31628000,7.00130755,0.31341772
6.21019929,0.49098000,6.21406435,0.48829114
5.82232086,0.56578000,5.82628906,0.56259494
5.63905817,0.59981000,5.64313535,0.59702532
5.52410126,0.61846000,5.52986649,0.61202532
5.43253685,0.63329000,5.43785138,0.62917722
5.36963192,0.64734000,5.37808688,0.64284810
5.33504155,0.65596000,5.34045862,0.65386076
5.27386584,0.66792000,5.28064623,0.66500000
5.25060212,0.67289000,5.25840898,0.66936709
5.22443356,0.67938000,5.23089416,0.67734177
5.17843834,0.68474000,5.18627858,0.68518987
5.16023141,0.68738000,5.16822423,0.68424051
5.12779599,0.69053000,5.13514861,0.69063291
5.11159704,0.69623000,5.11802925,0.69360759
5.09430342,0.69873000,5.10224989,0.69525316
5.08697575,0.70441000,5.09549028,0.70050633
5.06093607,0.70477000,5.07074558,0.70310127
5.05165459,0.70837000,5.06120016,0.70620253
5.04014233,0.70797000,5.04788380,0.70493671
5.02509757,0.70716000,5.03408979,0.70715190
5.00987404,0.71645000,5.01736466,0.71310127
4.99774142,0.71879000,5.00683205,0.71550633
4.98755969,0.72190000,4.99710737,0.71715190
4.98577479,0.72211000,4.99521250,0.71841772
4.97789770,0.72340000,4.98656213,0.72006329
4.95776895,0.72444000,4.96827857,0.71822785
4.94904637,0.73054000,4.96050751,0.72772152
4.94632908,0.72641000,4.95627803,0.72569620
4.93808666,0.72838000,4.94786793,0.72531646
4.93466737,0.72979000,4.94447024,0.72734177
4.92877143,0.73646000,4.93968283,0.73278481
4.92543095,0.73123000,4.93475127,0.72740506
4.91322083,0.73744000,4.92354725,0.73297468
4.91124068,0.73590000,4.92093364,0.73088608
4.90549637,0.73837000,4.91594234,0.73379747
4.89373050,0.73677000,4.90472141,0.73316456
4.89225357,0.73947000,4.90165607,0.73487342
4.89283584,0.74208000,4.90200157,0.73544304
4.88589424,0.74174000,4.89671370,0.73715190
4.87757092,0.73998000,4.88888238,0.73329114
4.87402829,0.74042000,4.88563039,0.73468354
4.87098363,0.74353000,4.88248945,0.73708861
4.87206968,0.74659000,4.88533294,0.74113924
4.86542054,0.74106000,4.87744587,0.73658228
4.86148231,0.74896000,4.87283361,0.74398734
4.85326096,0.74957000,4.86542387,0.74335443
4.86041123,0.74630000,4.87226274,0.73974684
4.85134806,0.74694000,4.86261835,0.74310127
4.85366219,0.74430000,4.86471775,0.73867089
4.85820429,0.74690000,4.86937146,0.74139241
4.84876682,0.74607000,4.86215455,0.73930380
4.84304655,0.74798000,4.85640207,0.74367089
4.84261104,0.74977000,4.85596422,0.74215190
4.83271877,0.75168000,4.84670784,0.74778481
4.83943440,0.74897000,4.85251358,0.74449367
4.83633543,0.75059000,4.84962321,0.74297468
4.83202091,0.75217000,4.84567242,0.74449367
4.83026422,0.75218000,4.84234643,0.74746835
4.82549420,0.74876000,4.83846518,0.74189873
4.82977115,0.75075000,4.84392000,0.74645570
4.82353315,0.75063000,4.83626985,0.74620253
4.82314400,0.75234000,4.83649711,0.74569620
4.81936712,0.75492000,4.83450725,0.74740506
4.82094644,0.75394000,4.83360580,0.74632911
4.82253353,0.75213000,4.83592396,0.74734177
4.81748497,0.75280000,4.83024090,0.74689873
4.81678798,0.75372000,4.83025123,0.74689873
4.81364681,0.75542000,4.82570485,0.74879747
4.81187905,0.75238000,4.82501967,0.74613924
4.81022086,0.75816000,4.82442297,0.75069620
4.80951495,0.75202000,4.82395879,0.74512658
4.81080468,0.75488000,4.82473097,0.74873418
4.81233723,0.75520000,4.82626239,0.74835443
4.80479124,0.75374000,4.81833349,0.74784810
4.80938053,0.75531000,4.82206573,0.74841772
4.80591640,0.75430000,4.81988645,0.74854430
4.80312236,0.75180000,4.81644111,0.74765823
4.80129819,0.75544000,4.81537640,0.74930380
4.80208416,0.75345000,4.81553348,0.74822785
4.80111156,0.75782000,4.81701658,0.75189873
4.80802595,0.75632000,4.82310411,0.74765823
4.80376326,0.75978000,4.81600772,0.75303797
4.79645432,0.75607000,4.80930676,0.75120253
4.79521176,0.75717000,4.80777412,0.75088608
4.79398039,0.75778000,4.80742679,0.75202532
4.79773781,0.75934000,4.81156401,0.75240506
4.79340975,0.75788000,4.80688691,0.75360759
4.79911681,0.75741000,4.81306416,0.75145570
4.79514964,0.75932000,4.80836093,0.75259494
4.79848419,0.75821000,4.81208076,0.75272152
4.79233634,0.76052000,4.80550711,0.75512658
4.78688583,0.76171000,4.80091378,0.75582278
4.79077670,0.76055000,4.80334821,0.75537975
4.78850844,0.76118000,4.80287442,0.75379747
4.78956104,0.75795000,4.80475370,0.75316456
4.78596341,0.75935000,4.80039379,0.75335443
4.79097621,0.76181000,4.80535947,0.75765823
4.78944869,0.75831000,4.80303582,0.75474684
4.78228559,0.76047000,4.79614097,0.75563291
