batch_size: 50, learning_rate: 0.02, mom_coeff: 0.09, number_epochs: 100, time: 1336.89
error(train),acc(train),error(valid),acc(valid)
7.79561015,0.02311000,7.79522097,0.02322785
6.53748325,0.37262000,6.53354412,0.37443038
5.77044251,0.51824000,5.76151208,0.52430380
5.59060010,0.55278000,5.58324116,0.55727848
5.50323455,0.57355000,5.49642402,0.57550633
5.42748274,0.59264000,5.42414909,0.59506329
5.37388122,0.60457000,5.37395375,0.60544304
5.32986334,0.61626000,5.33142542,0.61797468
5.28451335,0.62566000,5.28674021,0.62740506
5.25114356,0.63369000,5.25591441,0.63386076
5.21575923,0.64283000,5.22066587,0.64037975
5.19046909,0.64787000,5.19836581,0.64398734
5.16631589,0.65160000,5.17133718,0.65069620
5.14641515,0.65666000,5.15200536,0.65639241
5.13089632,0.65977000,5.13577852,0.65867089
5.11354056,0.66500000,5.12184298,0.66658228
5.09380409,0.67045000,5.10096311,0.66854430
5.08006306,0.67214000,5.08879512,0.67234177
5.06581274,0.67581000,5.07544211,0.67335443
5.05851127,0.67632000,5.06818437,0.67424051
5.04472358,0.68222000,5.05688107,0.67784810
5.03191834,0.68300000,5.04189260,0.68050633
5.02213123,0.68684000,5.03371139,0.68386076
5.01072576,0.69083000,5.02276890,0.68639241
5.00724167,0.68953000,5.02076578,0.68784810
5.00211885,0.69031000,5.01530952,0.68892405
4.98624178,0.69469000,4.99938904,0.69240506
4.98116285,0.69524000,4.99461121,0.69221519
4.97470876,0.69729000,4.99148666,0.69164557
4.96551061,0.70059000,4.98185244,0.69537975
4.96409660,0.69984000,4.98135198,0.69556962
4.95639131,0.69978000,4.97627034,0.69462025
4.94537813,0.70562000,4.96273830,0.70101266
4.94071525,0.70547000,4.95982066,0.70202532
4.93675743,0.70595000,4.95476802,0.70025316
4.92946217,0.70755000,4.94750427,0.70658228
4.92724462,0.70859000,4.94849978,0.70221519
4.92425487,0.70955000,4.94634117,0.70430380
4.92361151,0.70838000,4.94465069,0.70278481
4.91367058,0.71184000,4.93606566,0.70556962
4.90675893,0.71404000,4.92910925,0.70924051
4.90382092,0.71380000,4.92656878,0.70816456
4.90069720,0.71525000,4.92409547,0.70835443
4.89675373,0.71453000,4.91935575,0.70791139
4.88844722,0.71897000,4.91268745,0.71664557
4.88536253,0.72102000,4.91164801,0.71373418
4.88005760,0.72060000,4.90725782,0.71411392
4.87850470,0.72060000,4.90340931,0.71265823
4.88410956,0.72044000,4.91504747,0.70905063
4.87596667,0.72168000,4.90196329,0.71512658
4.86974844,0.72343000,4.89705667,0.71550633
4.86577428,0.72469000,4.89599708,0.71753165
4.86766721,0.72448000,4.89536093,0.71727848
4.86003844,0.72669000,4.89078118,0.71721519
4.85895080,0.72577000,4.88837694,0.71765823
4.85115878,0.72859000,4.88174776,0.72050633
4.85248755,0.72646000,4.88417108,0.71664557
4.85885556,0.72584000,4.89136499,0.71981013
4.85630094,0.72550000,4.88834610,0.71778481
4.84558029,0.72793000,4.87929035,0.71981013
4.84221584,0.73005000,4.87796219,0.72151899
4.84258091,0.73069000,4.87557672,0.72063291
4.83441768,0.73215000,4.86820352,0.72310127
4.83599163,0.73169000,4.86941398,0.72303797
4.84150517,0.72915000,4.87876499,0.72069620
4.82808032,0.73217000,4.86420556,0.72341772
4.82671772,0.73378000,4.86217053,0.72658228
4.82494874,0.73269000,4.86054335,0.72474684
4.82094050,0.73572000,4.85580979,0.72702532
4.83395147,0.73065000,4.87138988,0.72392405
4.81731997,0.73644000,4.85705212,0.72601266
4.81264274,0.73725000,4.85333695,0.72848101
4.81932640,0.73535000,4.85611004,0.72582278
4.81188123,0.73757000,4.85027652,0.72810127
4.81522147,0.73492000,4.85800687,0.72531646
4.80976103,0.73524000,4.84923281,0.72791139
4.80578065,0.73842000,4.84829009,0.72810127
4.80767300,0.73571000,4.84880888,0.72531646
4.80483209,0.73755000,4.84676113,0.72936709
4.80510416,0.73818000,4.84817805,0.72936709
4.79936283,0.74084000,4.84119627,0.73063291
4.79801655,0.74005000,4.84290587,0.73025316
4.79806920,0.74084000,4.84415361,0.73107595
4.79624433,0.74129000,4.84202047,0.73056962
4.79887042,0.73885000,4.84331724,0.72974684
4.79590093,0.73984000,4.84475898,0.73018987
4.79010998,0.74210000,4.83851413,0.73132911
4.78975119,0.74104000,4.83889314,0.72905063
4.79566097,0.74065000,4.84629157,0.72943038
4.79014812,0.74314000,4.83739070,0.73316456
4.78886623,0.73980000,4.83826275,0.72962025
4.78076787,0.74547000,4.82804207,0.73379747
4.78766373,0.74327000,4.83615048,0.73246835
4.78048740,0.74578000,4.82918425,0.73392405
4.78261688,0.74554000,4.83295502,0.73297468
4.77534914,0.74650000,4.82720057,0.73386076
4.78182564,0.74295000,4.83414096,0.73101266
4.77690344,0.74530000,4.82966643,0.73297468
4.78025944,0.74242000,4.83099006,0.72924051
4.77506709,0.74677000,4.82882836,0.73164557
4.77467675,0.74667000,4.82870485,0.73227848
