batch_size: 50, learning_rate: 0.02, mom_coeff: 0.09, l2_penalty_coeff: 0.01000, number_epochs: 100, time: 1796.46
error(train),acc(train),error(valid),acc(valid)
10.05244363,0.02716000,10.01960998,0.02746835
4.98130475,0.72296000,4.99927962,0.71607595
4.86657484,0.75313000,4.87701759,0.74930380
4.80034659,0.76705000,4.81091339,0.76189873
4.75691545,0.78110000,4.76622853,0.77791139
4.73613248,0.78214000,4.74529516,0.77746835
4.71274481,0.79090000,4.72046099,0.78962025
4.70009710,0.79532000,4.71136796,0.79006329
4.69633501,0.79721000,4.70644269,0.79525316
4.69047937,0.79675000,4.70144835,0.79126582
4.69000476,0.79817000,4.70505791,0.79322785
4.69070596,0.79074000,4.70205279,0.78613924
4.68384291,0.79769000,4.69429934,0.79341772
4.67127040,0.80168000,4.68436848,0.79765823
4.67205289,0.80122000,4.68590236,0.79531646
4.66932818,0.80333000,4.68311788,0.79474684
4.66298096,0.80496000,4.67460400,0.79905063
4.65894816,0.80685000,4.67269935,0.80227848
4.67777582,0.79742000,4.68895889,0.79518987
4.66703614,0.80245000,4.67886396,0.79474684
4.65853685,0.80566000,4.67250480,0.79848101
4.66009303,0.80319000,4.67296380,0.79715190
4.65251571,0.81085000,4.66456441,0.80531646
4.65535080,0.80597000,4.66617528,0.80050633
4.64991112,0.80938000,4.66197063,0.80379747
4.65377986,0.80777000,4.66466046,0.80443038
4.64896524,0.80873000,4.66038318,0.80386076
4.66276494,0.80485000,4.67379578,0.79955696
4.65250142,0.80725000,4.66362937,0.80354430
4.64637923,0.80858000,4.65976910,0.80234177
4.66246786,0.80413000,4.67419070,0.79778481
4.65338976,0.80375000,4.66513606,0.80069620
4.64960006,0.81031000,4.66112427,0.80835443
4.65497069,0.80384000,4.66610707,0.79905063
4.64160640,0.81021000,4.65274946,0.80575949
4.65141601,0.80766000,4.66317997,0.80284810
4.64665602,0.81172000,4.66093156,0.80449367
4.66673852,0.79490000,4.67908818,0.78791139
4.65983514,0.80058000,4.67261000,0.79265823
4.64283418,0.81184000,4.65411110,0.80943038
4.64681843,0.80696000,4.65978907,0.80151899
4.64604989,0.80610000,4.65675158,0.80569620
4.64409949,0.80958000,4.65791605,0.80518987
4.64205293,0.81188000,4.65396600,0.80525316
4.64109755,0.81056000,4.65176298,0.80411392
4.64208702,0.80657000,4.65196292,0.80113924
4.64957945,0.80703000,4.66087472,0.80367089
4.64616813,0.81125000,4.66008019,0.80905063
4.64852077,0.80756000,4.65932004,0.80379747
4.65342696,0.80965000,4.66632499,0.80405063
4.64673381,0.80879000,4.65951410,0.80582278
4.64421500,0.81116000,4.65600332,0.80613924
4.65116029,0.80313000,4.66280183,0.79955696
4.64427154,0.80784000,4.65587914,0.80341772
4.64232137,0.81060000,4.65336400,0.80734177
4.64457300,0.81138000,4.65503514,0.80734177
4.64159603,0.80999000,4.65541829,0.80512658
4.64308470,0.81015000,4.65649055,0.80379747
4.64888716,0.80537000,4.66015085,0.80240506
4.64250487,0.81209000,4.65491227,0.80727848
4.64136747,0.81274000,4.65376385,0.80715190
4.63892669,0.81082000,4.65047988,0.80708861
4.64491768,0.80633000,4.65430008,0.80303797
4.63646828,0.81084000,4.64917550,0.80639241
4.64284495,0.80899000,4.65600375,0.80443038
4.63673726,0.81349000,4.64926058,0.80873418
4.63897320,0.81133000,4.65157385,0.80594937
4.64044699,0.81107000,4.65408704,0.80607595
4.63575175,0.81525000,4.64656847,0.80968354
4.63984226,0.81208000,4.64984920,0.80898734
4.64131116,0.81187000,4.65257221,0.80936709
4.64037749,0.81063000,4.65113799,0.80727848
4.63535070,0.81243000,4.64664914,0.80613924
4.64124449,0.80992000,4.65280640,0.80569620
4.64133189,0.80935000,4.65350497,0.80436709
4.64127097,0.80820000,4.65506955,0.80386076
4.64407906,0.80964000,4.65535597,0.80550633
4.64245914,0.80689000,4.65324991,0.80246835
4.65060273,0.80461000,4.66444198,0.79626582
4.64101973,0.80815000,4.65261614,0.80411392
4.65049824,0.80605000,4.66153040,0.79949367
4.64137273,0.81042000,4.65583372,0.80379747
4.64484020,0.80972000,4.65803057,0.80367089
4.64320309,0.81269000,4.65800673,0.80677215
4.64633642,0.80741000,4.66037298,0.80018987
4.64352747,0.81124000,4.65641460,0.80556962
4.64338093,0.80818000,4.65643522,0.80367089
4.64716892,0.80749000,4.65741758,0.80094937
4.64062319,0.81079000,4.65387568,0.80348101
4.65037194,0.80736000,4.66263024,0.80246835
4.65026700,0.80475000,4.65997710,0.79936709
4.64373392,0.80824000,4.65847346,0.80265823
4.63554174,0.81405000,4.65093320,0.80797468
4.64839450,0.80515000,4.66255173,0.79981013
4.63396136,0.81275000,4.64535106,0.80841772
4.64078674,0.81161000,4.65364084,0.80746835
4.64103487,0.80842000,4.65524660,0.80512658
4.63600801,0.81357000,4.64937739,0.80715190
4.64026432,0.81021000,4.65451203,0.80512658
4.63888557,0.81173000,4.65166954,0.80759494
4.64071677,0.81051000,4.65433101,0.80588608
