batch_size: 50, learning_rate: 0.02, mom_coeff: 0.09, l2_penalty_coeff: 0.00001, number_epochs: 100, time: 2075.92
error(train),acc(train),error(valid),acc(valid)
10.05244363,0.02716000,10.01960998,0.02746835
4.89449503,0.73268000,4.92841927,0.72379747
4.71263902,0.77580000,4.75704005,0.76563291
4.60609651,0.80115000,4.66750391,0.78474684
4.54153670,0.81859000,4.61389984,0.79993671
4.50148805,0.82559000,4.58212885,0.80575949
4.46428621,0.83593000,4.55324271,0.81018987
4.43761605,0.84246000,4.53899564,0.81778481
4.42270866,0.84670000,4.53400100,0.81810127
4.39987082,0.84859000,4.52081352,0.81797468
4.38471454,0.85718000,4.51319956,0.82468354
4.37503734,0.85548000,4.51017198,0.82044304
4.36047898,0.86280000,4.50395143,0.82474684
4.34831383,0.86508000,4.50035836,0.82740506
4.33522809,0.86913000,4.49663836,0.82772152
4.32818782,0.86880000,4.49979307,0.82386076
4.32183905,0.86975000,4.49330036,0.82645570
4.30777561,0.87662000,4.49036982,0.83018987
4.31572925,0.87158000,4.50486824,0.82430380
4.29612960,0.87769000,4.49460592,0.82740506
4.28966877,0.88107000,4.49192483,0.83031646
4.28525262,0.88140000,4.49326201,0.82740506
4.27694145,0.88507000,4.49516343,0.82803797
4.27206331,0.88428000,4.49182840,0.83063291
4.26478348,0.88717000,4.49403935,0.83170886
4.25973595,0.88803000,4.49449794,0.82873418
4.24951034,0.89105000,4.49315541,0.83139241
4.24806133,0.89318000,4.49946696,0.82993671
4.24507675,0.89354000,4.50294980,0.83069620
4.23911135,0.89442000,4.50233830,0.82702532
4.25114650,0.88868000,4.52273402,0.82177215
4.23024738,0.89562000,4.50735819,0.82974684
4.22167109,0.90012000,4.50282365,0.83018987
4.23027648,0.89534000,4.51506774,0.82784810
4.22716960,0.89498000,4.52675112,0.82563291
4.22201852,0.89709000,4.52794172,0.82778481
4.21220265,0.90208000,4.51941288,0.82829114
4.21959917,0.89476000,4.53997969,0.81974684
4.21377335,0.89811000,4.53241898,0.82550633
4.20209391,0.90472000,4.52311115,0.83025316
4.20234456,0.90322000,4.53438162,0.82753165
4.20224405,0.90168000,4.53795935,0.82563291
4.19230448,0.90719000,4.54277934,0.83000000
4.18989075,0.90830000,4.54329569,0.83025316
4.18501120,0.90921000,4.54441995,0.83208861
4.18951717,0.90762000,4.55416855,0.82784810
4.18580094,0.90985000,4.55445682,0.82594937
4.17790925,0.91236000,4.55980138,0.82493671
4.17395059,0.91331000,4.56080587,0.82613924
4.18593683,0.90723000,4.58033054,0.82120253
4.17434395,0.91251000,4.57694203,0.82759494
4.16736727,0.91267000,4.57169650,0.82575949
4.17959572,0.90726000,4.58962028,0.81968354
4.16884441,0.91289000,4.58260166,0.82493671
4.16859148,0.91482000,4.59377744,0.82449367
4.16490049,0.91536000,4.59238688,0.82594937
4.16080164,0.91548000,4.59943143,0.82386076
4.15717763,0.91631000,4.59887595,0.82392405
4.15854788,0.91591000,4.61201238,0.81898734
4.15428119,0.91859000,4.61547702,0.82354430
4.14980027,0.91895000,4.60855105,0.82329114
4.15013149,0.91941000,4.62221710,0.82082278
4.15247789,0.91750000,4.63523810,0.81981013
4.14554678,0.91998000,4.62550044,0.82335443
4.15031043,0.91699000,4.63925912,0.81930380
4.14218102,0.92189000,4.63731202,0.82006329
4.13496109,0.92476000,4.63204727,0.82006329
4.14067253,0.92171000,4.65236165,0.81848101
4.13742272,0.92350000,4.64899728,0.81765823
4.13701770,0.92197000,4.65828855,0.82101266
4.13764126,0.92243000,4.67677473,0.81974684
4.12802347,0.92550000,4.66479544,0.81879747
4.12595951,0.92694000,4.67456018,0.82050633
4.12719063,0.92534000,4.67308047,0.82310127
4.13181537,0.92227000,4.68694058,0.81329114
4.13787938,0.91984000,4.71498704,0.81493671
4.12313697,0.92746000,4.69662068,0.81474684
4.13039662,0.92312000,4.70438272,0.81411392
4.12857686,0.92455000,4.71287977,0.81569620
4.11674328,0.92895000,4.71042513,0.81772152
4.12587206,0.92382000,4.71825211,0.81354430
4.11586386,0.92909000,4.72038632,0.81291139
4.11216071,0.93068000,4.71733978,0.81613924
4.11558482,0.92970000,4.73523920,0.81449367
4.11148108,0.93079000,4.73289791,0.81905063
4.10020571,0.93698000,4.72989327,0.81683544
4.11031147,0.93063000,4.74946096,0.81512658
4.11021198,0.93010000,4.76330857,0.81278481
4.10882147,0.93228000,4.75987523,0.81367089
4.10120126,0.93515000,4.76013925,0.81430380
4.11271583,0.92787000,4.78361482,0.80949367
4.10260985,0.93426000,4.77314566,0.81075949
4.10053379,0.93469000,4.78181088,0.81183544
4.10783395,0.93065000,4.79623995,0.80791139
4.09553041,0.93615000,4.78421240,0.81525316
4.09691899,0.93488000,4.78584332,0.81272152
4.09897502,0.93541000,4.81006897,0.81000000
4.09546244,0.93733000,4.80605766,0.81386076
4.10079369,0.93296000,4.82561191,0.80879747
4.09421858,0.93565000,4.82438302,0.81037975
4.08322370,0.94202000,4.81553816,0.81544304
