error(train),acc(train),error(valid),acc(valid),params_penalty
2.38838397,0.09202000,2.39542033,0.09190000,0.00000000
0.36797827,0.89542000,0.33638507,0.90670000,0.00000000
0.31974287,0.90980000,0.29555963,0.91690000,0.00000000
0.29813484,0.91588000,0.28086572,0.92350000,0.00000000
0.27558944,0.92166000,0.26275938,0.92560000,0.00000000
0.25724344,0.92782000,0.24609034,0.93160000,0.00000000
0.23968492,0.93284000,0.23137352,0.93720000,0.00000000
0.22405805,0.93696000,0.21805504,0.93960000,0.00000000
0.21018053,0.94098000,0.20583757,0.94340000,0.00000000
0.20126333,0.94338000,0.19927836,0.94530000,0.00000000
0.18487989,0.94770000,0.18531388,0.95070000,0.00000000
0.17434452,0.95032000,0.17640685,0.95260000,0.00000000
0.16557560,0.95304000,0.16899180,0.95520000,0.00000000
0.15648846,0.95522000,0.16241089,0.95530000,0.00000000
0.14901761,0.95774000,0.15494562,0.95730000,0.00000000
0.13965678,0.96024000,0.14789106,0.95900000,0.00000000
0.13373963,0.96190000,0.14346913,0.96030000,0.00000000
0.12814244,0.96392000,0.13991123,0.96110000,0.00000000
0.12241098,0.96508000,0.13505606,0.96110000,0.00000000
0.11764900,0.96708000,0.13133516,0.96180000,0.00000000
0.11272579,0.96828000,0.12832518,0.96290000,0.00000000
0.10873614,0.96936000,0.12490410,0.96440000,0.00000000
0.10413433,0.97088000,0.12189639,0.96600000,0.00000000
0.10070639,0.97160000,0.11937741,0.96520000,0.00000000
0.09701223,0.97334000,0.11668707,0.96560000,0.00000000
0.09351241,0.97412000,0.11387175,0.96680000,0.00000000
0.09144222,0.97442000,0.11287818,0.96790000,0.00000000
0.08765932,0.97584000,0.10971342,0.96780000,0.00000000
0.08492147,0.97658000,0.10809286,0.96770000,0.00000000
0.08278773,0.97724000,0.10704444,0.96830000,0.00000000
0.07999620,0.97826000,0.10512925,0.96930000,0.00000000
0.07698330,0.97902000,0.10298691,0.97030000,0.00000000
0.07642626,0.97910000,0.10347934,0.96970000,0.00000000
0.07334332,0.97918000,0.10144631,0.97030000,0.00000000
0.07012575,0.98094000,0.09809676,0.97200000,0.00000000
0.06784050,0.98108000,0.09702764,0.97090000,0.00000000
0.06673886,0.98210000,0.09623195,0.97230000,0.00000000
