error(train),acc(train),error(valid),acc(valid),params_penalty
53.72572297,0.05972000,53.59615930,0.05590000,0.00000000
1.22753323,0.86200000,1.13177321,0.87190000,0.00000000
0.86101959,0.87460000,0.82887210,0.88370000,0.00000000
0.77159362,0.86678000,0.76007121,0.87110000,0.00000000
0.52981812,0.89520000,0.51820260,0.89950000,0.00000000
0.49093940,0.89638000,0.49065898,0.89820000,0.00000000
0.39536759,0.90842000,0.40674298,0.90590000,0.00000000
0.32554559,0.92044000,0.33952142,0.91860000,0.00000000
0.31151580,0.92070000,0.32750619,0.91760000,0.00000000
0.28380355,0.92578000,0.30142398,0.92030000,0.00000000
0.31015348,0.91546000,0.32367217,0.91410000,0.00000000
0.25435029,0.93106000,0.27416653,0.92620000,0.00000000
0.25320366,0.93050000,0.27502704,0.92670000,0.00000000
0.26858253,0.92322000,0.27812554,0.91970000,0.00000000
0.24023513,0.93118000,0.25946863,0.92600000,0.00000000
0.21532482,0.93944000,0.23496494,0.93290000,0.00000000
0.21636201,0.93856000,0.23913011,0.93120000,0.00000000
0.22258718,0.93692000,0.24632514,0.92990000,0.00000000
0.20258999,0.94204000,0.22993234,0.93550000,0.00000000
0.19955139,0.94292000,0.22275043,0.93650000,0.00000000
0.19662767,0.94440000,0.22491594,0.93790000,0.00000000
0.18779419,0.94608000,0.21359978,0.94050000,0.00000000
0.17790611,0.94904000,0.20901432,0.94290000,0.00000000
0.18327281,0.94702000,0.21555614,0.93960000,0.00000000
0.17249787,0.95008000,0.20619967,0.94230000,0.00000000
0.17177930,0.95054000,0.20868147,0.94090000,0.00000000
0.17925304,0.94850000,0.21606860,0.94090000,0.00000000
0.16477171,0.95200000,0.20039300,0.94450000,0.00000000
0.16248552,0.95190000,0.19741674,0.94520000,0.00000000
0.15995080,0.95266000,0.19914153,0.94300000,0.00000000
0.15793169,0.95354000,0.20252384,0.94180000,0.00000000
0.15049538,0.95662000,0.19263536,0.94700000,0.00000000
0.14622145,0.95850000,0.18799325,0.94860000,0.00000000
0.14507143,0.95802000,0.18977854,0.94750000,0.00000000
0.14083766,0.95968000,0.18292368,0.94890000,0.00000000
0.13934874,0.95992000,0.18608900,0.94730000,0.00000000
0.14038027,0.95860000,0.18255127,0.94770000,0.00000000
0.13529699,0.96062000,0.17875764,0.95030000,0.00000000
0.13310452,0.96100000,0.17850866,0.94920000,0.00000000
0.13015471,0.96290000,0.17897231,0.95040000,0.00000000
0.12662614,0.96348000,0.17481970,0.95160000,0.00000000
0.13092711,0.96226000,0.17413848,0.95310000,0.00000000
0.12913275,0.96248000,0.17916689,0.94890000,0.00000000
0.12224563,0.96426000,0.17371555,0.95220000,0.00000000
0.11924165,0.96594000,0.16958813,0.95400000,0.00000000
0.12146335,0.96500000,0.17204189,0.95130000,0.00000000
0.11543304,0.96700000,0.16846005,0.95360000,0.00000000
0.11911743,0.96504000,0.17275852,0.95380000,0.00000000
0.11370533,0.96764000,0.17129163,0.95180000,0.00000000
0.11410438,0.96640000,0.17282665,0.95200000,0.00000000
0.11018032,0.96816000,0.16361075,0.95440000,0.00000000
0.10914089,0.96792000,0.17139831,0.95210000,0.00000000
0.10657125,0.96936000,0.16433472,0.95470000,0.00000000
0.10993913,0.96770000,0.16795209,0.95420000,0.00000000
0.10763927,0.96826000,0.16640913,0.95410000,0.00000000
0.10572899,0.96854000,0.16551961,0.95510000,0.00000000
0.10313173,0.96992000,0.16342798,0.95430000,0.00000000
0.10442767,0.96974000,0.16374602,0.95590000,0.00000000
0.09792238,0.97198000,0.15997675,0.95670000,0.00000000
0.09980395,0.97052000,0.16607442,0.95490000,0.00000000
0.09733663,0.97162000,0.16120729,0.95560000,0.00000000
0.10204895,0.96846000,0.16791963,0.95310000,0.00000000
0.09794225,0.97108000,0.16657917,0.95340000,0.00000000
0.09271115,0.97306000,0.16056945,0.95590000,0.00000000
0.09287725,0.97294000,0.16396311,0.95680000,0.00000000
0.09011836,0.97380000,0.16045115,0.95800000,0.00000000
0.08854315,0.97422000,0.15860082,0.95800000,0.00000000
0.08710486,0.97446000,0.15900370,0.95690000,0.00000000
0.08719987,0.97464000,0.15722545,0.95750000,0.00000000
0.08747293,0.97442000,0.16193580,0.95620000,0.00000000
0.08978906,0.97364000,0.16559316,0.95460000,0.00000000
0.08170405,0.97686000,0.15466969,0.95830000,0.00000000
0.08062623,0.97696000,0.15710874,0.95770000,0.00000000
0.08011845,0.97718000,0.15664597,0.95880000,0.00000000
0.07999529,0.97648000,0.15676297,0.95780000,0.00000000
0.07703491,0.97824000,0.15489606,0.95840000,0.00000000
0.08194964,0.97576000,0.16465670,0.95580000,0.00000000
0.07841801,0.97694000,0.16012246,0.95750000,0.00000000
0.07878746,0.97674000,0.16031668,0.95760000,0.00000000
0.07496770,0.97832000,0.15528699,0.95920000,0.00000000
0.07531778,0.97812000,0.15871271,0.95880000,0.00000000
0.07192258,0.97934000,0.15550668,0.95890000,0.00000000
0.07065157,0.97968000,0.15247883,0.96000000,0.00000000
0.07213573,0.97916000,0.15851165,0.95810000,0.00000000
0.07052396,0.97976000,0.15553507,0.95990000,0.00000000
0.07219726,0.97846000,0.16124426,0.95790000,0.00000000
0.07071480,0.97902000,0.15953449,0.95850000,0.00000000
0.06558412,0.98142000,0.15289579,0.96030000,0.00000000
0.06522976,0.98212000,0.15563618,0.96060000,0.00000000
0.06560222,0.98140000,0.15532856,0.95950000,0.00000000
0.06598476,0.98090000,0.16080494,0.95840000,0.00000000
0.06575870,0.98052000,0.15948435,0.95930000,0.00000000
0.06242045,0.98266000,0.15620385,0.96020000,0.00000000
0.06089647,0.98326000,0.15518941,0.96090000,0.00000000
0.06301266,0.98136000,0.15854669,0.95900000,0.00000000
0.06042004,0.98276000,0.15877647,0.95940000,0.00000000
0.05860920,0.98336000,0.15415707,0.96120000,0.00000000
0.05914817,0.98364000,0.15484774,0.96090000,0.00000000
0.05753634,0.98392000,0.15637859,0.96060000,0.00000000
0.05821080,0.98324000,0.15650843,0.96020000,0.00000000
0.05722278,0.98402000,0.15821496,0.96090000,0.00000000
