error(train),acc(train),error(valid),acc(valid),params_penalty
5.45229242,0.10020000,5.35486001,0.10600000,0.00000000
1.66132736,0.52926000,1.64262109,0.53910000,0.00000000
1.26233208,0.65670000,1.23048656,0.67570000,0.00000000
0.82070817,0.78108000,0.77982629,0.80000000,0.00000000
0.60377910,0.80994000,0.56327085,0.82480000,0.00000000
0.46943086,0.86258000,0.42951016,0.87850000,0.00000000
0.42723916,0.87176000,0.39326681,0.88000000,0.00000000
0.38036597,0.88800000,0.34843883,0.89580000,0.00000000
0.35531160,0.89504000,0.32836683,0.90160000,0.00000000
0.32039860,0.90406000,0.30113926,0.90960000,0.00000000
0.30626445,0.90888000,0.28853311,0.91410000,0.00000000
0.28477567,0.91466000,0.26500689,0.92090000,0.00000000
0.28509600,0.91542000,0.26682845,0.91820000,0.00000000
0.28726385,0.91216000,0.26869061,0.91990000,0.00000000
0.27185694,0.91966000,0.25916876,0.92380000,0.00000000
0.25471022,0.92472000,0.24274755,0.92910000,0.00000000
0.26454064,0.92172000,0.25196440,0.92510000,0.00000000
0.24589121,0.92660000,0.23775555,0.93040000,0.00000000
0.22912796,0.92848000,0.22342095,0.93400000,0.00000000
0.22215172,0.93274000,0.21662275,0.93500000,0.00000000
0.22466348,0.93220000,0.22204459,0.93390000,0.00000000
0.20826143,0.93632000,0.20581181,0.93790000,0.00000000
0.21839745,0.93388000,0.21783831,0.93420000,0.00000000
0.21352616,0.93380000,0.21524751,0.93440000,0.00000000
0.19633921,0.94120000,0.20030643,0.94040000,0.00000000
0.22419560,0.93078000,0.22803783,0.93020000,0.00000000
0.20311575,0.93802000,0.20520197,0.93850000,0.00000000
0.18319070,0.94440000,0.18833609,0.94370000,0.00000000
0.18374462,0.94408000,0.19226301,0.94040000,0.00000000
0.18244149,0.94484000,0.19083682,0.94190000,0.00000000
0.17689700,0.94644000,0.18585708,0.94330000,0.00000000
0.17650165,0.94602000,0.18379040,0.94370000,0.00000000
0.17908500,0.94358000,0.18822111,0.94030000,0.00000000
0.22695663,0.92954000,0.23824386,0.92850000,0.00000000
0.16347303,0.94990000,0.17830519,0.94690000,0.00000000
0.16040810,0.95078000,0.17548555,0.94750000,0.00000000
0.16958999,0.94876000,0.17594473,0.94700000,0.00000000
0.15784482,0.95180000,0.17242444,0.94860000,0.00000000
0.17182767,0.94726000,0.18918167,0.94410000,0.00000000
0.15654304,0.95206000,0.17259812,0.94800000,0.00000000
0.15188994,0.95392000,0.17580779,0.94970000,0.00000000
0.14769702,0.95488000,0.16784662,0.95010000,0.00000000
0.15786264,0.95278000,0.18080296,0.94700000,0.00000000
0.14571028,0.95576000,0.17242589,0.94920000,0.00000000
0.16470424,0.94790000,0.18011391,0.94570000,0.00000000
0.19232880,0.94136000,0.21817870,0.93730000,0.00000000
0.14838149,0.95414000,0.17030449,0.94840000,0.00000000
0.15208493,0.95306000,0.17242357,0.94970000,0.00000000
0.15071704,0.95328000,0.17406584,0.95010000,0.00000000
0.14756906,0.95432000,0.17636666,0.94730000,0.00000000
0.14897688,0.95398000,0.18256904,0.94880000,0.00000000
