error(train),acc(train),error(valid),acc(valid),params_penalty
2.46398019,0.09762000,2.45358306,0.09540000,0.00000000
0.18644194,0.94610000,0.18129547,0.94990000,0.00000000
0.13078357,0.96170000,0.14203061,0.96150000,0.00000000
0.09469586,0.97180000,0.10889252,0.96730000,0.00000000
0.07931947,0.97616000,0.09878887,0.97100000,0.00000000
0.06037049,0.98236000,0.08885651,0.97380000,0.00000000
0.05111182,0.98536000,0.08746914,0.97330000,0.00000000
0.04552287,0.98648000,0.08669086,0.97560000,0.00000000
0.04040866,0.98778000,0.08212407,0.97630000,0.00000000
0.03315939,0.99036000,0.08344330,0.97640000,0.00000000
0.02703481,0.99258000,0.07964586,0.97870000,0.00000000
0.03973779,0.98660000,0.10144102,0.97040000,0.00000000
0.01923896,0.99518000,0.08051264,0.97790000,0.00000000
0.01877502,0.99512000,0.08242978,0.97690000,0.00000000
0.01664370,0.99586000,0.08266346,0.97980000,0.00000000
0.01301698,0.99762000,0.07980736,0.97970000,0.00000000
0.01025077,0.99830000,0.07831811,0.98010000,0.00000000
0.01345207,0.99664000,0.08738886,0.97710000,0.00000000
0.00836135,0.99890000,0.07998289,0.98030000,0.00000000
0.00803606,0.99878000,0.08554547,0.97860000,0.00000000
0.00851882,0.99846000,0.08581883,0.97790000,0.00000000
0.00515175,0.99950000,0.08136519,0.97980000,0.00000000
0.00445763,0.99980000,0.08342899,0.97930000,0.00000000
0.00418852,0.99968000,0.08389354,0.98020000,0.00000000
0.00364389,0.99984000,0.08366603,0.98040000,0.00000000
0.00334361,0.99992000,0.08690741,0.98030000,0.00000000
0.00315447,0.99990000,0.08638507,0.97990000,0.00000000
0.00300481,0.99994000,0.08614528,0.98080000,0.00000000
0.00274889,0.99992000,0.08732580,0.98050000,0.00000000
0.00234739,0.99998000,0.08732136,0.97980000,0.00000000
0.00238112,0.99998000,0.08682596,0.98060000,0.00000000
0.00197557,1.00000000,0.08914404,0.97980000,0.00000000
0.00198378,0.99996000,0.08950067,0.98030000,0.00000000
0.00181028,0.99996000,0.09045790,0.97970000,0.00000000
0.00170311,1.00000000,0.09054927,0.98080000,0.00000000
0.00165421,1.00000000,0.09153845,0.98010000,0.00000000
0.00148497,1.00000000,0.09064944,0.98030000,0.00000000
0.00142181,1.00000000,0.09071399,0.98050000,0.00000000
0.00136478,1.00000000,0.09187446,0.98050000,0.00000000
0.00127833,1.00000000,0.09152218,0.98020000,0.00000000
0.00124778,1.00000000,0.09235271,0.98050000,0.00000000
0.00121134,1.00000000,0.09278186,0.98000000,0.00000000
0.00116381,1.00000000,0.09339510,0.98030000,0.00000000
0.00108251,1.00000000,0.09374139,0.98010000,0.00000000
0.00109043,1.00000000,0.09456941,0.98040000,0.00000000
0.00101878,1.00000000,0.09445497,0.98000000,0.00000000
0.00100878,1.00000000,0.09528642,0.97970000,0.00000000
0.00097818,1.00000000,0.09579151,0.97980000,0.00000000
0.00092951,1.00000000,0.09553339,0.98030000,0.00000000
0.00089990,1.00000000,0.09618668,0.98010000,0.00000000
0.00087567,1.00000000,0.09597202,0.98020000,0.00000000
0.00085441,1.00000000,0.09632664,0.98020000,0.00000000
0.00082283,1.00000000,0.09696446,0.98020000,0.00000000
0.00080824,1.00000000,0.09677746,0.98000000,0.00000000
0.00077322,1.00000000,0.09697624,0.97980000,0.00000000
0.00077485,1.00000000,0.09832381,0.98010000,0.00000000
0.00075390,1.00000000,0.09871507,0.98080000,0.00000000
0.00072400,1.00000000,0.09863693,0.98030000,0.00000000
0.00071200,1.00000000,0.09851886,0.98010000,0.00000000
0.00069566,1.00000000,0.09842924,0.98060000,0.00000000
0.00067076,1.00000000,0.09890027,0.98050000,0.00000000
0.00065141,1.00000000,0.09922004,0.98040000,0.00000000
0.00064173,1.00000000,0.09971386,0.98000000,0.00000000
0.00062506,1.00000000,0.09972474,0.98040000,0.00000000
0.00061859,1.00000000,0.09994586,0.98030000,0.00000000
0.00059782,1.00000000,0.10024149,0.98060000,0.00000000
0.00058584,1.00000000,0.10030899,0.97970000,0.00000000
0.00058060,1.00000000,0.10078424,0.97990000,0.00000000
0.00056446,1.00000000,0.10059750,0.98020000,0.00000000
0.00055312,1.00000000,0.10105434,0.98080000,0.00000000
0.00054226,1.00000000,0.10178638,0.98000000,0.00000000
0.00053713,1.00000000,0.10177229,0.98070000,0.00000000
0.00052529,1.00000000,0.10249358,0.98030000,0.00000000
0.00051824,1.00000000,0.10222627,0.98030000,0.00000000
0.00050210,1.00000000,0.10230252,0.97990000,0.00000000
0.00049444,1.00000000,0.10209133,0.98030000,0.00000000
0.00048354,1.00000000,0.10281753,0.98010000,0.00000000
0.00047860,1.00000000,0.10299756,0.98030000,0.00000000
0.00046816,1.00000000,0.10306637,0.98000000,0.00000000
0.00046177,1.00000000,0.10312735,0.98030000,0.00000000
0.00045382,1.00000000,0.10360006,0.98030000,0.00000000
0.00044350,1.00000000,0.10376186,0.98030000,0.00000000
0.00043575,1.00000000,0.10378575,0.98070000,0.00000000
0.00043359,1.00000000,0.10453460,0.98030000,0.00000000
0.00042492,1.00000000,0.10409639,0.98030000,0.00000000
0.00041574,1.00000000,0.10438296,0.98030000,0.00000000
0.00041334,1.00000000,0.10476723,0.98050000,0.00000000
0.00040634,1.00000000,0.10461589,0.98040000,0.00000000
0.00039689,1.00000000,0.10475756,0.98000000,0.00000000
0.00039378,1.00000000,0.10499886,0.98000000,0.00000000
0.00038638,1.00000000,0.10522239,0.98050000,0.00000000
0.00038265,1.00000000,0.10554288,0.98010000,0.00000000
0.00037960,1.00000000,0.10579484,0.98000000,0.00000000
0.00037095,1.00000000,0.10563450,0.98020000,0.00000000
0.00036678,1.00000000,0.10578831,0.98020000,0.00000000
0.00035849,1.00000000,0.10597909,0.98040000,0.00000000
0.00035434,1.00000000,0.10619259,0.98070000,0.00000000
0.00035208,1.00000000,0.10647333,0.98050000,0.00000000
0.00034965,1.00000000,0.10696826,0.98050000,0.00000000
0.00034316,1.00000000,0.10684905,0.98040000,0.00000000
0.00033729,1.00000000,0.10713674,0.98010000,0.00000000
