batch_size: 50, learning_rate: 0.01, number_epochs: 100, weights_penalty_coeff: 0.000000,  biases_penalty_coeff: 0.000000,time: 168.67
error(train),acc(train),error(valid),acc(valid),params_penalty
2.30273449,0.09604000,2.30559476,0.09420000,0.00000000
0.13575238,0.95834000,0.14008882,0.95710000,0.00000000
0.10688614,0.96780000,0.12955566,0.96270000,0.00000000
0.05905897,0.98190000,0.09858266,0.96960000,0.00000000
0.04028318,0.98794000,0.08569210,0.97570000,0.00000000
0.03950957,0.98710000,0.10308832,0.97120000,0.00000000
0.02712826,0.99168000,0.09112634,0.97480000,0.00000000
0.02767398,0.99048000,0.10665265,0.97170000,0.00000000
0.02081786,0.99340000,0.09804240,0.97480000,0.00000000
0.01714007,0.99440000,0.10218013,0.97500000,0.00000000
0.00911871,0.99750000,0.09505701,0.97860000,0.00000000
0.00990811,0.99688000,0.10176897,0.97720000,0.00000000
0.00290861,0.99964000,0.09428544,0.97900000,0.00000000
0.00251837,0.99968000,0.09366377,0.97900000,0.00000000
0.00182677,0.99986000,0.09913243,0.98040000,0.00000000
0.00086572,0.99996000,0.09632241,0.98090000,0.00000000
0.00059745,1.00000000,0.09881025,0.98100000,0.00000000
0.00052163,1.00000000,0.10079861,0.98090000,0.00000000
0.00049472,1.00000000,0.10282996,0.98040000,0.00000000
0.00040211,1.00000000,0.10376989,0.98040000,0.00000000
0.00036522,1.00000000,0.10381267,0.98090000,0.00000000
0.00034138,1.00000000,0.10463576,0.98040000,0.00000000
0.00031866,1.00000000,0.10605198,0.98060000,0.00000000
0.00028801,1.00000000,0.10661154,0.98070000,0.00000000
0.00027266,1.00000000,0.10786812,0.98060000,0.00000000
0.00025543,1.00000000,0.10827807,0.98100000,0.00000000
0.00024016,1.00000000,0.10913882,0.98090000,0.00000000
0.00022766,1.00000000,0.11007872,0.98060000,0.00000000
0.00022826,1.00000000,0.11035764,0.98050000,0.00000000
0.00020700,1.00000000,0.11081522,0.98070000,0.00000000
0.00019701,1.00000000,0.11160948,0.98060000,0.00000000
0.00018919,1.00000000,0.11185582,0.98080000,0.00000000
0.00018055,1.00000000,0.11232776,0.98070000,0.00000000
0.00017342,1.00000000,0.11265398,0.98070000,0.00000000
0.00016596,1.00000000,0.11363514,0.98080000,0.00000000
0.00016266,1.00000000,0.11422129,0.98060000,0.00000000
0.00015520,1.00000000,0.11470950,0.98070000,0.00000000
0.00014951,1.00000000,0.11495927,0.98110000,0.00000000
0.00014500,1.00000000,0.11538370,0.98110000,0.00000000
0.00013988,1.00000000,0.11590332,0.98090000,0.00000000
0.00013516,1.00000000,0.11596946,0.98110000,0.00000000
0.00013137,1.00000000,0.11653914,0.98070000,0.00000000
0.00012823,1.00000000,0.11722254,0.98110000,0.00000000
0.00012349,1.00000000,0.11715700,0.98080000,0.00000000
0.00012150,1.00000000,0.11794835,0.98060000,0.00000000
0.00011691,1.00000000,0.11789299,0.98090000,0.00000000
0.00011393,1.00000000,0.11869779,0.98120000,0.00000000
0.00011092,1.00000000,0.11887079,0.98110000,0.00000000
