batch_size: 50, learning_rate: 0.01, number_epochs: 100, weights_penalty_coeff: 0.010000,  biases_penalty_coeff: 0.010000,time: 195.55
error(train),acc(train),error(valid),acc(valid),params_penalty
2.30741694,0.08316000,2.30667204,0.08780000,0.36949096
0.20870238,0.94006000,0.19462190,0.94590000,0.22605363
0.17036862,0.95084000,0.16273180,0.95470000,0.20455250
0.14748965,0.96114000,0.14932665,0.96090000,0.20503940
0.14748676,0.96030000,0.14885667,0.95900000,0.20392026
0.14376943,0.96158000,0.13966766,0.96420000,0.20381334
0.14270104,0.96312000,0.14714097,0.96210000,0.20716715
0.14205796,0.96382000,0.14325917,0.96350000,0.20623945
0.12803495,0.96786000,0.13327220,0.96560000,0.20592938
0.13634353,0.96626000,0.13621871,0.96610000,0.20741124
0.13852356,0.96344000,0.14047997,0.96390000,0.20578785
0.12996940,0.96868000,0.13144003,0.96610000,0.20751836
0.13355511,0.96632000,0.13687931,0.96450000,0.20619965
0.12467347,0.96978000,0.12617895,0.96980000,0.20630730
0.12012606,0.96890000,0.12316736,0.96840000,0.20949470
0.12122812,0.96966000,0.12189417,0.96980000,0.20644065
0.13499117,0.96438000,0.13780268,0.96300000,0.20558928
0.14024511,0.96298000,0.14064027,0.96240000,0.20730632
0.12230961,0.96892000,0.12338664,0.96840000,0.20703043
0.12005441,0.97098000,0.12158962,0.96930000,0.20535634
0.13074827,0.96722000,0.13609834,0.96510000,0.20744265
0.12491793,0.96938000,0.12665018,0.96970000,0.20635180
0.12827971,0.96792000,0.13185625,0.96660000,0.20876054
0.12116058,0.97080000,0.12374142,0.97100000,0.20819419
0.12428044,0.96856000,0.12739211,0.96730000,0.20681878
0.13563854,0.96408000,0.13986181,0.96490000,0.20685626
0.12865939,0.96784000,0.13484909,0.96600000,0.20776528
0.12552118,0.96726000,0.12955148,0.96540000,0.20599496
0.11951487,0.96960000,0.12377105,0.96860000,0.20894184
0.11841478,0.96978000,0.12002582,0.96810000,0.20755042
0.13271949,0.96616000,0.13200225,0.96600000,0.20691681
0.14417747,0.96070000,0.14574019,0.95990000,0.20752853
0.11887218,0.96996000,0.12230033,0.96780000,0.20631986
0.12726311,0.96858000,0.12832724,0.96810000,0.20702417
0.13255073,0.96562000,0.13465871,0.96490000,0.20739900
0.13399528,0.96456000,0.13721885,0.96480000,0.20691226
0.11834739,0.97038000,0.11912293,0.96980000,0.20730865
0.12732660,0.96698000,0.13245059,0.96550000,0.20686807
0.12428134,0.96830000,0.12715851,0.96680000,0.20519071
0.12569708,0.96846000,0.13056651,0.96600000,0.20646718
0.12436818,0.96802000,0.12695510,0.96700000,0.20814689
0.12514352,0.96856000,0.13108772,0.96650000,0.20758195
0.12698842,0.96762000,0.13091912,0.96550000,0.20752361
0.13192550,0.96722000,0.13887462,0.96690000,0.20536145
0.13283012,0.96678000,0.13352827,0.96590000,0.20573403
0.12166074,0.96938000,0.12377342,0.96690000,0.20733307
0.12986984,0.96792000,0.13143566,0.96590000,0.20681100
0.12598420,0.96782000,0.12660253,0.96880000,0.20768462
0.12449163,0.96902000,0.12585414,0.96610000,0.20718006
0.12227220,0.97054000,0.12071605,0.96920000,0.20758233
0.12328488,0.96906000,0.12652383,0.96820000,0.20663165
0.13541980,0.96524000,0.13938911,0.96450000,0.20702645
0.13078498,0.96616000,0.13554023,0.96570000,0.20580416
0.11796216,0.97046000,0.11949514,0.96980000,0.20792437
0.14357050,0.96210000,0.14610847,0.96030000,0.20735568
0.12527023,0.96772000,0.12765295,0.96760000,0.20733780
0.12637302,0.96762000,0.13102765,0.96680000,0.20641016
0.12205254,0.96964000,0.12470879,0.96870000,0.20675415
0.12988419,0.96546000,0.13164759,0.96530000,0.20775709
