error(train),acc(train),error(valid),acc(valid),params_penalty
2.34345906,0.07200000,2.34926101,0.06860000,0.00000000
0.35872136,0.89896000,0.32719664,0.91010000,0.00000000
0.29521612,0.91730000,0.27273834,0.92260000,0.00000000
0.26060727,0.92672000,0.24641213,0.93170000,0.00000000
0.22973273,0.93498000,0.22042510,0.93650000,0.00000000
0.20739617,0.94150000,0.20094436,0.94400000,0.00000000
0.18804203,0.94712000,0.18426291,0.95110000,0.00000000
0.17228439,0.95164000,0.17219499,0.95310000,0.00000000
0.16012360,0.95538000,0.16150990,0.95520000,0.00000000
0.15207974,0.95728000,0.15593933,0.95740000,0.00000000
0.14009255,0.96094000,0.14709361,0.95830000,0.00000000
0.13197948,0.96316000,0.14132487,0.96140000,0.00000000
0.12490563,0.96564000,0.13516155,0.96250000,0.00000000
0.11778310,0.96718000,0.13049204,0.96280000,0.00000000
0.11263789,0.96920000,0.12690323,0.96520000,0.00000000
0.10467646,0.97196000,0.12094499,0.96600000,0.00000000
0.09995725,0.97338000,0.11789902,0.96670000,0.00000000
0.09621615,0.97416000,0.11659252,0.96690000,0.00000000
0.09167612,0.97516000,0.11289443,0.96750000,0.00000000
0.08787120,0.97632000,0.10951961,0.96820000,0.00000000
0.08477965,0.97686000,0.10889025,0.96800000,0.00000000
0.08143191,0.97826000,0.10543047,0.96920000,0.00000000
0.07723017,0.97914000,0.10366033,0.97060000,0.00000000
0.07455982,0.97996000,0.10106741,0.97010000,0.00000000
0.07178080,0.98086000,0.09971346,0.97100000,0.00000000
0.06885237,0.98208000,0.09792221,0.97120000,0.00000000
0.06795129,0.98198000,0.09767876,0.97140000,0.00000000
0.06502939,0.98308000,0.09549799,0.97220000,0.00000000
0.06234169,0.98382000,0.09424802,0.97170000,0.00000000
0.06169666,0.98376000,0.09395029,0.97230000,0.00000000
0.05861176,0.98530000,0.09271480,0.97170000,0.00000000
0.05640681,0.98626000,0.09102162,0.97230000,0.00000000
0.05691493,0.98576000,0.09227940,0.97240000,0.00000000
0.05417551,0.98610000,0.09058347,0.97300000,0.00000000
0.05142912,0.98734000,0.08811139,0.97360000,0.00000000
0.04979160,0.98774000,0.08712651,0.97270000,0.00000000
0.04899735,0.98840000,0.08713841,0.97390000,0.00000000
0.04735447,0.98856000,0.08551369,0.97470000,0.00000000
0.04598624,0.98920000,0.08613392,0.97400000,0.00000000
0.04527766,0.98966000,0.08466200,0.97470000,0.00000000
0.04329686,0.98998000,0.08364750,0.97500000,0.00000000
0.04198629,0.99056000,0.08313555,0.97560000,0.00000000
0.04177135,0.98990000,0.08479511,0.97470000,0.00000000
0.03940236,0.99118000,0.08280873,0.97510000,0.00000000
0.03826462,0.99148000,0.08316214,0.97560000,0.00000000
0.03816980,0.99164000,0.08331958,0.97510000,0.00000000
0.03656324,0.99214000,0.08212840,0.97510000,0.00000000
0.03578031,0.99216000,0.08224054,0.97570000,0.00000000
0.03447252,0.99276000,0.08138752,0.97580000,0.00000000
0.03380637,0.99302000,0.08128842,0.97530000,0.00000000
0.03255856,0.99340000,0.08018363,0.97620000,0.00000000
0.03226016,0.99342000,0.08134696,0.97580000,0.00000000
0.03335250,0.99280000,0.08270450,0.97570000,0.00000000
0.03129126,0.99384000,0.08000954,0.97570000,0.00000000
0.02965564,0.99436000,0.07969577,0.97610000,0.00000000
0.02890768,0.99458000,0.07977953,0.97520000,0.00000000
0.02821754,0.99496000,0.07921676,0.97650000,0.00000000
0.02764757,0.99518000,0.07879816,0.97580000,0.00000000
0.02717282,0.99510000,0.07937290,0.97680000,0.00000000
0.02659777,0.99522000,0.07984716,0.97630000,0.00000000
0.02578925,0.99566000,0.07810275,0.97670000,0.00000000
0.02671210,0.99504000,0.07966493,0.97640000,0.00000000
0.02448162,0.99598000,0.07835555,0.97730000,0.00000000
0.02396663,0.99590000,0.07922349,0.97660000,0.00000000
0.02393157,0.99596000,0.07909954,0.97740000,0.00000000
0.02322552,0.99638000,0.07872511,0.97640000,0.00000000
0.02281505,0.99634000,0.07873489,0.97780000,0.00000000
0.02187138,0.99662000,0.07860843,0.97660000,0.00000000
0.02138571,0.99668000,0.07817519,0.97750000,0.00000000
0.02067920,0.99698000,0.07841466,0.97710000,0.00000000
0.02046521,0.99698000,0.07876163,0.97680000,0.00000000
0.01977882,0.99714000,0.07827748,0.97730000,0.00000000
0.01940513,0.99732000,0.07791727,0.97780000,0.00000000
0.01915076,0.99744000,0.07883365,0.97710000,0.00000000
0.01864562,0.99732000,0.07696006,0.97760000,0.00000000
0.01841768,0.99738000,0.07809478,0.97780000,0.00000000
0.01817315,0.99748000,0.07888903,0.97690000,0.00000000
0.01767178,0.99754000,0.07863730,0.97650000,0.00000000
0.01740159,0.99760000,0.07797496,0.97700000,0.00000000
0.01688270,0.99784000,0.07823445,0.97750000,0.00000000
0.01657613,0.99792000,0.07802709,0.97810000,0.00000000
0.01640138,0.99794000,0.07876450,0.97760000,0.00000000
0.01584594,0.99802000,0.07821790,0.97840000,0.00000000
0.01562684,0.99814000,0.07848374,0.97730000,0.00000000
0.01526627,0.99820000,0.07906213,0.97720000,0.00000000
0.01520352,0.99822000,0.07902885,0.97830000,0.00000000
0.01482905,0.99852000,0.07976264,0.97680000,0.00000000
0.01445150,0.99850000,0.07858878,0.97750000,0.00000000
0.01406162,0.99860000,0.07840970,0.97810000,0.00000000
0.01380651,0.99862000,0.07836133,0.97830000,0.00000000
0.01374279,0.99860000,0.07923416,0.97670000,0.00000000
0.01332822,0.99874000,0.07877571,0.97750000,0.00000000
0.01310544,0.99882000,0.07959897,0.97700000,0.00000000
0.01292241,0.99878000,0.07965235,0.97700000,0.00000000
0.01255251,0.99880000,0.07901892,0.97790000,0.00000000
0.01228338,0.99904000,0.07878589,0.97730000,0.00000000
0.01211753,0.99904000,0.07890725,0.97820000,0.00000000
0.01200228,0.99910000,0.07925801,0.97730000,0.00000000
0.01164825,0.99904000,0.07933196,0.97720000,0.00000000
0.01160080,0.99908000,0.07961409,0.97750000,0.00000000
0.01129463,0.99916000,0.07954261,0.97780000,0.00000000
