error(train),acc(train),error(valid),acc(valid),params_penalty
53.53683491,0.05958000,53.39073806,0.05540000,0.00000000
1.27258970,0.85576000,1.18322581,0.86650000,0.00000000
0.84554777,0.87722000,0.82296820,0.88420000,0.00000000
0.77107109,0.86694000,0.76201805,0.87170000,0.00000000
0.52623760,0.89448000,0.52253784,0.89710000,0.00000000
0.46693290,0.90142000,0.47411527,0.89920000,0.00000000
0.39836606,0.90900000,0.41893469,0.90520000,0.00000000
0.31919278,0.92198000,0.33845134,0.91820000,0.00000000
0.29990905,0.92350000,0.32459473,0.91820000,0.00000000
0.27456623,0.92882000,0.30077381,0.92170000,0.00000000
0.30483295,0.91688000,0.32811978,0.91330000,0.00000000
0.24540885,0.93330000,0.27535636,0.92690000,0.00000000
0.24632486,0.93276000,0.27715594,0.92710000,0.00000000
0.27727135,0.92110000,0.29301989,0.91670000,0.00000000
0.23148725,0.93402000,0.26094033,0.92570000,0.00000000
0.20447248,0.94178000,0.23389006,0.93500000,0.00000000
0.21060836,0.94052000,0.24449329,0.93240000,0.00000000
0.20775641,0.94162000,0.24115738,0.93160000,0.00000000
0.19085815,0.94480000,0.22488600,0.93620000,0.00000000
0.18695839,0.94598000,0.21917712,0.93910000,0.00000000
0.18763412,0.94632000,0.22532013,0.93860000,0.00000000
0.17556377,0.94942000,0.21394979,0.94150000,0.00000000
0.16673737,0.95248000,0.20858232,0.94310000,0.00000000
0.17882698,0.94784000,0.22150667,0.93800000,0.00000000
0.16196515,0.95356000,0.20930473,0.94180000,0.00000000
0.15965998,0.95438000,0.21022603,0.94190000,0.00000000
0.16342933,0.95276000,0.21383769,0.94230000,0.00000000
0.15546575,0.95380000,0.20331600,0.94260000,0.00000000
0.15391057,0.95444000,0.20141898,0.94420000,0.00000000
0.15225877,0.95496000,0.20420034,0.94190000,0.00000000
0.14969665,0.95604000,0.20817030,0.94150000,0.00000000
0.13995167,0.95952000,0.19505651,0.94590000,0.00000000
0.13705206,0.96046000,0.19261091,0.94680000,0.00000000
0.13489075,0.96068000,0.19266976,0.94830000,0.00000000
0.13071030,0.96278000,0.18710627,0.94670000,0.00000000
0.13147603,0.96168000,0.19312083,0.94600000,0.00000000
0.13349448,0.96034000,0.18837693,0.94690000,0.00000000
0.13012770,0.96144000,0.18652713,0.94960000,0.00000000
0.12648757,0.96312000,0.18522884,0.94760000,0.00000000
0.12242414,0.96458000,0.18631088,0.94840000,0.00000000
0.11789839,0.96610000,0.18163651,0.94940000,0.00000000
0.12309100,0.96394000,0.18118654,0.95060000,0.00000000
0.12164683,0.96516000,0.18712098,0.94830000,0.00000000
0.11253724,0.96682000,0.18193424,0.94930000,0.00000000
0.11174362,0.96740000,0.17884122,0.95120000,0.00000000
0.11395808,0.96702000,0.18066004,0.94940000,0.00000000
0.10673152,0.96894000,0.17768693,0.95120000,0.00000000
0.11842565,0.96446000,0.18824742,0.94910000,0.00000000
0.10633663,0.96934000,0.18071069,0.95150000,0.00000000
0.10511675,0.96888000,0.18127073,0.95060000,0.00000000
0.10006995,0.97098000,0.17178064,0.95330000,0.00000000
0.10133994,0.97050000,0.18232244,0.95190000,0.00000000
0.09844856,0.97124000,0.17450316,0.95230000,0.00000000
0.10429405,0.96858000,0.18030903,0.95120000,0.00000000
0.10588447,0.96832000,0.18259040,0.95060000,0.00000000
0.09774952,0.97036000,0.17530525,0.95360000,0.00000000
0.09566334,0.97154000,0.17401897,0.95300000,0.00000000
0.09920764,0.97038000,0.17641491,0.95450000,0.00000000
0.09089833,0.97354000,0.17180879,0.95450000,0.00000000
0.09197490,0.97280000,0.17698734,0.95320000,0.00000000
0.08922016,0.97370000,0.17087597,0.95420000,0.00000000
0.09515011,0.97080000,0.18047834,0.95230000,0.00000000
0.09272062,0.97168000,0.18210450,0.95030000,0.00000000
0.08540389,0.97464000,0.17306742,0.95470000,0.00000000
0.08629813,0.97410000,0.17672774,0.95440000,0.00000000
0.08169901,0.97590000,0.17102053,0.95690000,0.00000000
0.08137481,0.97594000,0.16952933,0.95640000,0.00000000
0.08104833,0.97586000,0.17268786,0.95500000,0.00000000
0.08084036,0.97624000,0.16934591,0.95690000,0.00000000
0.08088231,0.97546000,0.17502925,0.95360000,0.00000000
0.08608935,0.97406000,0.18339987,0.95150000,0.00000000
0.07448527,0.97846000,0.16692109,0.95760000,0.00000000
0.07307554,0.97938000,0.16956763,0.95670000,0.00000000
0.07232261,0.97918000,0.16801149,0.95650000,0.00000000
0.07402350,0.97806000,0.16937785,0.95700000,0.00000000
0.06937005,0.98020000,0.16724206,0.95780000,0.00000000
0.07905624,0.97576000,0.18191359,0.95310000,0.00000000
0.07115005,0.97882000,0.17408329,0.95590000,0.00000000
0.07541555,0.97698000,0.17913269,0.95470000,0.00000000
0.06653386,0.98118000,0.16766659,0.95820000,0.00000000
0.06926345,0.97962000,0.17309852,0.95820000,0.00000000
0.06393571,0.98168000,0.16936737,0.95770000,0.00000000
0.06289912,0.98204000,0.16685242,0.95740000,0.00000000
0.06491995,0.98138000,0.17226757,0.95610000,0.00000000
0.06334627,0.98154000,0.17182054,0.95800000,0.00000000
0.06568018,0.98056000,0.17794799,0.95640000,0.00000000
0.06461837,0.98062000,0.17488591,0.95570000,0.00000000
0.05834765,0.98392000,0.16722417,0.95950000,0.00000000
0.05855077,0.98386000,0.17079563,0.95910000,0.00000000
0.05956530,0.98292000,0.17043457,0.95730000,0.00000000
0.05768308,0.98404000,0.17394228,0.95700000,0.00000000
0.05798319,0.98324000,0.17390563,0.95720000,0.00000000
0.05513046,0.98488000,0.17040518,0.95830000,0.00000000
0.05343205,0.98546000,0.17074907,0.95890000,0.00000000
0.05713897,0.98344000,0.17536139,0.95750000,0.00000000
0.05349645,0.98506000,0.17432144,0.95730000,0.00000000
0.05209352,0.98574000,0.16959527,0.95870000,0.00000000
0.05315192,0.98492000,0.16950102,0.95930000,0.00000000
0.05280928,0.98488000,0.17262826,0.95950000,0.00000000
0.05139629,0.98510000,0.17145174,0.95920000,0.00000000
0.05128801,0.98564000,0.17394559,0.95900000,0.00000000
