error(train),acc(train),error(valid),acc(valid),params_penalty
2.39962029,0.08446000,2.39052347,0.08310000,0.00000000
0.14548667,0.95792000,0.14607473,0.96070000,0.00000000
0.10059934,0.97084000,0.11698945,0.96780000,0.00000000
0.07582181,0.97798000,0.10275947,0.96950000,0.00000000
0.06142258,0.98230000,0.09132638,0.97360000,0.00000000
0.04559974,0.98744000,0.08438163,0.97630000,0.00000000
0.03848190,0.98970000,0.08564115,0.97450000,0.00000000
0.03085592,0.99156000,0.08007365,0.97660000,0.00000000
0.02895786,0.99194000,0.08033763,0.97640000,0.00000000
0.02165577,0.99462000,0.07945522,0.97860000,0.00000000
0.01810234,0.99572000,0.07851741,0.97840000,0.00000000
0.02813500,0.99136000,0.09630372,0.97310000,0.00000000
0.01161352,0.99782000,0.08000075,0.97880000,0.00000000
0.01378454,0.99658000,0.08539292,0.97710000,0.00000000
0.01177620,0.99762000,0.08599593,0.97860000,0.00000000
0.00696561,0.99932000,0.08148801,0.97960000,0.00000000
0.00597230,0.99950000,0.08053613,0.97980000,0.00000000
0.00806834,0.99832000,0.08339261,0.97950000,0.00000000
0.00451684,0.99976000,0.08209175,0.97980000,0.00000000
0.00386690,0.99988000,0.08337315,0.97990000,0.00000000
0.00326208,0.99994000,0.08296789,0.98020000,0.00000000
0.00287152,0.99996000,0.08267646,0.97950000,0.00000000
0.00260388,1.00000000,0.08299016,0.98080000,0.00000000
0.00242260,1.00000000,0.08391924,0.98110000,0.00000000
0.00226338,1.00000000,0.08493630,0.98000000,0.00000000
0.00206826,1.00000000,0.08535078,0.98040000,0.00000000
0.00197097,1.00000000,0.08575827,0.98020000,0.00000000
0.00190987,1.00000000,0.08845578,0.98060000,0.00000000
0.00162000,1.00000000,0.08670946,0.98080000,0.00000000
0.00160658,1.00000000,0.08749561,0.98060000,0.00000000
0.00151175,1.00000000,0.08764117,0.98060000,0.00000000
0.00141054,1.00000000,0.08863620,0.98100000,0.00000000
0.00135648,1.00000000,0.08929217,0.98060000,0.00000000
0.00128563,1.00000000,0.08932689,0.98050000,0.00000000
0.00124460,1.00000000,0.08968676,0.98100000,0.00000000
0.00119099,1.00000000,0.08941458,0.98120000,0.00000000
0.00112664,1.00000000,0.09019047,0.98050000,0.00000000
0.00109380,1.00000000,0.09060715,0.98080000,0.00000000
0.00103928,1.00000000,0.09120139,0.98080000,0.00000000
0.00099519,1.00000000,0.09093439,0.98070000,0.00000000
0.00097534,1.00000000,0.09149897,0.98070000,0.00000000
0.00093606,1.00000000,0.09191657,0.98040000,0.00000000
0.00091020,1.00000000,0.09228874,0.98070000,0.00000000
0.00087151,1.00000000,0.09255467,0.98060000,0.00000000
0.00085763,1.00000000,0.09321996,0.98080000,0.00000000
0.00082884,1.00000000,0.09335035,0.98090000,0.00000000
0.00080109,1.00000000,0.09389116,0.98050000,0.00000000
0.00077799,1.00000000,0.09423024,0.98030000,0.00000000
0.00074993,1.00000000,0.09406850,0.98100000,0.00000000
0.00072986,1.00000000,0.09489831,0.98080000,0.00000000
0.00071425,1.00000000,0.09485107,0.98050000,0.00000000
0.00069403,1.00000000,0.09485291,0.98050000,0.00000000
0.00067200,1.00000000,0.09555920,0.98120000,0.00000000
0.00065319,1.00000000,0.09517537,0.98080000,0.00000000
0.00063883,1.00000000,0.09572409,0.98090000,0.00000000
0.00062655,1.00000000,0.09613846,0.98090000,0.00000000
0.00061794,1.00000000,0.09688093,0.98090000,0.00000000
0.00059738,1.00000000,0.09681106,0.98050000,0.00000000
0.00058626,1.00000000,0.09642511,0.98060000,0.00000000
0.00057879,1.00000000,0.09721126,0.98070000,0.00000000
0.00055728,1.00000000,0.09750020,0.98090000,0.00000000
0.00054773,1.00000000,0.09729879,0.98100000,0.00000000
0.00053619,1.00000000,0.09744255,0.98100000,0.00000000
0.00052370,1.00000000,0.09793258,0.98070000,0.00000000
0.00051519,1.00000000,0.09812952,0.98090000,0.00000000
0.00050406,1.00000000,0.09859956,0.98100000,0.00000000
0.00049304,1.00000000,0.09840632,0.98080000,0.00000000
0.00048408,1.00000000,0.09887161,0.98070000,0.00000000
0.00047737,1.00000000,0.09891532,0.98090000,0.00000000
0.00046624,1.00000000,0.09908669,0.98050000,0.00000000
0.00046023,1.00000000,0.09960036,0.98100000,0.00000000
0.00045210,1.00000000,0.09967777,0.98090000,0.00000000
0.00044696,1.00000000,0.10017847,0.98130000,0.00000000
0.00043520,1.00000000,0.09990948,0.98090000,0.00000000
0.00042712,1.00000000,0.10017728,0.98080000,0.00000000
0.00042248,1.00000000,0.09995605,0.98110000,0.00000000
0.00041576,1.00000000,0.10048374,0.98100000,0.00000000
0.00041124,1.00000000,0.10035631,0.98120000,0.00000000
0.00040344,1.00000000,0.10083180,0.98100000,0.00000000
0.00039453,1.00000000,0.10094381,0.98070000,0.00000000
0.00039031,1.00000000,0.10124555,0.98080000,0.00000000
0.00038354,1.00000000,0.10126054,0.98110000,0.00000000
0.00037590,1.00000000,0.10159293,0.98090000,0.00000000
0.00037263,1.00000000,0.10219774,0.98090000,0.00000000
0.00036655,1.00000000,0.10176811,0.98100000,0.00000000
0.00036040,1.00000000,0.10192787,0.98130000,0.00000000
0.00035686,1.00000000,0.10217113,0.98130000,0.00000000
0.00035125,1.00000000,0.10214012,0.98080000,0.00000000
0.00034510,1.00000000,0.10219666,0.98100000,0.00000000
0.00034157,1.00000000,0.10264627,0.98090000,0.00000000
0.00033582,1.00000000,0.10259275,0.98100000,0.00000000
0.00033111,1.00000000,0.10276285,0.98100000,0.00000000
0.00032705,1.00000000,0.10330520,0.98100000,0.00000000
0.00032261,1.00000000,0.10326032,0.98090000,0.00000000
0.00031833,1.00000000,0.10315423,0.98090000,0.00000000
0.00031338,1.00000000,0.10349960,0.98100000,0.00000000
0.00031041,1.00000000,0.10357765,0.98110000,0.00000000
0.00030605,1.00000000,0.10397080,0.98100000,0.00000000
0.00030397,1.00000000,0.10415064,0.98110000,0.00000000
0.00029994,1.00000000,0.10407269,0.98100000,0.00000000
0.00029468,1.00000000,0.10457700,0.98090000,0.00000000
