error(train),acc(train),error(valid),acc(valid),params_penalty
2.34329843,0.07164000,2.34908155,0.06750000,0.00000000
0.35827738,0.89900000,0.32677401,0.91000000,0.00000000
0.29444635,0.91766000,0.27201865,0.92290000,0.00000000
0.25957259,0.92726000,0.24541940,0.93170000,0.00000000
0.22856260,0.93538000,0.21931840,0.93640000,0.00000000
0.20612879,0.94178000,0.19978317,0.94410000,0.00000000
0.18674925,0.94766000,0.18306404,0.95130000,0.00000000
0.17098915,0.95218000,0.17097763,0.95350000,0.00000000
0.15890246,0.95574000,0.16044812,0.95590000,0.00000000
0.15082906,0.95746000,0.15479869,0.95810000,0.00000000
0.13892638,0.96138000,0.14611334,0.95860000,0.00000000
0.13085238,0.96368000,0.14036877,0.96140000,0.00000000
0.12379228,0.96598000,0.13419724,0.96260000,0.00000000
0.11674689,0.96756000,0.12948618,0.96360000,0.00000000
0.11168504,0.96952000,0.12614689,0.96530000,0.00000000
0.10368703,0.97230000,0.12022327,0.96650000,0.00000000
0.09906885,0.97360000,0.11731721,0.96690000,0.00000000
0.09534335,0.97430000,0.11601812,0.96710000,0.00000000
0.09084293,0.97544000,0.11228257,0.96750000,0.00000000
0.08700533,0.97656000,0.10898886,0.96830000,0.00000000
0.08397353,0.97724000,0.10844479,0.96820000,0.00000000
0.08058802,0.97860000,0.10482431,0.96940000,0.00000000
0.07647135,0.97940000,0.10310396,0.97110000,0.00000000
0.07380616,0.98014000,0.10056479,0.97020000,0.00000000
0.07109939,0.98124000,0.09936930,0.97100000,0.00000000
0.06815369,0.98224000,0.09748417,0.97140000,0.00000000
0.06724594,0.98216000,0.09721030,0.97140000,0.00000000
0.06437198,0.98326000,0.09515548,0.97250000,0.00000000
0.06170901,0.98418000,0.09400167,0.97180000,0.00000000
0.06107244,0.98392000,0.09361802,0.97230000,0.00000000
0.05797987,0.98534000,0.09230738,0.97190000,0.00000000
0.05578764,0.98656000,0.09069711,0.97210000,0.00000000
0.05624149,0.98598000,0.09185589,0.97240000,0.00000000
0.05357369,0.98626000,0.09017662,0.97290000,0.00000000
0.05085993,0.98740000,0.08776975,0.97330000,0.00000000
0.04917699,0.98806000,0.08687309,0.97340000,0.00000000
0.04845781,0.98856000,0.08678626,0.97400000,0.00000000
0.04680334,0.98876000,0.08514094,0.97520000,0.00000000
0.04536206,0.98928000,0.08572164,0.97420000,0.00000000
0.04480971,0.98980000,0.08434192,0.97570000,0.00000000
0.04279633,0.99020000,0.08352378,0.97540000,0.00000000
0.04151496,0.99068000,0.08284616,0.97540000,0.00000000
0.04127181,0.99020000,0.08437676,0.97470000,0.00000000
0.03889411,0.99146000,0.08248257,0.97490000,0.00000000
0.03775687,0.99168000,0.08280364,0.97530000,0.00000000
0.03766639,0.99178000,0.08304695,0.97480000,0.00000000
0.03605488,0.99218000,0.08162668,0.97570000,0.00000000
0.03531077,0.99242000,0.08187714,0.97570000,0.00000000
0.03406219,0.99282000,0.08105392,0.97580000,0.00000000
0.03339620,0.99318000,0.08091861,0.97500000,0.00000000
0.03217997,0.99354000,0.07993220,0.97600000,0.00000000
0.03185648,0.99364000,0.08105095,0.97540000,0.00000000
0.03290411,0.99314000,0.08229172,0.97590000,0.00000000
0.03091719,0.99390000,0.07974453,0.97590000,0.00000000
0.02930589,0.99440000,0.07943935,0.97570000,0.00000000
0.02856483,0.99468000,0.07953432,0.97520000,0.00000000
0.02789864,0.99504000,0.07895343,0.97690000,0.00000000
0.02730726,0.99510000,0.07867675,0.97530000,0.00000000
0.02688627,0.99514000,0.07927143,0.97650000,0.00000000
0.02631528,0.99550000,0.07977334,0.97630000,0.00000000
0.02547028,0.99566000,0.07789679,0.97650000,0.00000000
0.02627649,0.99508000,0.07923228,0.97600000,0.00000000
0.02421167,0.99606000,0.07817361,0.97750000,0.00000000
0.02372839,0.99596000,0.07913855,0.97690000,0.00000000
0.02362517,0.99616000,0.07901982,0.97750000,0.00000000
0.02295559,0.99652000,0.07862393,0.97620000,0.00000000
0.02252568,0.99644000,0.07851904,0.97740000,0.00000000
0.02162356,0.99668000,0.07837269,0.97680000,0.00000000
0.02116200,0.99666000,0.07817025,0.97710000,0.00000000
0.02044415,0.99702000,0.07835370,0.97680000,0.00000000
0.02025893,0.99698000,0.07875302,0.97690000,0.00000000
0.01956375,0.99712000,0.07826733,0.97760000,0.00000000
0.01917359,0.99728000,0.07783318,0.97790000,0.00000000
0.01891924,0.99742000,0.07872901,0.97700000,0.00000000
0.01842715,0.99738000,0.07699112,0.97750000,0.00000000
0.01821333,0.99742000,0.07805902,0.97760000,0.00000000
0.01794015,0.99756000,0.07875427,0.97680000,0.00000000
0.01747880,0.99762000,0.07850552,0.97670000,0.00000000
0.01723937,0.99764000,0.07791507,0.97700000,0.00000000
0.01671444,0.99782000,0.07818004,0.97670000,0.00000000
0.01641319,0.99792000,0.07799378,0.97800000,0.00000000
0.01624722,0.99792000,0.07879664,0.97720000,0.00000000
0.01571094,0.99796000,0.07820763,0.97830000,0.00000000
0.01547076,0.99812000,0.07849403,0.97730000,0.00000000
0.01509577,0.99828000,0.07882938,0.97760000,0.00000000
0.01501468,0.99834000,0.07901659,0.97760000,0.00000000
0.01467740,0.99850000,0.07977235,0.97670000,0.00000000
0.01432013,0.99842000,0.07866741,0.97680000,0.00000000
0.01389849,0.99862000,0.07838782,0.97790000,0.00000000
0.01364452,0.99858000,0.07832030,0.97820000,0.00000000
0.01360354,0.99858000,0.07928743,0.97720000,0.00000000
0.01319877,0.99870000,0.07875313,0.97770000,0.00000000
0.01296791,0.99876000,0.07948385,0.97760000,0.00000000
0.01280922,0.99872000,0.07958408,0.97750000,0.00000000
0.01243652,0.99882000,0.07891995,0.97800000,0.00000000
0.01216593,0.99908000,0.07873331,0.97760000,0.00000000
0.01199228,0.99902000,0.07884839,0.97790000,0.00000000
0.01190171,0.99916000,0.07922643,0.97750000,0.00000000
0.01155165,0.99908000,0.07947161,0.97780000,0.00000000
0.01149960,0.99904000,0.07953520,0.97780000,0.00000000
0.01119982,0.99916000,0.07944694,0.97760000,0.00000000
