error(train),acc(train),error(valid),acc(valid),params_penalty
53.53204762,0.05958000,53.38550083,0.05550000,0.00000000
1.24485042,0.85650000,1.15473813,0.86800000,0.00000000
0.85143148,0.87586000,0.82617716,0.88170000,0.00000000
0.77226169,0.86640000,0.76364967,0.87060000,0.00000000
0.52320577,0.89490000,0.52008436,0.89840000,0.00000000
0.45765660,0.90224000,0.46439647,0.90170000,0.00000000
0.39808329,0.90886000,0.41765534,0.90600000,0.00000000
0.31715250,0.92302000,0.33702345,0.91780000,0.00000000
0.29749502,0.92436000,0.32285813,0.91980000,0.00000000
0.27162383,0.92970000,0.29880544,0.92240000,0.00000000
0.30391049,0.91772000,0.32715419,0.91360000,0.00000000
0.24533344,0.93350000,0.27570782,0.92740000,0.00000000
0.24455398,0.93360000,0.27678881,0.92840000,0.00000000
0.28265598,0.91964000,0.29811078,0.91530000,0.00000000
0.23045352,0.93426000,0.26062576,0.92500000,0.00000000
0.20347526,0.94250000,0.23308254,0.93430000,0.00000000
0.20856128,0.94064000,0.24266757,0.93210000,0.00000000
0.20409298,0.94254000,0.23769624,0.93410000,0.00000000
0.18883695,0.94554000,0.22355434,0.93630000,0.00000000
0.18572636,0.94646000,0.21772300,0.93810000,0.00000000
0.18561336,0.94712000,0.22394430,0.93810000,0.00000000
0.17389731,0.94994000,0.21280642,0.94050000,0.00000000
0.16561345,0.95272000,0.20715993,0.94280000,0.00000000
0.17744138,0.94830000,0.22022074,0.93880000,0.00000000
0.16108116,0.95406000,0.20816347,0.94190000,0.00000000
0.15809320,0.95492000,0.20833136,0.94200000,0.00000000
0.16158195,0.95298000,0.21187546,0.94270000,0.00000000
0.15439011,0.95456000,0.20191084,0.94330000,0.00000000
0.15328971,0.95460000,0.20063547,0.94540000,0.00000000
0.15097279,0.95514000,0.20272221,0.94210000,0.00000000
0.14902232,0.95620000,0.20742528,0.94110000,0.00000000
0.13947917,0.95944000,0.19502996,0.94540000,0.00000000
0.13641426,0.96068000,0.19179018,0.94730000,0.00000000
0.13381056,0.96100000,0.19125044,0.94820000,0.00000000
0.13039618,0.96238000,0.18655340,0.94730000,0.00000000
0.13137266,0.96182000,0.19281558,0.94650000,0.00000000
